rank	username	minecraft:picked_up/minecraft:purpur_pillar
1	masskedman	1836
2	YungMaki	1746
3	mwrty	1601
4	eiC_	1352
5	PhantomsGhost_	1148
6	m_be9	955
7	lordpipe	830
8	Bandito_Roamer	685
9	500am	606
10	Mewar	540
11	yulgur1	531
12	PigDab	511
13	6king6colt6	489
14	beeperbeeper5	467
15	Ecplosive	464
16	fred870d	443
17	MightyWertu	379
18	Inbefour	378
19	fkGrim	363
20	NameGenerat0r	362
21	Comma__	338
22	Freak_Genius	281
23	Blu3beast	264
24	Maenara	263
25	Frozil20	229
26	noam464	219
27	TheSecondLord	218
28	Fullut	205
29	Werbe	202
30	HellsSponge	199
31	bigstankyy	198
32	vandmanden	190
33	Arceus1975	188
34	Smoke____	171
35	OG_Songsee	168
36	Racengan	159
37	claivin	154
38	Jackattack53	152
39	Rich_Kat	149
40	jnp_gaming	143
41	mihimihimihi	137
42	Covalents	135
43	Awyrlas	132
44	thescout7	125
45	eitanzaki	124
46	Spacewardharpy7	123
47	AuroraValkyrie	122
48	gabriels543	121
49	ZeroKraken	120
49	Enderslayerxz3	120
51	surfinggiraffejp	119
52	_TCARREIRA_	115
53	eviltunix	114
53	lizardfightclub	114
53	Nicserso	114
56	Hermanni__	110
57	ROY4LE	105
58	Dogcorn69420	104
59	Winston_Ingram	103
60	33sudo	102
61	Iagoku	99
61	striker90333	99
63	Bumpy419	97
64	kekhon	95
65	awesomeoneme	93
65	Blaiku	93
67	stahouo	92
68	MustaLoordi	89
69	gcaisawesome	86
70	Historical_Sand	83
71	RoboTramp7865	80
72	lcvezra	79
72	TechnoNinja64	79
74	Quotary	75
75	TooManyDuck	73
76	crying_wolf_13	72
77	EveryonesUncle	71
78	SuperPooch06	68
79	geekbird	65
79	Legendosh	65
81	KingMatthew506	64
81	oxfordschool	64
83	Zythose	63
84	Ailmast	62
84	Onennon	62
86	Groundler	58
86	TheEnderman548	58
88	Blackberry1310	56
88	Xclax101	56
88	tartanboy	56
88	Sral7	56
92	lillips	54
93	Hisiste	53
93	laron58	53
95	NotMeowMix	52
96	brofrickcheaters	50
97	MinttyFressh	47
98	Razzgriz	46
99	loveseeker	45
99	WET_WET_WET	45
99	Afinnity	45
102	audiocracked	44
102	UrbanPlanner1978	44
104	Warlord324	42
105	Dedalus36	41
105	Zaridey	41
105	mariominejedi	41
105	Rasmanden	41
105	Jij0	41
105	Fizznut909	41
111	shyshyannne	39
112	Ezekson	37
113	BodaciousCake	36
113	Di_infiri	36
115	set67	35
115	fluddd	35
117	MyNameIsJobo	34
118	T045RTY	33
118	Shogunite	33
118	JayToe	33
121	SellyZ	32
122	thewindmillman	31
122	chipklip	31
124	Skippeh	29
125	Ender_Souls	28
126	Marbz_	27
126	MakeHistory157	27
128	Rumpletaezer	26
129	_Bguette_	25
129	FlashMigma	25
131	Lepthymo	24
131	titanlax	24
131	LazySupport00	24
134	MilleGrug	23
134	Powowowow	23
136	Deodorante	22
136	TheDumbHuman	22
136	EcksDofficial	22
139	Nycteus_	18
139	kinas45y5	18
141	pappaberg	17
142	TheShyPig	16
143	_Razar	15
143	rarrq	15
143	pr33tu	15
143	__TheNorseMan__	15
143	Snowflowe	15
143	Akoot_	15
143	TheSeismicDuck	15
143	Nagasaki_Riku	15
143	SvenskaHugo	15
143	stellarjay	15
153	jushykins	14
153	Hyp3rion_	14
153	DTwenty	14
153	SingedBread	14
153	PlasticOtari	14
158	fw3xywashere	13
158	_Karmaa	13
160	ssleepless	12
160	Myszoaz	12
160	Donutt	12
160	AuroraSkies	12
160	Kowcio_	12
165	_k2x	11
165	MovingFish7	11
165	PortlyPete69	11
165	Miko_Fullbuster	11
165	2blox	11
165	FishisTTV	11
171	nataliecool	10
171	SaucyDark	10
171	12Magner05	10
171	Inchef	10
171	MangoTheFish	10
171	LilyNova	10
171	ProbsNotNova	10
171	Eczbek	10
171	MissCeleste7	10
180	SoftSix	9
180	DScatgirls	9
180	ItsJWolff	9
180	Segotep999	9
180	CalebDHawk	9
185	Houstonion	8
185	RebelAndroid	8
185	M_Patata	8
185	SkateboardR6	8
185	MasterNueve	8
190	Moyd_	7
190	zorin123	7
190	TheTrueClipse	7
190	Quaintster	7
190	Kijiki	7
195	CruncyIsTaken	6
195	ClemenPine	6
195	Chuglyfe	6
195	microcrisp	6
199	Noah_Bez	5
199	Jared6969	5
199	whoaluv	5
199	AlexxO_o	5
199	Cocoamallows	5
199	SammiWolfGirl	5
199	VentiHilton	5
199	Physics_Breaker	5
207	pintsizedrogue	4
207	ExtraDumb	4
207	Mahoose	4
207	Euclidoris	4
207	egglapras	4
207	himak1	4
207	Kakolbus	4
207	binman420	4
207	1442	4
207	Barlycorn	4
207	ayamefag	4
207	__tomato	4
219	Batman922	3
219	CoffeeNoir	3
219	MattieHD	3
219	theonlymagikarp	3
219	CollinMH06	3
219	ApophisNova	3
219	TeenMomTom	3
219	_naturell	3
219	Leyna3	3
219	RoofTyler	3
219	ElectricDragon81	3
219	KG1999	3
219	EcksD	3
219	MyNamaSheff	3
219	HesDemonPants	3
234	Mr_Byzantine	2
234	soundad	2
234	Merv__	2
234	Hpdinosaur	2
234	SailiXX	2
234	joethahobo	2
234	JuuustYeet	2
234	CyrusIsTired	2
234	ibarker21	2
234	MustardDrinker	2
234	RobotMinion101	2
234	SvenskaAlvar	2
234	FishyBoy3811	2
234	groofles	2
234	Jiminie	2
234	DarkS0L	2
234	501g	2
234	censorsheep	2
234	GravitySaint	2
234	BumbleBeever	2
234	Strangemonkey71	2
234	ReyTheLegend	2
234	Spenduh	2
257	Gary_	1
257	Groovy_MoonBird	1
257	_Virify_	1
257	itburb	1
257	livingdaydreams	1
257	Z3braYTIL	1
257	Scathra	1
257	r123moore	1
257	ImDisconnected_	1
257	LeGold	1
257	Karbl	1
257	Dusk_95	1
257	WyngGoy	1
