rank	username	minecraft:picked_up/minecraft:melon_seeds
1	diggydog67	824
2	Di_infiri	710
3	FreakGenius	525
4	Inbefour	500
5	eitanzaki	377
6	pintsizedrogue	368
7	El_Jalapeno	336
8	starbits140	325
9	Werbe	275
10	ConnorDanky_	272
11	lillips	192
12	corvidpartyfor6	176
13	ROY4LE	165
14	thescout7	157
15	KarlKaek	139
16	Kakolbus	138
17	ShedJr_	127
18	HellsSponge	124
19	Akoot_	121
20	slkiey	120
21	Skylord_Luke	108
22	q_wq	107
22	TheShyPig	107
24	Smoke____	103
25	kekhon	102
26	noam464	98
27	JayToe	96
28	emrekn	94
29	lizardfightclub	87
30	IamCL4SSY	83
31	Blaiku	77
32	OfficerAnvil	71
33	NotMeanttoChange	70
34	thewindmillman	68
35	YungMaki	67
36	TheSecondLord	60
37	6king6colt6	59
37	SpacesickPrism	59
39	m_be9	58
40	Lez_	57
41	Fakiuss	56
42	RoskobiOne	51
43	PigDab	48
44	beeperbeeper5	46
45	titanlax	43
45	Comma__	43
45	Hyp3rion_	43
48	joethahobo	42
48	nut_e	42
50	Mr_Byzantine	41
50	RadarHz	41
52	xxPipperDipperxx	40
52	UrbanPlanningEx	40
54	Megarboh	39
55	Euclidoris	38
55	PegLegPete93	38
57	ZeroAbyssTTV	37
57	Zoeyfortnite	37
59	Wooptey	35
60	Kubelz	34
61	Bandito_Roamer	33
61	Snowflowe	33
61	sp00ky_ghost977	33
64	andy_rex	31
65	Barlycorn	30
66	CoffeeNoir	29
67	Ezekson	28
67	Legendosh	28
69	Soul_Atreus	25
70	UncreativeArtist	24
70	Rumpletaezer	24
70	binman420	24
73	Esme_1	23
73	Blackberry1310	23
73	Zythose	23
73	Sheldor097	23
73	SirBreadward	23
78	SaucyDark	22
78	MustardDrinker	22
78	ooga47	22
78	Quotary	22
82	Killercatty78	21
82	Mahoose	21
82	Koffeeinz	21
82	Xclax101	21
86	Ryn777	20
86	cichy096	20
88	Xalithia	19
88	TheDankPlatypus	19
88	BunkeredTree	19
91	Tommhh	18
