rank	username	minecraft:picked_up/minecraft:red_mushroom
1	thewindmillman	22462
2	GravitySaint	4598
3	Lez_	1591
4	AdmiralSmoke	1418
5	ooga47	1261
6	Di_infiri	1088
7	hanaryheatwave	1029
8	Euclidoris	992
9	Werbe	952
10	Soplight	870
11	Jimb0nat0r	839
12	_Nuf	825
13	FreakGenius	821
14	SammiWolfGirl	762
15	kekhon	747
16	HellsSponge	578
17	luseis	535
18	Huwulling	534
19	TechnoNinja64	533
20	oscminus	491
21	xxPipperDipperxx	488
22	claivin	451
23	pintsizedrogue	434
24	Wolverine4302	370
25	Sral7	354
26	PigDab	327
27	burbankbuilder28	323
28	MattieHD	310
29	noam464	301
30	Elastiq	259
31	Jovaphobic	248
31	Arceus1975	248
31	lordpipe	248
34	Kakolbus	246
35	eitanzaki	242
36	m_be9	238
37	TheShyPig	228
38	Enderxz3	222
39	EMC_	215
40	Steelynan	213
41	corpsecity	208
42	Blazebit	201
43	lcvezra	196
44	IamCL4SSY	192
45	Hyp3rion_	191
46	chipklip	189
47	Onennon	177
48	YungMaki	174
49	beeperbeeper5	167
50	T045RTY	164
51	k_ce	163
51	MightyWertu	163
51	Legendosh	163
54	jnp_gaming	162
55	calamariclam_I	158
56	q_wq	153
57	Groovy_MoonBird	147
57	ApophisNova	147
57	MyNamaSheff	147
60	Frozil20	141
61	Blackberry1310	140
61	500am	140
63	Inchef	138
64	bloodbiter	137
65	MinttyFressh	136
65	Akoot_	136
67	Fullut	134
68	Kubelz	132
68	EcksD	132
70	teslawolf38	127
71	Shiirazu	123
72	MrKrabOnCoke	118
73	Kowcio_	113
74	TheDankPlatypus	112
75	Dakar_	109
76	Lord_Jord	108
77	sp00ky_ghost977	107
78	EveryonesUncle	106
79	stavgod	102
80	joethahobo	91
81	Apollo_993	89
82	PhantomsGhost_	86
83	Awyrlas	84
83	Maenara	84
85	Zoeyfortnite	83
86	Mahoose	82
86	Drewen24	82
88	12Magner05	81
88	Blaiku	81
90	AuroraValkyrie	80
91	ITDV	79
91	LeonelSalamanca	79
93	_i_ERROR_i_	78
94	Mr_Sun15	77
95	djancak	76
96	SellyZ	75
96	MyNameIsJobo	75
96	NameGenerat0r	75
96	Razzgriz	75
96	Eraxa	75
101	mwrty	74
102	Marbz_	72
102	Ezekson	72
102	skrongus	72
105	censorsheep	71
106	RobotMinion101	70
107	KomputerDude	67
107	TheFlfthHorseman	67
107	set67	67
110	Windo_licker	66
110	WET_WET_WET	66
110	Quotary	66
113	RatatJuice	64
113	XxCookiequeenxX	64
113	avalan64	64
113	MakeHistory157	64
113	SpacesickPrism	64
118	smogfrog	63
119	TheSecondLord	62
119	thescout7	62
119	ItzYaBoiPicard	62
122	fanofbands101	61
122	Jackattack53	61
124	Malorn_Aetherius	60
125	SmashingPump	59
126	MoistMicrowave	58
126	excelsionprime	58
126	LetsDoItLive	58
129	NormanFetus	57
129	Russiancat1	57
131	Zythose	56
131	El_Jalapeno	56
133	gilesmcriles	55
133	wezzzi	55
133	Kubeusz2010	55
136	Cowison	54
137	PeteO1995	52
137	GreedyFern8581	52
139	RebelAndroid	51
139	sxc_	51
139	Manaateee	51
139	BlankityMcBlank	51
143	Ladder_Jockey	49
143	Notta	49
143	MinerDec	49
146	mimbo1211	47
146	Decaying_Lotus	47
146	PortlyPete69	47
146	TheOnlyRake	47
150	Ananas55	46
150	ExtraDumb	46
150	kubinek69	46
153	vampgey	45
153	stuy9	45
153	SingedBread	45
153	PlasticOtari	45
157	6king6colt6	44
157	Saucepeh	44
157	LexMakesHistory	44
160	FirsTimeGamingTV	43
160	LunarRedPanda	43
162	WithoutPyr	42
162	AJplaysMC_	42
162	Blu3beast	42
162	_TCARREIRA_	42
162	Luigipunch989	42
167	Hahaa_0	41
167	DracZSenpai	41
167	Invintic	41
170	UMosDiesIrae	40
171	3_Solar_3	39
172	dopplexd	38
172	Darkgon	38
174	Seyaboy	37
174	2extreeme	37
174	EngagedGrub41	37
177	TinMaster	36
177	SpicyMeatballs	36
177	Mattesco	36
180	xXTheWolfmanXx	35
180	H72l9w	35
180	LilLizardWizard	35
180	Tyrannosplart	35
180	ebanana	35
185	Jindong	34
