rank	username	minecraft:picked_up/minecraft:heart_of_the_sea
1	El_Jalapeno	46
2	12Magner05	27
3	joethahobo	12
4	kekhon	10
4	Maenara	10
6	Blu3beast	9
7	thescout7	8
7	thewindmillman	8
9	MattieHD	7
9	Freak_Genius	7
9	EcksDofficial	7
12	Groovy_MoonBird	6
12	6king6colt6	6
12	diamondgolem35	6
12	TheShyPig	6
12	Enderslayerxz3	6
17	noam464	5
17	ChillenChiggen	5
17	Rumpletaezer	5
17	HellsSponge	5
17	Ezekson	5
22	eitanzaki	4
22	Fullut	4
22	gabriels543	4
22	Chromary	4
22	Werbe	4
22	chipklip	4
22	AssEatrAndLicker	4
22	Xclax101	4
30	KarlKaek	3
30	youhjjhhhjj	3
30	Natty	3
30	Mahoose	3
30	Blackberry1310	3
30	mwrty	3
30	ROY4LE	3
30	xxPipperDipperxx	3
30	Kim_Jong_eel	3
30	TheTrueClipse	3
30	claivin	3
30	sp00ky_ghost977	3
30	Legendosh	3
30	Oxygen16	3
44	Flores991	2
44	Incinere	2
44	H72l9w	2
44	beeperbeeper5	2
44	_Nuf	2
44	Mewar	2
44	eviltunix	2
44	__Fanda__	2
44	Hyp3rion_	2
44	Nyxiom_	2
44	Jonte0599	2
44	aec9	2
44	jambvds	2
44	33sudo	2
44	stavgod	2
44	07shiny	2
44	obzii	2
44	oxfordschool	2
44	OnlyOfficial	2
44	Smoke____	2
64	RosaDoesMC	1
64	Vryistal	1
64	PhantomsGhost_	1
64	dudcreeper	1
64	Cowison	1
64	ItsColin11	1
64	TildaAndrea	1
64	Sleek_Storm_721	1
64	bigstankyy	1
64	ExtraDumb	1
64	ImpavidArcher	1
64	_Razar	1
64	Sna_Ke	1
64	T045RTY	1
64	Base_Tempest	1
64	301851	1
64	oreee	1
64	rarrq	1
64	Comma__	1
64	jacxhadow	1
64	m_be9	1
64	G1ldor	1
64	egglapras	1
64	Xalithia	1
64	Covalents	1
64	Peeing	1
64	Arceus1975	1
64	burbankbuilder28	1
64	andy_rex	1
64	ApophisNova	1
64	fred870d	1
64	Lord_Jord	1
64	EveryonesUncle	1
64	fkGrim	1
64	Fuhrer_Teemo	1
64	Babushka0430	1
64	Toiton	1
64	GoofyBread	1
64	_Karmaa	1
64	Fildyr	1
64	Vorlice	1
64	MovingFish7	1
64	lordpipe	1
64	Omar_Alone	1
64	PabloGonza02	1
64	Eraxa	1
64	Kukkelikuk	1
64	Soplight	1
64	stahouo	1
64	lcvezra	1
64	SammiWolfGirl	1
64	Dogcorn69420	1
64	jcool7	1
64	Skippeh	1
64	OfficerAnvil	1
64	EcksD	1
64	MyNamaSheff	1
64	WYFYoyo	1
64	Faart	1
