rank	username	minecraft:picked_up/minecraft:brown_wool
1	joethahobo	83278
2	noam464	52677
3	thewindmillman	49621
4	EcksD	20278
5	HellsSponge	8060
6	Hyp3rion_	3101
7	Hermanni__	2240
8	PhantomsGhost_	2214
9	YungMaki	1948
10	Spacewardharpy7	1819
11	Huwulling	1042
12	xolstoi	939
13	Inbefour	712
14	Crowman1	661
15	eitanzaki	660
16	AdmiralSmoke	568
17	beeperbeeper5	517
18	fffMike	503
19	Werbe	458
20	Chromary	414
21	Nycteus_	393
22	UCP_TheKingK	384
23	ShedJr_	349
24	El_Jalapeno	328
25	Alteriity	320
25	Smashic	320
27	bigstankyy	319
28	TechnoNinja64	283
29	groofles	279
30	NameGenerat0r	256
31	Blaiku	232
32	AlexxO_o	225
33	ConnorDanky_	215
34	MirielThePastor	214
35	kekhon	202
36	lillips	192
36	Spenduh	192
38	Mahoose	168
39	Rumpletaezer	165
40	Xclax101	160
41	Ezekson	152
42	KingMatthew506	143
43	SammiWolfGirl	142
44	PlzNoBM	136
45	mariominejedi	128
45	weabis	128
47	pr33tu	120
48	nitram49b	118
49	selectrix	116
50	Snowflowe	115
51	MindyDooWho	113
52	pintsizedrogue	110
53	obzii	105
54	xxPipperDipperxx	98
55	lordpipe	95
56	NomadicRobin_	92
57	luseis	88
58	Bumpy419	87
59	rarrq	84
60	bpmm	81
61	ROY4LE	78
62	burbankbuilder28	71
63	Lez_	68
64	ImpavidArcher	65
65	BronkerBrum	64
65	_Mythic____	64
67	Y_A_N_N_I	57
68	RebelAndroid	56
69	Kowcio_	54
70	ApophisNova	51
70	MyNamaSheff	51
72	Deathkob	49
73	Manaateee	45
74	Cryptacity	41
74	faulder	41
74	Parcc	41
77	FreakGenius	39
78	Mr_Byzantine	38
78	Sheldor097	38
80	Comma__	36
81	Wooptey	35
82	MinttyFressh	34
83	NormanFetus	32
83	TheTrueClipse	32
85	MoistMicrowave	31
85	TheSecondLord	31
87	UltimuShadow	29
87	Kura2218	29
89	SpaceGrenadier	27
90	Jimb0nat0r	25
91	TheDiamondCG	22
92	Historical_Sand	21
93	KarlKaek	19
94	Leyna3	18
94	Segotep999	18
96	Ryan_GEMS	16
96	Onennon	16
96	CoryJJ	16
99	Maenara	15
99	pixelviolin	15
101	EMC_	14
101	M_Patata	14
101	MasterNueve	14
104	Merv__	13
104	Druid95	13
106	xzvu	12
106	PlasticOtari	12
108	Reamdin	11
108	Jiminbub	11
108	Quotary	11
111	theonlymagikarp	10
111	Akoot_	10
111	EveryonesUncle	10
114	intropass	9
114	DarlaMeow	9
116	MrExplorer	8
116	TableTim	8
116	Di_infiri	8
116	IdeallyGrey	8
116	Njensen7	8
116	Enderxz3	8
122	prizm_	7
122	oscminus	7
122	claivin	7
122	Hisiste	7
126	ImNotYuqii	6
126	Kubelz	6
126	censorsheep	6
126	jcool7	6
126	nonarso	6
131	NatalieTW	5
131	ThatStupidSheep	5
131	dudcreeper	5
131	FirsTimeGamingTV	5
131	Ozixar	5
131	Blackberry1310	5
131	500am	5
131	XboxPanda	5
131	yheece	5
131	FishyBoy3811	5
131	YahooScreen9000	5
131	wezzzi	5
131	AlphaWolfPlaysMC	5
131	ebanana	5
131	560cool	5
131	GravitySaint	5
131	sp00ky_ghost977	5
131	Ze_BaronKrigler	5
131	trexgb	5
150	BlancoFlaco	4
150	titanlax	4
150	Secret_Canary	4
150	thescout7	4
150	legal_tax_evader	4
150	Skylord_Luke	4
150	JustAWill_	4
150	F_Uhre	4
150	BRRRN179	4
150	Vetral1	4
150	TheShyPig	4
150	ougstur	4
150	IamCL4SSY	4
150	masskedman	4
150	Razzgriz	4
150	ayamefag	4
150	07shiny	4
150	K_a__a_n	4
150	ZoomieZoomie	4
150	HuangMeiHua	4
150	00000000-0000-0000-0009-01ff0c3e5e4f	4
171	SmashingPump	3
171	ECstardust	3
171	youhjjhhhjj	3
171	ZaneABrain	3
171	m_be9	3
171	ProfessorBee	3
171	himak1	3
171	Chubb85	3
171	NarwhalTaco	3
171	RohnJosin	3
171	tyraxxx	3
171	Lord_Jord	3
171	yulgur1	3
171	Typadopoulos	3
171	Warlord324	3
171	_Tilariel_	3
171	Cylni	3
171	Kubeusz2010	3
171	Powowowow	3
171	2blox_	3
171	skrongus	3
171	FishisTTV	3
193	rats_life	2
193	JimmyTISC	2
193	heysushii	2
193	Froste131	2
193	hollowww	2
193	Ilinca_Io	2
193	Houstonion	2
193	jimbo61101jr	2
193	TooManyDuck	2
193	T045RTY	2
193	MrKrabOnCoke	2
193	picardred	2
193	MattieHD	2
193	Cortexia	2
193	mcFarty	2
193	Groyperbuscus	2
193	NoxxxxiS	2
193	Glowhetic	2
193	eiC_	2
193	mimbo1211	2
193	trixterrx	2
193	shadowthemonkey	2
193	Ristebraaten	2
193	Rebytre	2
193	Sheellky	2
193	LeGold	2
193	Cattoh	2
193	Austinizzle	2
193	KlausVonStiglitz	2
193	SolicitedPuma101	2
193	BigCronkin	2
193	MAns_44	2
193	QueenShuvi	2
193	kalzor	2
193	SingedBread	2
193	Barlycorn	2
193	Vegvisir	2
193	ceAndyX	2
193	PabloGonza02	2
193	SvenskaHugo	2
193	starbits140	2
193	Chuglyfe	2
193	PortlyPete69	2
193	_i_ERROR_i_	2
193	VentiHilton	2
193	EngagedGrub41	2
193	mobunni	2
193	CattSoup	2
193	Empresario	2
193	_Dri_	2
193	Calbo_	2
244	Alexanderjac	1
244	angelinaur	1
244	maxdacatv2	1
244	goalie9	1
244	Groovy_MoonBird	1
244	k_ce	1
244	MuffinManzz	1
244	Bandito_Roamer	1
244	Apollo_993	1
244	Ninzyyy	1
244	Cowison	1
244	PazinGaming	1
244	TildaAndrea	1
244	SlowMoNinja1994	1
244	DepressedCubic	1
244	Frozil20	1
244	6king6colt6	1
244	SirUnderpants	1
244	gren_ben	1
244	ColeSnyder	1
244	Slinkyy7071	1
244	DinoDoctor_	1
244	hm947	1
244	Killercatty78	1
244	Gundam_Steven	1
244	Incinere	1
244	Jahara	1
244	SailiXX	1
244	jimintyy	1
244	KomputerDude	1
244	SidorAlex	1
244	ivorico	1
244	Jackster03	1
244	Prismyst	1
244	PhantomBionic	1
244	Myszoaz	1
244	jessewegottacook	1
244	MarqelGHG	1
244	Alfred603	1
244	tramizu	1
244	Ganjier	1
244	Pofen	1
244	John_Acacia	1
244	ratglock	1
244	I_Moose	1
244	bloodbiter	1
244	MoistEggo	1
244	Tiberonus	1
244	Foltest1	1
244	xX_HaroldHolt_Xx	1
244	_Dean_123	1
244	FemboyFwuit	1
244	boog4loo	1
244	excelsionprime	1
244	Z3braYTIL	1
244	set67	1
244	Blazebit	1
