rank	username	minecraft:picked_up/minecraft:nether_bricks
1	Hyp3rion_	520466
2	Frozil20	233894
3	Kakolbus	20544
4	doublemaki	15641
5	PigDab	15320
6	Blaiku	14852
7	noam464	14120
8	BobDeBouwer1337	13419
9	Racengan	11964
10	vandmanden	10533
11	HellsSponge	10487
12	XboxPanda	8891
13	Vorlice	8708
14	thewindmillman	7212
15	lizardfightclub	6803
16	El_Jalapeno	6795
17	Di_infiri	5554
18	TheShyPig	5510
19	Deathkob	4575
20	Spacewardharpy7	4568
21	eitanzaki	4147
22	ooga47	3959
23	pintsizedrogue	3736
24	joethahobo	3405
25	Skippeh	3270
26	Bumpy419	3196
27	Xclax101	2951
28	SellyZ	2851
29	AstreaTSS	2774
30	luseis	2458
31	PazinGaming	2370
32	Yamdalorian	2233
33	Saucepeh	2184
34	PortlyPete69	2127
35	thescout7	2118
36	PlasticOtari	1980
37	Lord_Jord	1942
38	Blackberry1310	1879
39	cedric72	1813
40	Blu3beast	1775
41	Prismyst	1763
42	MAns_44	1761
43	_Nuf	1726
44	ebanana	1671
45	Groovy_MoonBird	1563
46	m_be9	1517
47	Rebytre	1324
48	Snowflowe	1318
49	yulgur1	1246
50	ImpavidArcher	1168
51	Enderxz3	1149
52	Mahoose	1140
53	robertsnose	1139
54	kekhon	1136
55	eiC_	1104
56	Legendosh	1084
57	legal_tax_evader	1068
58	Akoot_	1058
59	Groundler	1049
60	burbankbuilder28	1046
61	PhantomsGhost_	1028
62	Spaghettatron	1007
63	FreakGenius	1006
64	Elastiq	958
65	TechnoNinja64	935
66	ShedJr_	933
67	Soplight	882
68	SuperPooch06	872
69	00000000-0000-0000-0009-01ff0c3e5e4f	868
70	bigstankyy	854
71	11Brewer	804
72	4774	782
73	Onennon	761
74	MyNameIsJobo	760
75	DanTheBuilderino	746
76	surfinggiraffejp	745
77	Werbe	707
78	TheDankPlatypus	705
79	rarrq	686
80	Cowison	683
81	Jovaphobic	660
82	jcool7	646
83	TheSecondLord	621
84	beeperbeeper5	601
85	Buuck_	599
86	livingdaydreams	579
87	500am	573
88	Jimb0nat0r	559
89	Caribouse	552
90	The11thDoctor	529
91	DermeinUser	507
92	Reamdin	500
93	MyMawgDonaldsGon	469
94	djancak	461
95	Segotep999	457
96	dudcreeper	433
97	OfficerAnvil	423
98	Merv__	415
99	Barlycorn	401
100	Malorn_Aetherius	385
101	fffMike	365
102	Lazy_geniusig	354
102	AlphaWolfPlaysMC	354
104	Druid95	350
105	Kowcio_	342
106	Zaridey	339
107	crying_wolf_13	335
108	Rasmanden	333
109	DarlaMeow	331
110	gaziter10	325
110	Marbz_	325
110	CaptainDeadBread	325
113	royal_2	324
114	ROY4LE	323
115	r123moore	320
116	Kamflame	316
117	stavgod	314
118	AssFullaCum	311
119	Vizzoid	304
120	diamondgolem35	298
121	Northernrabbit	291
122	milltesco	290
123	CACTUSLAD	282
124	Billious	273
125	301851	267
126	Zythose	262
127	RobotMinion101	261
128	JayToe	258
129	mimbo1211	257
130	xXTheWolfmanXx	254
131	Mr_Byzantine	253
132	Jindong	249
132	CliffEmAll	249
134	EMC_	246
134	mwrty	246
136	set67	245
136	miramyu	245
138	Fullut	244
139	ColeSnyder	242
140	Manaateee	237
141	2Stout	232
142	McCakeAh	230
143	Njensen7	229
144	MilleGrug	223
145	Quincannon	221
146	oscminus	216
147	shineh10	213
147	Hiryu27	213
149	SSytex_X	202
150	lordpipe	201
