rank	username	minecraft:picked_up/minecraft:pink_dye
1	thewindmillman	538484
2	Hyp3rion_	33173
3	noam464	25928
4	hanaryheatwave	20800
5	Huwulling	562
6	lordpipe	477
7	HellsSponge	438
8	EveryonesUncle	384
8	PlasticOtari	384
10	Mr_Byzantine	324
11	Lez_	296
12	TechnoNinja64	192
13	pintsizedrogue	160
14	kekhon	142
15	imaginek1d	131
16	Sleepy_Evelyn	128
17	fffMike	115
18	FreakGenius	113
19	ConnorDanky_	108
20	EMC_	104
21	Manaateee	102
22	YungMaki	80
22	_i_ERROR_i_	80
24	BlancoFlaco	78
24	Legendosh	78
26	Bandito_Roamer	67
26	Ecplosive	67
28	Spacewardharpy7	66
29	Akoot_	65
29	Tyrannosplart	65
29	jnp_gaming	65
32	Xalithia	64
32	Werbe	64
32	Dennid	64
32	CornOnTheCobalt	64
36	ZigzagLily43042	62
37	Yamdalorian	60
38	SammiWolfGirl	55
39	mwrty	54
39	AltnumberF4	54
41	Jimb0nat0r	51
42	beeperbeeper5	40
43	PeteO1995	39
44	Kakolbus	36
45	luseis	33
46	MinerDec	32
46	The_SlideV5	32
48	Archsam	31
49	Blaiku	22
50	xxPipperDipperxx	21
50	KamFurnace	21
52	Sheellky	20
52	LilLizardWizard	20
52	Fildyr	20
55	q_wq	18
55	Mahoose	18
57	seramalen	14
57	MovingFish7	14
59	00000000-0000-0000-0009-01ff0c3e5e4f	13
60	ewsophie	12
60	Enderxz3	12
62	ECstardust	10
62	eitanzaki	10
62	Onennon	10
62	KartivGal	10
62	miramyu	10
67	Kynigito	9
68	ROY4LE	8
69	Saucepeh	7
69	Inchef	7
69	Eraxa	7
72	ARandomHedge	5
72	Quotary	5
74	Tobinator_007	4
74	Arceus1975	4
74	Reneedium	4
74	ese_wn_po	4
74	Jiminbub	4
74	Blu3beast	4
74	Kowcio_	4
74	starbits140	4
74	Steelynan	4
74	mountaingirl311	4
84	PhantomsGhost_	3
84	SaucyDark	3
84	Natty	3
84	thescout7	3
84	PlzNoBM	3
89	seanitoo	2
89	Dumkii	2
89	teqilas	2
89	TheSecondLord	2
89	ProfessorBee	2
89	lorpus	2
89	Kubelz	2
89	John6970	2
89	Winklepicker279	2
89	GamerDuck123	2
89	HAIRYCLOUD626	2
89	KeruNatsema	2
89	420BreadLizard	2
89	NomadicRobin_	2
89	pretty_pink_reno	2
89	Toriankel	2
89	monky_irl	2
89	sp00ky_ghost977	2
89	djancak	2
89	KingMatthew506	2
109	Jalvajar	1
109	natasha_blush	1
109	hollowww	1
109	SmashingPump	1
109	Ryker	1
109	livingdaydreams	1
109	corvidpartyfor6	1
109	SellyZ	1
109	bl1ss0	1
109	Marbz_	1
109	yheece	1
109	Chromary	1
109	ApophisNova	1
109	Soap_Bender	1
109	NameGenerat0r	1
109	Razzgriz	1
109	LordSpeed37	1
109	Pumpkin_P_Patch	1
109	TheBananaKat	1
109	CattSoup	1
109	MyNamaSheff	1
109	skitzxo	1
