rank	username	minecraft:picked_up/minecraft:blue_bed
1	mwrty	123
2	HellsSponge	107
3	pixelviolin	71
4	Soplight	54
5	YungMaki	50
6	Paintz	43
7	12Magner05	36
7	Shogunite	36
9	Xclax101	32
9	Ezekson	32
11	4774	29
12	Skippeh	28
13	Legendosh	25
14	U_Mos_	23
14	miramyu	23
16	SmashingPump	22
17	kekhon	21
18	Apollo_993	19
19	Merv__	18
19	Blu3beast	18
21	33sudo	17
22	teslawolf38	15
22	Historical_Sand	15
22	El_Jalapeno	15
25	pintsizedrogue	14
25	Inchef	14
25	Zythose	14
25	HelloIamSora	14
25	diggydog67	14
30	Jackattack53	13
31	CloroxBleach385	12
31	CharlieButt	12
31	Di_infiri	12
31	burbankbuilder28	12
31	luseis	12
31	JESS_THE_RERE	12
31	The_slideV3	12
38	SyntheticSurgeon	11
38	QuesoCrusaderIII	11
38	Kowcio_	11
38	Dreamdbr14	11
42	_Nuf	10
42	J4k__	10
42	fw3xy74	10
42	Blaiku	10
42	ZeroKraken	10
42	00000000-0000-0000-0009-01ff0c3e5e4f	10
48	k_ce	9
48	Kkanot	9
48	ROY4LE	9
48	Rumpletaezer	9
48	Mattesco	9
48	CarryLine	9
48	EveryonesUncle	9
48	Steelynan	9
56	diamondgolem35	8
56	Guillemet	8
56	TheShyPig	8
56	Tyrannosplart	8
56	fffMike	8
61	xxPipperDipperxx	7
61	thebaddruid	7
61	Vetral1	7
61	NomadicRobin_	7
61	MAns_44	7
61	Enderxz3	7
61	Yamdalorian	7
68	H0UNDFRMH3LL	6
68	NoHaHeHa	6
68	yheece	6
68	AuroraSkies	6
68	NYJ	6
68	Smiguli_	6
68	Soul_Atreus	6
68	EngagedGrub41	6
76	Harotio	5
76	Flores991	5
76	Myszoaz	5
76	rarrq	5
76	ratglock	5
76	TheSecondLord	5
76	thebest_daniela	5
76	Motsaro	5
76	purpolepickle	5
76	GOOBERGABE04	5
76	thewindmillman	5
76	Olib3ar	5
76	EdGalbraith	5
76	natajimi	5
76	Manaateee	5
76	ReflexCode	5
76	Gus2005	5
76	MakeHistory157	5
76	Luigipunch989	5
76	MilleGrug	5
76	ConnorDanky_	5
76	RadarHz	5
98	soundad	4
98	Mahoose	4
98	beeperbeeper5	4
98	500am	4
98	fr_ser	4
98	caesarleon	4
98	Fatimus_	4
98	NNikitas	4
98	F_Uhre	4
98	LilLizardWizard	4
98	Jimi7hits	4
98	Hahaa_0	4
98	Deathkob	4
98	Gloomspect	4
98	QueenShuvi	4
98	SexcMf	4
98	SammiWolfGirl	4
98	OfficerAnvil	4
116	ECstardust	3
116	Killercatty78	3
116	JokoFiskare	3
116	maliraspberry	3
116	T045RTY	3
116	Jackster03	3
116	kerryfull1	3
116	Gregward_Smith	3
116	ccwildfire1	3
116	Tiberonus	3
116	Xalithia	3
116	noam464	3
116	TableTim	3
116	Solar_Power	3
116	The11thDoctor	3
116	Sharkbyte0	3
116	FishyBoy3811	3
116	JoeSaysBingBong	3
116	Meepcraft	3
116	Dakar_	3
116	fluddd	3
116	Racengan	3
116	wwwwinnebagoooo	3
116	AvaRosey	3
116	Spenduh	3
116	Dogcorn69420	3
116	kaiwill0w	3
116	BreadBacon	3
116	TechnoNinja64	3
145	MunkaKris	2
145	Mocha_Mug	2
145	eitanzaki	2
145	TAKrules	2
145	Archsam	2
145	Bowba123	2
145	FirsTimeGamingTV	2
145	Sparky_KT	2
145	m_be9	2
145	Smashic	2
145	hijeatsdirt	2
145	hcb238	2
145	olliebollie48	2
145	Winklepicker279	2
145	LAVA129	2
145	LilyNova	2
145	BronkerBrum	2
