rank	username	minecraft:picked_up/minecraft:cobbled_deepslate
1	thewindmillman	918121
2	Hyp3rion_	110668
3	non089	84688
4	500am	76913
5	pintsizedrogue	75820
6	Marbz_	73116
7	mihimihimihi	68044
8	gcaisawesome	67074
9	Jimb0nat0r	46701
10	SpacesickPrism	38916
11	Jackattack53	38894
12	Njensen7	37747
13	Manaateee	35094
14	corvidpartyfor6	28540
15	beeperbeeper5	27803
16	luseis	25976
17	12Magner05	25904
18	MinttyFressh	24890
19	Fuad_R	24271
20	Kowcio_	24187
21	k_ce	23728
22	Apollo_993	23394
23	Ezekson	21119
24	AdmiralSmoke	20390
25	ChronoSounds	19265
26	RoskobiOne	19154
27	MAns_44	18954
28	xPixelRainx	18826
29	RebelAndroid	17316
30	Huwulling	17311
31	groofles	15313
32	Smashic	15067
33	Mattesco	15052
34	Iamthejo	14649
35	Alteriity	14508
36	fade_emerge78823	14454
37	AstreaTSS	13808
38	PazinGaming	13191
39	Touched_Bread	12673
40	YungMaki	11995
41	prizm_	11775
42	00000000-0000-0000-0009-01ff0c3e5e4f	11492
43	TheSecondLord	10962
44	Segotep999	10942
45	SvenskaHugo	10844
46	zToasty69z	10645
47	Mr_Byzantine	10274
48	CuzIm2Kev	10183
49	StinkyDiplomat	10000
50	iSammael	9990
51	Crowman1	9855
52	PlasticOtari	9826
53	MC_Gamer_Geek	9792
54	Da_Boss_Rani	9623
55	Kakolbus	9525
56	rarrq	9318
57	jessewegottacook	9033
58	EMC_	8860
59	ZoomieZoomie	8520
60	diamondgolem35	8424
61	Sharkbyte0	8124
62	MrKrabOnCoke	8015
63	Moofyman	7895
64	Winklepicker279	7788
65	EngagedGrub41	7677
66	NLKBuilder	7534
67	Nicserso	7454
68	hanaryheatwave	7450
69	MuffinManzz	7311
70	SvenskaAlvar	7283
71	tuckerdoodle	7256
72	kalzor	7204
73	TheDankPlatypus	7026
74	Lord_Doob	7010
75	_Nat666	6942
76	TheALV	6772
77	Elastiq	6692
78	fw3xy74	6242
79	teslawolf38	5977
80	AltnumberF4	5964
81	Rebytre	5888
82	Snowflowe	5877
83	BungalowBeet	5834
84	LeauVox4921	5626
85	QuiCreans	5591
86	Enderxz3	5529
87	ZaneABrain	5307
88	AlexxO_o	5185
89	Sleepy_Time_	5129
90	NATE_the_HALO	5021
91	ImpavidArcher	5015
92	Jimi7hits	5014
93	ItsHydroMC	5011
94	shrimp_flips	4805
95	Mahoose	4795
96	Krowuss	4778
97	TheBananaKat	4764
98	Skylord_Luke	4750
99	FadedSpade82	4725
100	joethahobo	4562
101	ATurtle4936	4504
102	TheWildMateo	4397
103	Jonafrog99	4266
104	thebaddruid	4237
105	Megarboh	4225
106	mobunni	4177
107	ItsDeltaMC	4099
108	CattSoup	4034
109	ccwildfire1	3981
110	Wowful	3901
111	Spacewardharpy7	3822
112	bearlystraight	3756
113	AshleySpiritHawk	3669
114	excelsionprime	3639
115	tsitrawhy	3636
116	AuroraSkies	3601
117	kyouma777	3570
118	SingedBread	3504
119	PaperCanvas	3488
120	GooseWithin	3459
121	LeEricc	3436
122	2blox_	3410
123	Weepingbiel	3405
124	Steelynan	3354
125	Kekoo	3235
126	ECstardust	3147
127	Legendosh	3024
128	Ryker	2974
129	PigDab	2968
130	weabis	2948
131	wwwwinnebagoooo	2928
132	longappendage	2891
133	pixelviolin	2785
134	H0UNDFRMH3LL	2769
135	Spenduh	2714
136	catandmoose	2672
137	Dakar_	2504
138	crying_wolf_13	2410
139	JitteryJared2	2386
140	nattybears	2344
141	CaracolCxnt	2325
142	THEKINGLyric10	2303
143	RoBe__	2299
144	shineh10	2298
145	_Huge_Male_	2294
146	ActualPatbaf	2282
147	The_Fulgurator	2194
148	Silvo614	2180
149	noam464	2118
150	lunathelemon	2101
151	Malware_Mara	2039
152	censorsheep	2018
153	nut_e	1999
154	infiniteQuery	1995
155	EtherealSilveon	1960
156	MineMaster0012	1940
157	CowOfTheNile	1923
158	Solar_Power	1883
159	UCP_TheKingK	1833
159	_i_ERROR_i_	1833
161	EricAurum	1814
162	Soplight	1810
163	Lutres_	1802
164	Lez_	1798
165	Methalox1	1774
166	00000000-0000-0000-0009-01f26ea966c4	1756
167	DracZSenpai	1743
168	fluddd	1725
169	Dblikstad	1658
170	SBean737	1657
171	fffMike	1648
172	ITDV	1639
173	MogusBussy69	1634
174	TJawesome09	1625
175	Heisenbberrg	1588
176	DabKeepaBlicky	1578
177	coobert42	1575
178	PhantomBionic	1567
179	Zackran	1552
180	TAKrules	1513
181	Prismyst	1494
182	Masssonnn	1489
183	HoltGrim	1485
184	SquadMonster	1481
184	KGTV	1481
186	lordpipe	1451
187	satuern	1442
188	Gemstuff	1361
188	Koffeeinz	1361
190	Kubelz	1306
191	BPTY4618	1305
191	JETrotter	1305
193	Dennid	1293
194	breadbowlgamer	1263
195	SaphLaseer	1215
196	TruestTurnip	1199
197	hm947	1163
198	cubecutter124	1156
199	Deathkob	1127
200	Tiktola01	1107
201	Killercatty78	1081
202	dartwaffle	1061
202	Hermanni__	1061
204	zOnlyKroks	1037
205	chipklip	1035
206	IdeallyGrey	1034
207	Raspberry_Sodas	1013
208	Alfred603	1007
209	Ev0luti0nz	971
210	Mookle96	970
211	ApophisNova	967
211	MyNamaSheff	967
213	LeGold	941
214	ZeroAbyssTTV	930
215	benediktine1	906
216	HolyVenom	899
217	KowcioJr	895
218	BiggieDawg	875
219	titanlax	874
220	Vegvisir	872
221	Felenov	871
222	Creativebuilder2	867
223	Toriankel	866
224	Chickenchaser2	861
225	ConJaBz	859
226	corpsecity	832
227	Hail_the_wombat	819
228	noful	818
229	Blackberry1310	805
230	ItsDed	799
231	Invintic	789
232	I_Moose	784
233	masskedman	780
233	KujikawaRisechi	780
235	SuperPooch06	749
236	Meeerkat	738
237	Lord_Zacler	735
238	Inchef	727
238	PixelatedBoss	727
240	NoHaHeHa	722
241	xxPipperDipperxx	706
242	BenPenguin	696
243	calamariclam_I	687
244	_lildarki3	684
245	iElijah	672
246	Yahir091	665
247	Secret_Canary	653
248	itburb	640
249	Veillax135	631
250	shadowthemonkey	621
251	Sorry_Arey	590
252	FreakGenius	581
253	Avocadogerms	563
254	Kamflame10	549
255	Nadhorion	533
256	Crynrus	520
257	bananamix994	516
258	Enigma0251	502
259	_Boipl_	499
260	underscore_2	495
261	Sniper008	488
262	Btabtab	485
263	Merv__	482
