rank	username	minecraft:picked_up/minecraft:cut_red_sandstone
1	Yamdalorian	521
2	Legendosh	354
3	El_Jalapeno	337
4	royal_2	100
4	ROY4LE	100
6	Parcc	87
7	RatatJuice	83
8	FreakGenius	56
9	PlasticOtari	39
10	TheShyPig	33
11	legal_tax_evader	31
12	kekhon	29
12	SuperPooch06	29
14	Mr_Byzantine	20
14	joethahobo	20
16	Studio4x32	14
17	Lez_	13
17	weabis	13
19	Frozil20	11
20	Steelynan	9
21	oreee	8
22	Kowcio_	7
23	Mahoose	6
23	Xclax101	6
25	RobotMinion101	4
25	SkateboardR6	4
27	noam464	2
27	TheWildMateo	2
29	set67	1
29	Di_infiri	1
29	SvenskaSara	1
29	Manaateee	1
29	ItsDeltaMC	1
29	Enderxz3	1
