rank	username	minecraft:picked_up/minecraft:brick_stairs
1	Legendosh	1159
2	Di_infiri	983
3	Steelynan	772
4	burbankbuilder28	660
5	PlasticOtari	440
6	Akoot_	428
7	EcksDofficial	361
8	Kakolbus	336
9	_stets	287
10	SingedBread	286
11	NotMeanttoChange	237
12	Merv__	222
13	RodSerlingCringe	195
14	Diavri	162
15	Enderslayerxz3	156
16	Deathkob	154
17	Soplight	147
18	Dedalus36	145
19	ImpavidArcher	139
20	stahouo	125
21	paranoid_plant	121
21	EveryonesUncle	121
21	Quotary	121
24	m_be9	118
25	beeperbeeper5	115
26	DarlaMeow	112
27	Kowcio_	102
28	MinttyFressh	91
29	__tomato	87
30	Freak_Genius	84
30	TechnoNinja64	84
32	DemTechAlpha	79
33	thewindmillman	76
33	Frozil12	76
35	Mahoose	74
36	_Bguette_	71
37	TheSecondLord	67
38	MyNameIsDakar	64
39	Spacewardharpy7	63
40	Mr_Byzantine	59
40	Freeman666	59
42	cowgirlkasia	56
43	TheShyPig	55
44	SkateboardR6	54
45	PhantomsGhost_	51
46	joethahobo	48
47	KarlKaek	47
48	kekhon	45
49	Werbe	41
50	Jiminbub	38
51	ShedJr_	33
51	2Stout	33
53	q_wq	32
53	Zythose	32
55	Russiancat1	31
56	fkGrim	29
57	Onennon	28
57	Meatlaugh	28
59	500am	26
60	El_Jalapeno	25
61	Doom_melon	24
61	NomadicRobin_	24
63	groofles	22
64	rarrq	21
65	lcvezra	18
66	Historical_Sand	16
66	Blackberry1310	16
66	CalebDHawk	16
66	_3Stump_	16
70	Awyrlas	15
70	NNikitas	15
72	DarkS0L	14
72	Ezekson	14
74	RobotMinion101	12
74	DTwenty	12
74	Deerfoot	12
77	Jackattack53	11
77	Nekomin0	11
77	Jordan_R	11
80	SquadMonster	10
80	titanlax	10
80	NieToksikpl	10
83	AgressiveEggdog	9
83	eitanzaki	9
83	Jiminie	9
83	Nicserso	9
87	tuckerdoodle	8
88	SpaceGrenadier	7
88	Inchef	7
88	LeauVox4921	7
88	_naturell	7
88	Roikdean	7
88	NameGenerat0r	7
94	SaucyDark	6
94	Spaghettatron	6
94	peach0s	6
94	xxPipperDipperxx	6
94	noam464	6
94	Shin69	6
100	BilboBaggins23	5
100	HellsSponge	5
102	JohnnyFyes	4
102	bloomkieren	4
102	UCP_TheKingK	4
102	EcksD	4
106	MyNameIsJobo	3
106	Wowful	3
106	DeGodz4life	3
106	ReyTheLegend	3
106	its_lupus	3
111	SteveCraftBlocks	2
111	Barlycorn	2
111	GlitchyPlate810	2
114	RebelAndroid	1
114	Myszoaz	1
114	Stynxy	1
114	Jobydobe	1
114	Smashic	1
114	Ryanix	1
114	_Boipl_	1
114	Deodorante	1
114	chipklip	1
114	Fuad_R	1
114	The_slideV3	1
114	_czarny	1
114	MakeHistory157	1
114	kyouma777	1
114	oxfordschool	1
114	Wolverine4302	1
114	Smoke____	1
