rank	username	minecraft:picked_up/minecraft:deepslate_emerald_ore
1	pintsizedrogue	28
2	thewindmillman	17
3	SingedBread	13
4	joethahobo	9
4	Segotep999	9
6	Apollo_993	8
7	beeperbeeper5	7
7	Spacewardharpy7	7
9	luseis	6
10	YungMaki	5
10	MilleGrug	5
10	AdmiralSmoke	5
13	CLG_Kata	4
13	CoffeeNoir	4
13	Mahoose	4
13	500am	4
17	Manaateee	3
17	Kowcio_	3
19	k_ce	2
19	EMC_	2
19	Flores991	2
19	Smashic	2
19	shadowthemonkey	2
19	Jackattack53	2
19	Rebytre	2
19	TheOuterCore	2
19	Skippeh	2
19	RadarHz	2
19	Jimb0nat0r	2
30	PazinGaming	1
30	SmashingPump	1
30	Huwulling	1
30	rarrq	1
30	TheSecondLord	1
30	hanaryheatwave	1
30	lordpipe	1
30	ItsDeltaMC	1
