rank	username	minecraft:picked_up/minecraft:snow_block
1	thewindmillman	39880
2	SingedBread	9189
3	beeperbeeper5	5104
4	Smoke____	4415
5	Drawgirll	4105
6	Hermanni__	3991
7	pintsizedrogue	3806
8	TheSecondLord	3690
9	xxPipperDipperxx	2836
10	Enderslayerxz3	2669
11	Ezekson	2625
12	EcksDofficial	2596
13	YungMaki	2459
14	Groundler	2263
15	set67	1912
16	Segotep999	1822
17	Eraxa	1687
18	Awyrlas	1485
19	SvenskaHugo	1363
20	Blu3beast	1230
21	claivin	1032
22	TechnoNinja64	932
23	Akoot_	691
24	ApophisNova	628
24	MyNamaSheff	628
26	Blackberry1310	622
27	PlasticOtari	598
28	Historical_Sand	593
29	Toriankel	574
30	kekhon	572
31	mihimihimihi	570
32	jacxhadow	554
33	Skippeh	514
34	500am	512
35	Snowflowe	495
36	Mahoose	491
37	wwwwinnebagoooo	465
38	rarrq	414
39	TheTrueClipse	379
40	Houstonion	374
41	SuperPooch06	371
42	CoffeeNoir	354
43	PhantomsGhost_	343
44	PigDab	320
45	El_Jalapeno	299
46	Di_infiri	296
47	Miko_Fullbuster	281
48	NoChumpChange	275
49	mwrty	262
50	Thaumatarge	253
51	Hyp3rion_	251
52	Drlzyy	241
53	diamondgolem35	231
54	joethahobo	228
55	Chromary	210
56	Natty	205
57	Lord_Jord	201
58	jnp_gaming	199
59	Pickel_Lord	192
60	Soplight	191
61	sp00ky_ghost977	181
62	Kkanot	172
63	Marbz_	164
64	Sky_light_KING	144
65	Jiminie	142
66	Onennon	138
67	kyouma777	136
68	EcksD	135
69	burbankbuilder28	134
70	scarletwarrior1	130
71	ROY4LE	128
72	Alteriity	123
73	lillips	113
74	MattieHD	103
75	corvidpartyfor6	102
76	Spenduh	101
77	himak1	100
78	Cocoamallows	98
79	_stets	96
79	SaucyDark	96
81	noam464	87
82	EMC_	84
82	TheShyPig	84
84	masskedman	82
85	NameGenerat0r	78
86	DarlaMeow	77
87	Kowcio_	76
88	Jackattack53	73
89	jushykins	67
89	RedcatVII	67
91	Werbe	66
92	fred870d	64
92	alderban107	64
92	Quotary	64
95	Incinere	62
96	Dusk_95	57
97	Tobinator_007	56
98	Cartoonmaniac	55
99	Jimi7hits	51
100	Legendosh	48
101	Mattesco	47
102	Cowison	45
102	diggydog67	45
104	ShedJr_	44
104	ProfessorBee	44
106	lcvezra	37
107	Frozil20	36
107	slkiey	36
109	SteveCraftBlocks	35
109	chipklip	35
111	fluddd	34
112	InfernalMound	32
112	420BreadLizard	32
114	m_be9	31
114	HellsSponge	31
116	Lez_	30
117	MSK__	28
117	monky_irl	28
117	Smiguli_	28
117	oxfordschool	28
121	melono_o	26
122	MeetTheWollo	25
123	OfficerAnvil	23
124	eitanzaki	22
124	DemTechAlpha	22
124	stellarjay	22
127	Arceus1975	21
128	_Dean_123	20
128	obzii	20
130	Njensen7	19
131	Freak_Genius	18
132	Blaiku	17
132	lordpipe	17
134	6king6colt6	16
135	ZeroAbyssTTV	15
135	Bumpy419	15
135	HolyVenom	15
135	Deathkob	15
139	Winklepicker279	13
140	ImpavidArcher	12
140	nocturne78	12
140	12Magner05	12
140	Ecplosive	12
140	AltnumberF4	12
145	Bandito_Roamer	11
145	WyngGoy	11
145	KG1999	11
148	FirsTimeGamingTV	10
148	Kamflame10	10
148	_Boipl_	10
148	non089	10
148	YoshikageBites	10
153	Skylord_Luke	9
153	JESS_THE_RERE	9
153	UrbanPlanner1978	9
156	Flapjacker687	8
156	John6970	8
156	CaptainAvenger7	8
156	rotten_mango	8
156	Spacewardharpy7	8
156	Sorins	8
162	teslawolf38	7
162	Kubelz	7
162	SpacesickPrism	7
165	Jalvajar	6
165	PortlyPete69	6
165	jcool7	6
168	RoskobiOne	5
168	Merv__	5
168	wiqor	5
168	HyperCave	5
168	Racengan	5
168	SammiWolfGirl	5
174	strongman951753	4
174	ChampPog_	4
174	Rocco_Lane	4
174	sammidk	4
174	ToastedGamingYT	4
174	RodSerlingCringe	4
174	LexMakesHistory	4
174	StinkyDiplomat	4
174	Winston_Ingram	4
183	MyNameIsJobo	3
183	Rebytre	3
183	h2p_emrld	3
186	Mr_Byzantine	2
186	jimintyy	2
186	T045RTY	2
186	egglapras	2
186	XboxPanda	2
186	M_Patata	2
186	Kakolbus	2
186	FishyBoy3811	2
186	MAns_44	2
186	MasterNueve	2
196	rats_life	1
196	dabloons	1
196	Jahara	1
196	SyntheticSurgeon	1
196	MrMattyPatt	1
196	titanlax	1
196	Fullut	1
196	UnderKat	1
196	Paintz	1
196	XxSiebzxX	1
196	ooga47	1
196	TTNG	1
196	WarpRanger	1
196	Nagasaki_Riku	1
196	pixelviolin	1
196	SSytex_X	1
196	TheOuterCore	1
196	Nicserso	1
196	2blox	1
196	00000000-0000-0000-0009-01ff0c3e5e4f	1
