rank	username	minecraft:picked_up/minecraft:sandstone_slab
1	Spacewardharpy7	8883
2	Groovy_MoonBird	2549
3	Steelynan	1432
4	eviltunix	1039
5	tuckerdoodle	943
6	Di_infiri	861
7	_stets	813
8	Ailmast	707
9	Merv__	654
10	Mahoose	586
11	AuroraValkyrie	493
12	KarlKaek	424
13	Onennon	395
14	Soplight	391
15	Frozil20	347
16	xXTheWolfmanXx	325
17	El_Jalapeno	314
18	12Magner05	299
19	TheShyPig	273
20	Prodiginus	266
21	Fullut	251
22	Kim_Jong_eel	243
23	ImpavidArcher	225
24	SteveCraftBlocks	216
24	Enderslayerxz3	216
26	2Stout	210
27	EcksDofficial	196
28	NameGenerat0r	194
29	Cryptacity	182
29	Diavri	182
31	epiksk8erduck	181
32	500am	178
33	pintsizedrogue	174
34	kekhon	167
35	Freak_Genius	151
36	audiocracked	145
37	TheDumbHuman	143
38	TheDankPlatypus	127
39	Maenara	124
40	planc_	119
41	eitanzaki	118
42	ROY4LE	114
43	fluddd	112
44	SkateboardR6	109
45	youhjjhhhjj	106
46	Waffleman258	94
47	Parcc	86
48	BodaciousCake	83
49	Smoke____	77
50	andy_rex	76
50	Racengan	76
52	_Bguette_	75
53	Hyugo	74
54	WyngGoy	72
55	John6970	70
55	Werbe	70
55	lillips	70
55	Powowowow	70
59	potato292	69
60	joethahobo	68
61	__tomato	67
62	Kyrum2169	66
63	Meatlaugh	65
64	Legendosh	62
65	NNikitas	60
66	Ajax6	58
67	NotoriousNina	52
67	loveseeker	52
67	Eraxa	52
70	_Karmaa	50
71	aikabot	49
72	Sky_light_KING	48
73	ReyTheLegend	47
74	KingFaenor	46
75	Babushka0430	45
76	Vizzoid	43
77	noam464	41
78	ApophisNova	39
78	MyNamaSheff	39
80	PhantomsGhost_	38
81	set67	36
81	emrekn	36
81	WarMachina	36
84	burbankbuilder28	35
85	Sral7	34
86	NotMeanttoChange	33
87	Wowful	31
88	jessewegottacook	30
89	stellarjay	28
90	Hpdinosaur	27
91	beeperbeeper5	26
91	YungMaki	26
93	Mr_Byzantine	24
94	RebelAndroid	23
94	ooga47	23
96	Karetoko	21
97	EveryonesUncle	20
97	DarlaMeow	20
97	TechnoNinja64	20
100	rarrq	19
100	MinuteMira	19
100	JayToe	19
103	Inchef	18
104	HellsSponge	17
105	TheSecondLord	16
105	wobn	16
107	Blackberry1310	15
107	FGamerJ	15
109	CueMix	14
109	Incinere	14
109	TableTim	14
112	jspwn	13
112	diamondgolem35	13
112	awesomeoneme	13
112	himak1	13
112	Akoot_	13
112	_3Stump_	13
118	Ssor69	12
119	TheMaster972	11
119	AJplaysMC_	11
119	stahouo	11
122	QuakerOatsGod	10
122	SwooshBoi	10
124	JohnnyMines	9
124	Arceus1975	9
124	Voxin2K	9
124	Inbefour	9
124	SexcMf	9
129	peach0s	8
129	chipklip	8
129	stavgod	8
129	jnp_gaming	8
133	Notta	7
133	Frach23	7
135	TheMilkerOfCats	6
135	The_slideV3	6
137	ZaneABrain	5
137	FreddyFart	5
137	Quaintster	5
140	Cats_Fly	4
140	_Dean_123	4
140	Chromary	4
140	JustAWill_	4
140	erkada	4
145	bigstankyy	3
145	the_fireminer	3
145	Swexti	3
145	RobotMinion101	3
145	ebanana	3
145	StanClubPenguin	3
145	UCP_TheKingK	3
145	PortlyPete69	3
145	Dreamdbr14	3
145	FelixPSY375	3
155	I_Am_Mushkin	2
155	ssleepless	2
155	dongli	2
155	CoffeeNoir	2
155	ShedJr_	2
155	Euclidoris	2
155	Awyrlas	2
155	thgrocks	2
155	SpookyDraggin	2
155	MightyWertu	2
155	IAmTheWalrus910	2
155	cum_chalice	2
167	hakai_gr	1
167	dudcreeper	1
167	Natty	1
167	ThePaladin1	1
167	IWorkAtIkea	1
167	SDMNAEK	1
167	Tmb1	1
167	r123moore	1
167	Covalents	1
167	platinumzero	1
167	prizm_	1
167	thewindmillman	1
167	Bumpy419	1
167	lOlmantschi	1
167	Dennid	1
167	The_Quack_Dealer	1
167	Blaiku	1
167	Razzgriz	1
167	Optiprimus	1
167	ElectricDragon81	1
167	BlankityMcBlank	1
167	striker90333	1
167	Hermanni__	1
167	kinas45y5	1
167	sea_otter_h	1
