rank	username	minecraft:picked_up/minecraft:iron_shovel
1	PigDab	375
2	Freak_Genius	54
3	picardred	49
4	Legendosh	47
5	masskedman	46
6	eitanzaki	40
7	kekhon	34
8	EcksDofficial	32
9	rarrq	29
10	cedric72	25
11	noam464	24
12	sp00ky_ghost977	23
12	Smoke____	23
14	El_Jalapeno	18
15	Historical_Sand	17
16	ShedJr_	15
17	bloodbiter	14
18	pintsizedrogue	13
18	Nach0Bear	13
18	selectrix	13
18	Hisiste	13
18	Ezekson	13
23	joethahobo	12
23	cowgirlkasia	12
23	Blackberry1310	12
23	monky_irl	12
23	djancak	12
23	Njensen7	12
29	Fullut	11
29	set67	11
29	Akoot_	11
29	Racengan	11
29	SammiWolfGirl	11
34	fanofbands101	10
34	Mahoose	10
34	tsohomie	10
34	beeperbeeper5	10
34	jacxhadow	10
34	thewindmillman	10
34	Spacewardharpy7	10
34	DontHaveKick	10
34	fffMike	10
34	jnp_gaming	10
44	TheSecondLord	9
44	ROY4LE	9
44	Groundler	9
44	stahouo	9
48	BlancoFlaco	8
48	DermeinUser	8
48	Di_infiri	8
48	Jackattack53	8
48	Arceus1975	8
48	LilLizardWizard	8
48	Blu3beast	8
48	MightyWertu	8
48	__Auspicious	8
48	WyngGoy	8
48	KingMatthew506	8
59	Bandito_Roamer	7
59	6king6colt6	7
59	RebelAndroid	7
59	Bumpy419	7
59	Werbe	7
59	EveryonesUncle	7
59	AssEatrAndLicker	7
59	Frozil12	7
59	Blaiku	7
59	VentiHilton	7
59	laron58	7
59	Skippeh	7
59	Enderslayerxz3	7
59	TechnoNinja64	7
73	seanitoo	6
73	Mowelan	6
73	T045RTY	6
73	_Dean_123	6
73	M_Patata	6
73	Ecplosive	6
73	MyNameIsJobo	6
73	TheShyPig	6
73	Lord_Jord	6
73	Lord_Zacler	6
73	sufjanlover	6
73	_Bguette_	6
73	_k2x	6
73	MasterNueve	6
73	Ze_BaronKrigler	6
73	Kowcio_	6
73	Soplight	6
73	_TCARREIRA_	6
73	oxfordschool	6
92	ImpavidArcher	5
92	SquadMonster	5
92	12Magner05	5
92	thescout7	5
92	Chromary	5
92	Roosje69	5
92	lizardfightclub	5
92	Toriankel	5
92	SkateboardR6	5
92	Eraxa	5
92	pixelviolin	5
92	YungMaki	5
92	FlagsAreBad	5
92	Kubeusz2010	5
92	anbbang	5
92	Nicserso	5
92	Sral7	5
92	Zoeyfortnite	5
110	Lepthymo	4
110	heysushii	4
110	123louis456	4
110	soundad	4
110	diamondgolem35	4
110	No_u4	4
110	SteveWithClout	4
110	Euclidoris	4
110	firesgal3116	4
110	GingerNeutron	4
110	Kamflame10	4
110	IforgotCS_Source	4
110	NotKaden_	4
110	Kakolbus	4
110	Bazongoman	4
110	NNikitas	4
110	Sky_light_KING	4
110	yulgur1	4
110	Katsuragi0243218	4
110	XxCookiequeenxX	4
110	HELLO_I_AM_BEAR	4
110	Meatlaugh	4
110	MyNameIsDakar	4
110	HellsSponge	4
110	NameGenerat0r	4
110	DanTheBuilderino	4
110	Warlord324	4
110	lordpipe	4
110	Dusk_95	4
110	07shiny	4
110	hdtpm	4
110	SvenskaHugo	4
110	smogfrog	4
