rank	username	minecraft:picked_up/minecraft:diamond_block
1	EcksD	1076414
2	Enderxz3	27139
3	Lez_	21046
4	Frozil20	13800
5	Hyp3rion_	6159
6	500am	5651
7	eitanzaki	2203
8	kekhon	1734
9	beeperbeeper5	1515
10	NameGenerat0r	1282
11	TheSecondLord	1163
12	Smoke____	1130
13	Blaiku	1056
14	joethahobo	1014
15	thewindmillman	778
16	Spacewardharpy7	748
17	xzvu	745
18	lillips	740
19	Di_infiri	732
20	gusstationwerker	695
21	Maenara	691
22	HellsSponge	585
23	noam464	580
24	Comma__	560
24	Blu3beast	560
26	pintsizedrogue	511
27	ConnorDanky_	470
28	RealGroot	450
29	jnp_gaming	448
30	lordpipe	423
31	FreakGenius	404
32	Blackberry1310	393
33	Werbe	391
34	Eraxa	381
35	NomadicRobin_	373
36	fluddd	370
37	YungMaki	366
38	SvenskaHugo	362
39	Mahoose	357
40	Soplight	338
41	_Dean_123	333
42	ImpavidArcher	321
43	Mythic1130	310
43	Ezekson	310
45	rarrq	289
46	SteveCraftBlocks	286
47	Inchef	284
48	yulgur1	281
49	UCP_TheKingK	271
50	SingedBread	263
51	BlancoFlaco	228
52	Fullut	218
53	vandmanden	212
54	Fuad_R	207
54	Kyrum2169	207
56	Huwulling	206
57	claivin	204
58	Skippeh	203
59	fffMike	201
60	TheShyPig	188
61	SammiWolfGirl	187
62	PlasticOtari	183
63	Historical_Sand	182
64	Akoot_	181
65	El_Jalapeno	178
66	EMC_	172
66	Zythose	172
68	Steelynan	159
69	AlexxO_o	158
69	Leithz6	158
69	__tomato	158
72	Inbefour	157
73	Racengan	154
74	MattieHD	153
75	jcool7	146
76	Sral7	145
77	Jackattack53	141
77	TechnoNinja64	141
79	Merv__	137
80	Esme_1	130
81	Legendosh	113
82	12Magner05	112
83	somegirl12_	110
84	Marbz_	109
85	bloodbiter	106
85	The_slideV3	106
87	masskedman	104
88	ApophisNova	103
88	MyNamaSheff	103
90	Smashic	102
90	Chromary	102
92	6king6colt6	100
93	Arceus1975	92
94	Froste131	90
94	WyngGoy	90
96	Natty	89
97	prizm_	88
98	PhantomsGhost_	86
99	Corbsman	85
100	Groovy_MoonBird	80
100	pixelviolin	80
102	SuperPooch06	77
103	h2p_emrld	76
104	Rasmanden	74
104	binman420	74
106	Alteriity	70
107	Mr_Byzantine	68
107	fade_emerge78823	68
109	T045RTY	67
109	Scathra	67
111	Myszoaz	66
112	_Virify_	65
113	abramgray	64
113	teslawolf38	64
113	Crowman1	64
113	set67	64
113	issazumi	64
113	Hiryu27	64
113	tsitrawhy	64
113	camando92	64
121	zToasty69z	63
122	Awyrlas	62
122	himak1	62
124	Rebytre	61
125	ROY4LE	59
125	PortlyPete69	59
127	_Bguette_	57
128	Wooptey	56
129	Powowowow	53
130	Cocoamallows	51
130	Kowcio_	51
132	Covalents	50
132	XboxPanda	50
134	fw3xywashere	49
134	luseis	49
134	RoofTyler	49
137	boog4loo	48
137	_Karmaa	48
139	Notta	47
139	MinttyFressh	47
139	DarlaMeow	47
142	Rumpletaezer	45
143	gabriels543	44
144	obzii	43
145	2Stout	42
145	ItsJunoIGuess	42
145	Nicserso	42
148	Njensen7	41
149	lorpus	40
150	CadenSteele	39
150	thescout7	39
150	Eczbek	39
153	WET_WET_WET	38
153	Truckoss	38
153	EveryonesUncle	38
156	Creativebuilder2	37
156	SBean737	37
158	mwrty	36
158	alderban107	36
160	SDMNAEK	35
160	CliffEmAll	35
160	Skylord_Luke	35
160	SkateboardR6	35
164	dimondking777	34
164	Ailmast	34
164	MakeHistory157	34
167	SaucyDark	33
167	Sabby65	33
167	dimitri0s	33
167	Optiprimus	33
171	m_be9	32
171	SvenskaSara	32
171	Mattesco	32
171	PigDab	32
171	Jamstroxian	32
171	Jimb0nat0r	32
177	eviltunix	31
177	MilleGrug	31
179	fr0stss	30
179	_Boipl_	30
179	IamCL4SSY	30
179	Groundler	30
179	PlzNoBM	30
179	ProbsNotNova	30
179	CattSoup	30
186	Onennon	29
186	Toriankel	29
188	LeDuctTape	28
188	Lord_Jord	28
188	07shiny	28
191	tobinwilliams	26
191	KliBeast21	26
193	Snowflowe	25
193	LeGold	25
193	groofles	25
193	Karbl	25
197	I_Am_Mushkin	24
197	CheesyToess	24
197	audiocracked	24
197	bladeefan2009	24
201	pr33tu	23
201	xxPipperDipperxx	23
203	fanofbands101	22
203	godipose	22
203	lcvezra	22
203	TheOuterCore	22
207	BurdLyon	21
207	RobotMinion101	21
207	wezzzi	21
207	_TCARREIRA_	21
211	Sleek_Storm_721	20
211	CoffeeNoir	20
211	titanlax	20
211	Kkanot	20
211	SellyZ	20
211	MyNameIsJobo	20
211	Airem_Core	20
211	Hermanni__	20
219	AuroraValkyrie	19
