rank	username	minecraft:picked_up/minecraft:porkchop
1	Kateesaur	1094
2	Windo_licker	1007
3	RadarHz	883
4	noam464	788
5	Akoot_	656
6	thewindmillman	584
7	UrbanPlanner1978	551
8	ooga47	550
9	joethahobo	529
10	El_Jalapeno	499
11	eviltunix	408
12	Kubeusz2010	406
13	KingMatthew506	376
14	Freak_Genius	367
15	Snowflowe	314
16	Mahoose	310
17	BlancoFlaco	302
18	Gryglu583	301
19	gcaisawesome	292
20	Menthas	285
21	cichy096	267
22	ROY4LE	264
23	Rumpletaezer	261
24	pintsizedrogue	257
25	sufjanlover	245
26	eitanzaki	235
27	Blaiku	227
28	Xclax101	226
29	MattieHD	220
30	m_be9	210
31	DanTheBuilderino	208
32	Lord_Jord	206
33	Comma__	197
34	kekhon	196
34	GingerNeutron	196
36	Legendosh	186
37	NormanFetus	180
38	6king6colt6	173
39	thescout7	167
40	Decaying_Lotus	161
41	PigDab	159
42	jacxhadow	158
43	Natty	156
43	Hyp3rion_	156
45	yulgur1	149
46	beeperbeeper5	148
47	Bumpy419	147
48	trixterrx	144
49	Awyrlas	143
50	__TheNorseMan__	140
51	SyK7	130
52	Vetral1	126
52	wobn	126
54	Smoke____	120
55	brofrickcheaters	119
55	OfficerAnvil	119
57	ratglock	116
57	mobunni	116
59	SingedBread	115
60	Di_infiri	114
60	voiding_	114
62	Prodiginus	108
62	Enigma0251	108
62	Kubelz	108
65	fanofbands101	107
66	beeleg	106
67	ThePoliteG	103
67	Enderslayerxz3	103
69	Mowelan	101
70	pappaberg	100
70	Frozil12	100
72	Oxygen16	99
72	trexgb	99
74	Groovy_MoonBird	96
74	PhantomsGhost_	96
74	SpicyMeatballs	96
74	Ze_BaronKrigler	96
78	Blackberry1310	94
79	Rebytre	91
79	ItsAki_	91
81	DennyKai	90
82	Myhym	87
82	420BreadLizard	87
84	500am	83
85	dopplexd	82
86	RedcatVII	81
87	Typadopoulos	80
88	Spacewardharpy7	79
89	zmpeg	78
90	Russiancat1	77
91	FujiBS	76
92	MusicMe1005	74
93	dabloons	73
93	St4nLe7	73
95	maxdacatv2	72
96	NoobSlayerPro	71
96	HellsSponge	71
96	2blox	71
99	jaimshae	70
99	Erased_Identity	70
101	BumbleBeever	69
101	djancak	69
103	r123moore	68
104	AJplaysMC_	67
104	DeeDeeThonk	67
104	DarlaMeow	67
107	I_Am_Mushkin	66
107	TheSecondLord	66
107	diggydog67	66
110	Bruh77	65
111	TheShyPig	64
111	krutas2000	64
111	tartanboy	64
114	crying_wolf_13	63
114	Skylord_Luke	63
114	masskedman	63
114	SUN_DREAM	63
114	Ezekson	63
119	Jiminbub	61
119	Deguns123	61
121	Jovaphobic	59
121	Kowcio_	59
121	smogfrog	59
121	00000000-0000-0000-0009-01ff0c3e5e4f	59
125	Bandito_Roamer	58
125	ImpavidArcher	58
125	Vorlice	58
125	EcksD	58
129	bigstankyy	57
129	TooManyDuck	57
129	EcksDofficial	57
132	CliffEmAll	56
132	YahooScreen9000	56
132	stellarjay	56
132	PlzNoBM	56
136	Winklepicker279	55
136	MightyWertu	55
138	Project_MKBRD	54
139	Ninzyyy	53
140	Toriankel	52
140	Goat_Man512	52
142	mimbo1211	51
142	CollinMH06	51
142	XxCookiequeenxX	51
142	_3Stump_	51
146	soundad	50
146	chrolus	50
146	lizardfightclub	50
146	AvaRosey	50
146	Eon_57	50
146	laron58	50
152	Harotio	49
152	Matek_	49
152	DarkS0L	49
155	_Virify_	48
155	Slinkyy7071	48
157	Myrlewen	47
157	Myszoaz	47
157	GreedyFern8581	47
157	fred870d	47
157	wezzzi	47
157	Luigipunch989	47
157	MeetTheWollo	47
157	PlasticOtari	47
165	EMC_	46
165	Historical_Sand	46
165	censorsheep	46
165	Njensen7	46
169	KarlKaek	45
169	FallenCorps	45
171	tuckerdoodle	44
171	EvenMina	44
171	Shazzyling	44
171	GoofyBread	44
171	TheRoboSock	44
176	Paintz	43
176	kars0n	43
176	YungMaki	43
176	WYFYoyo	43
180	claivin	42
181	TheSeismicDuck	41
181	plato2066	41
181	jnp_gaming	41
184	SDMNAEK	40
184	VanJosh	40
184	bee_gorl	40
184	marumochis	40
188	Gundam_Steven	39
188	Mercadies	39
188	Kynigito	39
188	skelctal	39
188	kinas45y5	39
193	FirsTimeGamingTV	38
193	The11thDoctor	38
193	Nekomin0	38
193	Nargotah	38
197	gaziter10	37
197	_Dean_123	37
197	boog4loo	37
197	TeenMomTom	37
197	Bloo2406	37
197	Skippeh	37
197	TechnoNinja64	37
204	TheFlfthHorseman	36
204	Kryktal	36
204	Lutres_Torane	36
204	SkateboardR6	36
204	AstroLightz_	36
204	QueenOfDirt	36
210	Dipjol	35
210	Z22n	35
210	rarrq	35
210	intropass	35
210	Kim_Jong_eel	35
210	Racengan	35
210	Slapface522	35
217	Jahara	34
217	CoffeeNoir	34
217	leaf26	34
217	loveseeker	34
217	WarMachina	34
217	CaptainAvenger7	34
217	Sky_light_KING	34
217	DTwenty	34
217	Jiminie	34
217	Apicomplexa	34
217	00000000-0000-0000-0009-01f898304150	34
228	chimpmunker	33
228	Kegradigm	33
228	Ao_Ken	33
228	TerraVl	33
228	_Cloverbelle_	33
228	Joestra	33
228	Mweems	33
228	shrimp_flips	33
228	Airem_Core	33
237	PhantomBionic	32
237	bloodbiter	32
237	reiwai	32
237	NameGenerat0r	32
237	starbits140	32
237	Soffbord	32
243	hcb238	31
243	whoaluv	31
243	monky_irl	31
246	Dedalus36	30
246	oreee	30
246	12Magner05	30
246	KlausVonStiglitz	30
246	Eczbek	30
246	Rainaldus	30
252	dudcreeper	29
252	nut_e	29
252	lOlmantschi	29
252	XMiner22	29
252	Captain_Nasty	29
252	GlitchyPlate810	29
258	ccormacs	28
258	kkksc03	28
258	Inchef	28
258	Touched_Bread	28
258	smarticuno	28
258	BRRRN179	28
258	SullivanNephew	28
258	Cattoh	28
258	HoldThatPee	28
258	Cyntrical	28
258	radioactv_jelly	28
258	Segotep999	28
270	RosaDoesMC	27
