rank	username	minecraft:picked_up/minecraft:dark_oak_fence
1	TheShyPig	3441
2	pintsizedrogue	2723
3	Freak_Genius	2284
4	HellsSponge	1743
5	500am	1449
6	joethahobo	1247
7	KingMatthew506	1007
8	m_be9	795
9	Merv__	728
10	GingerNeutron	725
11	Dusk_95	694
12	ROY4LE	666
13	beeperbeeper5	663
14	El_Jalapeno	627
15	RatatJuice	621
16	EMC_	601
17	Blackberry1310	593
18	oxfordschool	519
19	burbankbuilder28	515
20	Mahoose	497
21	Eczbek	395
22	Onennon	370
23	rarrq	346
24	TheDankPlatypus	335
25	EcksDofficial	332
26	Fullut	290
27	jacxhadow	285
28	censorsheep	283
29	Soplight	271
30	Groovy_MoonBird	261
31	kekhon	251
32	Kateesaur	250
33	Euclidoris	249
34	jcool7	243
35	orxngejuice	227
36	Frozil12	224
37	NormanFetus	210
38	SaucyDark	207
39	Skippeh	196
40	ImpavidArcher	194
40	Russiancat1	194
42	M_Patata	192
42	Groundler	192
42	MasterNueve	192
45	Eraxa	189
46	Bandito_Roamer	177
46	Lord_Jord	177
48	Njensen7	174
49	Dedalus36	164
50	NameGenerat0r	161
51	lcvezra	159
52	Historical_Sand	156
52	Legendosh	156
54	RebelAndroid	154
54	stahouo	154
56	xxPipperDipperxx	153
56	_Karmaa	153
58	JoCoLi	150
59	EveryonesUncle	147
60	Stiar	144
61	Tobinator_007	141
61	Wowful	141
63	titanlax	135
63	intropass	135
65	brycepants	128
66	Leyna3	127
67	AnnieBathory	125
68	IdeallyGrey	123
69	MyNameIsJobo	122
69	Snowflowe	122
71	TheSecondLord	120
71	Jiminie	120
73	bruh072	119
73	tsitrawhy	119
75	jnp_gaming	118
76	Smoke____	117
77	groofles	112
77	YungMaki	112
79	ProfessorBee	111
80	audiocracked	110
81	r123moore	109
82	Werbe	108
83	MilleGrug	106
84	Steelynan	105
85	MightyWertu	104
86	Akoot_	102
87	MyNameIsDakar	101
88	MakeHistory157	99
89	TheOnlyRake	98
90	PortlyPete69	95
91	XxCookiequeenxX	94
92	FishyBoy3811	93
93	_Razar	89
94	Barlycorn	88
95	Winklepicker279	87
96	AlphaWolfPlaysMC	86
97	fluddd	85
98	Notta	83
99	fffMike	81
100	Hyp3rion_	80
101	Di_infiri	78
101	MAns_44	78
103	JayToe	76
104	Touched_Bread	75
105	Ecplosive	74
105	avalan64	74
105	__tomato	74
108	DarlaMeow	72
108	pixelviolin	72
110	Incinere	71
111	KarlKaek	70
111	thescout7	70
113	mariominejedi	69
113	Zythose	69
115	Nach0Bear	68
115	Ezekson	68
117	BlankityMcBlank	65
118	Xalithia	64
118	LeauVox4921	64
120	eviltunix	63
120	TechnoNinja64	63
122	paranoid_plant	62
122	noam464	62
124	Huwulling	61
125	Nycteus_	60
125	Matorz	60
127	EcksD	59
128	Kekoo	58
129	brofrickcheaters	57
130	_NieToksikpl_	56
131	Scathra	53
131	Hiryu27	53
133	420BreadLizard	52
134	wezzzi	51
135	livingdaydreams	50
135	ChocolatePepsi	50
137	NomadicRobin_	49
137	PlasticOtari	49
139	chlorinex	48
139	Inbefour	48
139	ZoomieZoomie	48
142	Prodiginus	47
142	Xclax101	47
144	FirsTimeGamingTV	46
145	SammiWolfGirl	44
146	teslawolf38	43
146	Inchef	43
148	Cowison	42
148	numbra	42
148	6king6colt6	42
148	LeGold	42
152	eitanzaki	41
152	Kynigito	41
154	LexMakesHistory	40
154	Deguns123	40
154	Hermanni__	40
157	dongli	38
157	CoffeeNoir	38
157	12Magner05	38
160	YungJakobo	37
160	Chromary	37
160	Warlord324	37
163	Flores991	36
164	Natty	35
165	Bumpy419	34
165	RohnJosin	34
167	Norrhede	33
167	JasmineGK	33
169	The11thDoctor	32
169	FelixPSY375	32
171	Fuad_R	31
171	lordpipe	31
171	YoshikageBites	31
174	Sky_light_KING	30
174	lillips	30
176	MindyDooWho	29
176	Blu3beast	29
176	Segotep999	29
179	Drlzyy	28
180	itburb	27
180	KeruNatsema	27
180	Optiprimus	27
183	BlancoFlaco	26
183	Megarboh	26
183	AngalexikCZ	26
183	Awyrlas	26
183	PegLegPete93	26
183	XboxPanda	26
183	Windo_licker	26
183	impossibleteapot	26
183	yoyoYoloMonke	26
183	LordSpeed37	26
193	_Dean_123	25
194	bigstankyy	24
194	heckface	24
194	dartwaffle	24
194	Kubeusz2010	24
194	Enderslayerxz3	24
194	Sral7	24
200	stuy9	23
201	Foof13	22
201	Cortexia	22
201	Ze_BaronKrigler	22
204	dudcreeper	21
204	Cryptacity	21
204	pappaberg	21
207	RoskobiOne	20
207	Bolete	20
207	wwwwinnebagoooo	20
210	benediktine1	19
210	Jeteight	19
