rank	username	minecraft:picked_up/minecraft:orange_concrete
1	TheKingK_	2882
2	Hyp3rion_	2641
3	QuiCreans	2043
4	Alteriity	2036
5	luseis	1889
6	Mattesco	1810
7	lordpipe	1717
8	Jackattack53	1689
9	IAmTheWalrus910	1127
10	beeperbeeper5	939
11	Hoid_the_Roamer	722
12	Onennon	708
13	MakeHistory157	526
14	Di_infiri	458
15	Sheldor097	413
16	TechnoNinja64	337
17	Sral7	323
18	CoffeeNoir	264
19	Hiryu27	236
19	doublemaki	236
21	Notta	215
22	HellsSponge	204
23	Huwulling	198
24	oreee	194
25	ImpavidArcher	192
26	Spacewardharpy7	186
27	TheSecondLord	178
28	Blackberry1310	160
29	pintsizedrogue	158
30	Manaateee	136
31	LuvLuvLove	128
32	thewindmillman	115
33	EdGalbraith	101
34	PortlyPete69	99
35	ConnorDanky_	92
36	ShedJr_	90
36	himak1	90
38	Kowcio_	88
39	Sophia_Irene	85
40	royal_2	82
40	ROY4LE	82
42	6king6colt6	80
43	sp00ky_ghost977	74
44	noam464	70
45	Soap_Bender	68
46	CornOnTheCobalt	64
47	diamondgolem35	52
48	teslawolf38	51
49	_Huge_Male_	48
49	AuroraValkyrie	48
51	StanceTB	43
51	500am	43
53	hanaryheatwave	40
54	RobotMinion101	33
55	Frozil20	29
56	k_ce	27
57	WET_WET_WET	26
57	Werbe	26
59	PlasticOtari	25
60	Steelynan	24
61	Merv__	23
62	ElectricDragon81	22
63	Lez_	21
63	Truckoss	21
65	jnp_gaming	20
66	Fullut	19
67	SSytex_X	18
68	LexMakesHistory	17
69	craaaash	15
69	SammiWolfGirl	15
71	Jimb0nat0r	14
72	mwrty	11
72	The_SlideV5	11
74	Blaiku	10
75	Arceus1975	9
76	Mahoose	8
76	OG_Songsee	8
78	Historical_Sand	7
79	robonya_	6
79	Yamdalorian	6
81	Nateman1000	5
81	Legendosh	5
83	Incinere	4
83	joethahobo	4
83	Kkanot	4
86	robertsnose	3
86	Smashic	3
86	Eraxa	3
86	Soplight	3
90	TUNDR0	2
90	MightyWertu	2
90	pixelviolin	2
90	Enderxz3	2
90	2blox_	2
95	frankvosss	1
95	MousePlays	1
95	EcksD	1
95	TwinTowerV2	1
