rank	username	minecraft:picked_up/minecraft:prismarine_slab
1	Blaiku	3146
2	joethahobo	2329
3	HellsSponge	1936
4	noam464	1675
5	gcaisawesome	1006
6	PigDab	962
7	Frozil12	726
8	TheShyPig	504
9	pintsizedrogue	323
10	eitanzaki	271
11	FishisTTV	261
12	Legendosh	230
13	Mahoose	206
14	LittleBug562	169
15	Spacewardharpy7	148
16	Hyp3rion_	121
17	MightyWertu	118
18	EMC_	117
19	Di_infiri	114
20	Jackattack53	112
21	Hiryu27	104
22	Z3braYTIL	92
23	Eraxa	79
24	Smoke____	74
25	EcksD	73
26	ImpavidArcher	69
27	TheSecondLord	65
28	Maenara	63
29	Steelynan	50
30	hm947	44
31	KarlKaek	43
32	Vellu21	38
33	Ezekson	32
34	Fullut	30
35	Swexti	27
36	2blox	21
37	Soplight	20
38	Merv__	19
38	Snowflowe	19
40	Freak_Genius	16
41	claivin	15
42	Powowowow	14
43	Blu3beast	13
43	jcool7	13
43	Enderslayerxz3	13
46	Bumpy419	12
47	Kakolbus	10
47	The_slideV3	10
49	Mr_Byzantine	9
49	Chromary	9
49	_naturell	9
52	TechnoNinja64	6
53	Menthas	5
53	lillips	5
53	PortlyPete69	5
56	CliffEmAll	4
56	xxPipperDipperxx	4
58	AuroraValkyrie	3
58	rarrq	3
58	NotMeanttoChange	3
58	masskedman	3
62	RebelAndroid	2
62	12Magner05	2
62	Moyd_	2
62	ooga47	2
62	Onennon	2
62	SingedBread	2
62	SammiWolfGirl	2
62	h2p_emrld	2
70	I_Am_Mushkin	1
70	Blackberry1310	1
70	SteveCraftBlocks	1
70	NotTrixi	1
70	Giannism	1
70	fred870d	1
70	YahooScreen9000	1
70	The_Quack_Dealer	1
70	Quaintster	1
70	lordpipe	1
70	MakeHistory157	1
70	UCP_TheKingK	1
70	TheALV	1
70	FelixPSY375	1
70	EcksDofficial	1
