rank	username	minecraft:picked_up/minecraft:mossy_cobblestone_wall
1	pintsizedrogue	132
2	KarlKaek	120
3	Onennon	111
4	MattieHD	66
5	Legendosh	31
6	thescout7	30
7	EMC_	23
8	beeperbeeper5	22
9	MyNameIsDakar	20
10	Notta	17
11	500am	15
12	Jiminie	14
13	SaltineDream	13
13	soundad	13
15	Kowcio_	12
16	RefluxRatio	10
17	Mahoose	9
17	TheShyPig	9
17	Maenara	9
20	surfinggiraffejp	8
20	Shogunite	8
22	eviltunix	4
22	Chromary	4
22	DemTechAlpha	4
25	InfernalMound	3
25	Soplight	3
27	eitanzaki	2
27	xxPipperDipperxx	2
27	Arceus1975	2
27	burbankbuilder28	2
27	Eraxa	2
32	TildaAndrea	1
32	rachcl	1
32	Malorn_Aetherius	1
32	CarbonatedCola	1
32	noam464	1
32	killmeiamtraitor	1
32	Rebytre	1
32	Kynigito	1
32	Xclax101	1
32	ItsDeltaMC	1
32	carbo_bro	1
32	GlitchyPlate810	1
32	obzii	1
32	Sral7	1
