rank	username	minecraft:picked_up/minecraft:birch_fence
1	kekhon	978
2	500am	954
3	pintsizedrogue	747
4	Smoke____	693
5	joethahobo	602
6	lordpipe	505
7	Onennon	499
8	El_Jalapeno	476
9	beeperbeeper5	434
10	Lez_	403
11	Legendosh	357
12	noam464	350
13	Kynigito	332
14	Wowful	294
15	Ravenbie	285
16	Mahoose	270
17	_Cloverbelle_	263
18	Freak_Genius	259
19	RoboTramp7865	235
20	Zythose	221
21	djancak	216
22	Di_infiri	208
22	IAmTheWalrus910	208
24	TheShyPig	207
25	EcksDofficial	206
26	Akoot_	193
27	PhantomsGhost_	189
28	eitanzaki	178
29	Touched_Bread	175
29	sp00ky_ghost977	175
31	Simon_Lowell	167
32	Soplight	166
33	TechnoNinja64	165
34	thescout7	159
35	UrbanPlanner1978	148
36	Dedalus36	135
37	monky_irl	132
38	AlexStrange	128
39	Blaiku	125
40	Killercatty78	119
41	Frozil12	111
42	loveseeker	110
43	SaucyDark	107
44	diggydog67	106
45	KarlKaek	102
46	smarticuno	97
47	Malorn_Aetherius	96
48	Snowflowe	91
48	The_Quack_Dealer	91
50	Merv__	82
51	ProfessorBee	75
52	ROY4LE	69
53	ImpavidArcher	63
54	DermeinUser	62
54	Jackattack53	62
54	Ezekson	62
57	HellsSponge	59
57	Spacewardharpy7	59
59	OnlyOfficial	58
60	301851	56
61	chipklip	55
62	Nicserso	52
63	RustyKedel	49
64	Xalithia	48
65	cichy096	47
66	Inbefour	45
67	Sabby65	44
68	MousePlays	42
68	anbbang	42
70	E775	41
71	jspwn	40
72	Ssor69	39
73	ClemenPine	38
74	teslawolf38	37
74	Blackberry1310	37
74	NoChumpChange	37
77	_Karmaa	36
78	The11thDoctor	35
78	ReyTheLegend	35
80	Jokerman369	34
80	PortlyPete69	34
80	oxfordschool	34
83	Racengan	33
83	bndo	33
85	eviltunix	32
86	Under1	29
87	InfernalMound	28
87	stuy9	28
89	LavenderBi1ch	26
89	SkyHighSkier	26
91	_Dean_123	25
91	EcksD	25
91	PlasticOtari	25
94	UncreativeArtist	24
94	SuperPooch06	24
94	fluddd	24
97	Lowjinx	23
98	crying_wolf_13	22
98	MakeHistory157	22
100	Kryktal	21
100	CACTUSLAD	21
102	Mr_Byzantine	20
