rank	username	minecraft:picked_up/minecraft:birch_fence
1	kekhon	978
2	500am	954
3	pintsizedrogue	747
4	Smoke____	693
5	joethahobo	603
6	lordpipe	505
7	Onennon	499
8	El_Jalapeno	476
9	beeperbeeper5	436
10	Lez_	414
11	Legendosh	357
12	noam464	350
13	Kynigito	332
14	Wowful	294
15	Ravenbie	285
16	Mahoose	270
17	_Cloverbelle_	263
18	FreakGenius	259
19	RoboTramp7865	235
20	Zythose	221
21	djancak	216
22	Di_infiri	208
22	IAmTheWalrus910	208
24	TheShyPig	207
25	xolstoi	206
26	Akoot_	193
27	PhantomsGhost_	189
28	eitanzaki	178
29	Touched_Bread	175
29	sp00ky_ghost977	175
31	Simon_Lowell	167
32	Soplight	166
33	TechnoNinja64	165
34	thescout7	159
35	UrbanPlanningEx	148
36	Esme_1	135
37	monky_irl	132
38	AlexStrange	128
39	Blaiku	125
40	Killercatty78	121
41	Frozil20	111
42	legal_tax_evader	110
43	SaucyDark	107
44	diggydog67	106
45	KarlKaek	102
46	smarticuno	97
47	Malorn_Aetherius	96
48	Snowflowe	91
48	The_Quack_Dealer	91
50	Merv__	82
51	ProfessorBee	75
52	ROY4LE	69
53	ImpavidArcher	63
54	DermeinUser	62
54	Jackattack53	62
54	Ezekson	62
57	HellsSponge	59
57	Spacewardharpy7	59
59	tompup	58
60	301851	56
61	Tyrannosplart	55
62	Nicserso	52
63	RustyKedel	49
64	Xalithia	48
65	cichy096	47
66	Inbefour	45
67	Sabby65	44
68	MousePlays	42
68	anbbang	42
70	E775	41
71	jspwn	40
72	Ssor69	39
73	ClemenPine	38
74	teslawolf38	37
74	Blackberry1310	37
74	NoChumpChange	37
77	_Karmaa	36
78	The11thDoctor	35
78	ReyTheLegend	35
80	SyntheticSurgeon	34
80	Jokerman369	34
80	PortlyPete69	34
80	ConnorDanky_	34
84	Racengan	33
84	bndo	33
86	eviltunix	32
87	Under1	29
88	InfernalMound	28
88	stuy9	28
90	olliebollie48	27
91	LavenderBi1ch	26
91	SkyHighSkier	26
93	_Dean_123	25
93	EcksD	25
93	PlasticOtari	25
96	UncreativeArtist	24
96	SuperPooch06	24
96	fluddd	24
99	ReflexCode	23
100	crying_wolf_13	22
100	MakeHistory157	22
102	Kryktal	21
