rank	username	minecraft:picked_up/minecraft:music_disc_stal
1	Tyrannosplart	243
2	Blackberry1310	203
3	kekhon	194
4	lcvezra	95
5	BlankityMcBlank	94
6	HellsSponge	77
7	Soplight	72
8	claivin	70
9	eitanzaki	62
9	Blu3beast	62
11	Eraxa	57
12	Legendosh	56
13	Werbe	53
14	CalebDHawk	48
15	YungMaki	42
15	Njensen7	42
17	TheTrueClipse	41
18	Fullut	36
19	Inchef	32
20	Mahoose	31
20	Steelynan	31
22	H72l9w	30
23	Kura2218	25
24	ImpavidArcher	24
24	ProfessorBee	24
26	Akoot_	22
27	RobotMinion101	21
28	Euclidoris	19
29	12Magner05	17
29	DarlaMeow	17
29	Blaiku	17
29	Kowcio_	17
29	jcool7	17
29	TechnoNinja64	17
35	Incinere	16
35	_Bguette_	16
35	Hermanni__	16
38	ShedJr_	15
38	_Dean_123	15
40	Merv__	14
40	Frozil20	14
40	Skylord_Luke	14
40	NameGenerat0r	14
40	SammiWolfGirl	14
45	pintsizedrogue	13
45	PlasticOtari	13
47	joethahobo	12
47	_HoneySlime_	12
47	Guillemet	12
47	stellarjay	12
47	bladeefan2009	12
52	Jackattack53	11
53	PhantomsGhost_	10
53	Candad_	10
53	ReverendSmith	10
53	jnp_gaming	10
57	youhjjhhhjj	9
57	TheSecondLord	9
57	Dyosy	9
57	Smussa	9
57	Onennon	9
57	xzvu	9
57	alderban107	9
64	Historical_Sand	8
64	ApophisNova	8
64	Kyrum2169	8
64	MyNamaSheff	8
68	CoffeeNoir	7
68	Prismyst	7
68	beeperbeeper5	7
68	ROY4LE	7
68	2bolx_	7
73	seanitoo	6
73	KarlKaek	6
73	Hpdinosaur	6
73	T045RTY	6
73	Kamflame10	6
73	noam464	6
73	Hyp3rion_	6
73	JitteryJared2	6
73	thgrocks	6
73	luseis	6
73	Kijiki	6
73	Ezekson	6
73	MirielThePastor	6
73	Smoke____	6
87	Groovy_MoonBird	5
87	6king6colt6	5
87	xXTheWolfmanXx	5
87	bloodbiter	5
87	SteveCraftBlocks	5
87	Maenara	5
87	Deodorante	5
87	WyngGoy	5
87	obzii	5
96	teslawolf38	4
96	Natty	4
96	FirsTimeGamingTV	4
96	surfinggiraffejp	4
96	Rumpletaezer	4
96	Arceus1975	4
96	tobinwilliams	4
96	ese_wn_po	4
96	FreakGenius	4
96	fluddd	4
96	Powowowow	4
107	neurotic_a	3
107	Comma__	3
107	500am	3
107	thescout7	3
107	Chromary	3
107	Lord_Jord	3
107	YungWali	3
107	DemTechAlpha	3
107	SingedBread	3
107	Godspirit249	3
107	gusstationwerker	3
107	Nicserso	3
107	xolstoi	3
120	abramgray	2
120	fanofbands101	2
120	lewieinnit	2
120	I_Am_Mushkin	2
120	Esme_1	2
120	Ssor69	2
120	rarrq	2
120	Crowman1	2
120	Kkanot	2
120	set67	2
120	Awyrlas	2
120	GOOBERGABE04	2
120	nitram49b	2
120	SuperPooch06	2
120	thewindmillman	2
120	BronkerBrum	2
120	F_Uhre	2
120	J4ko8_	2
120	NomadicRobin_	2
120	audiocracked	2
120	DTwenty	2
120	Deathkob	2
120	Quaintster	2
120	MAns_44	2
120	C0oOK13M0N5T3R	2
120	Bloo2406	2
120	Racengan	2
120	Spacewardharpy7	2
120	lordpipe	2
120	IdeallyGrey	2
120	Daedalus342	2
120	ediballbearings	2
120	PlzNoBM	2
120	MilleGrug	2
120	ConnorDanky_	2
120	EcksD	2
120	FGamerJ	2
120	JayToe	2
158	chipklip	1
158	Jorrdi	1
158	SmashingPump	1
158	EMC_	1
158	chimpmunker	1
158	diamondgolem35	1
158	bigstankyy	1
158	Creativebuilder2	1
158	_Razaria	1
158	Wooptey	1
158	Huwulling	1
158	MOSS000	1
158	Myszoaz	1
158	Prodiginus	1
158	Mercadies	1
158	CliffEmAll	1
158	Nicky_H225	1
158	Ardennes	1
158	o0z	1
158	mwrty	1
158	PegLegPete93	1
158	r123moore	1
158	Resner	1
158	SpicyMeatballs	1
158	KingEgg1	1
158	Touched_Bread	1
158	mariominejedi	1
158	Itz_DuongVN	1
158	Di_infiri	1
158	Zythose	1
158	burbankbuilder28	1
158	wTXop	1
158	Bumpy419	1
158	Rebytre	1
158	TheRedFox_Gaming	1
158	The11thDoctor	1
158	ooga47	1
158	Truckoss	1
158	PigDab	1
158	Waffleman258	1
158	TheShyPig	1
158	sxc_	1
158	SaintJosie	1
158	Elastiq	1
158	binman420	1
158	the_russell1611	1
158	_Karmaa	1
158	Shogunite	1
158	StinkyDiplomat	1
158	TiborSterle	1
158	Templar_David	1
158	GravitySaint	1
158	Hisiste	1
158	IAmTheWalrus910	1
158	csendeslol	1
158	Cocoamallows	1
158	layabout100	1
158	pixelviolin	1
158	UCP_TheKingK	1
158	RealGroot	1
158	_TCARREIRA_	1
158	_Yonk_	1
158	ItsJunoIGuess	1
158	fffMike	1
158	xX_Stalin69_Xx	1
158	Dreamdbr14	1
158	Jimb0nat0r	1
158	h2p_emrld	1
158	00000000-0000-0000-0009-01f6557d802a	1
