rank	username	minecraft:picked_up/minecraft:sculk_vein
1	thewindmillman	20056
2	Enderxz3	1830
3	AdmiralSmoke	1238
4	EMC_	1151
5	pintsizedrogue	808
6	hanaryheatwave	713
7	TheSecondLord	667
8	luseis	577
9	Luminad3	436
10	Mr_Byzantine	430
11	Kowcio_	406
12	Manaateee	315
13	Kakolbus	246
14	MineMaster0012	218
15	12Magner05	196
16	SyntheticSurgeon	178
17	MrKrabOnCoke	175
17	Segotep999	175
19	k_ce	166
20	Mahoose	130
21	Hyp3rion_	125
22	Wowful	111
23	500am	98
24	Snowflowe	85
25	noam464	72
26	Di_infiri	66
27	beeperbeeper5	64
28	Jackattack53	62
28	Nicserso	62
30	joethahobo	60
31	SvenskaHugo	51
32	CLG_Kata	46
33	AlexxO_o	41
34	LeonelSalamanca	38
35	Legendosh	37
36	EcksD	36
37	ImpavidArcher	26
37	RatatJuice	26
39	jessewegottacook	20
39	_Boipl_	20
39	Soplight	20
42	YungMaki	18
43	nattybears	17
44	ECstardust	14
44	Marbz_	14
46	SmashingPump	9
47	00000000-0000-0000-0009-01ff0c3e5e4f	8
48	Iamthejo	7
49	Rebytre	6
50	corpsecity	5
51	excelsionprime	4
51	Mattesco	4
53	Jimb0nat0r	3
54	q_wq	2
54	eitanzaki	2
54	Da_Boss_Rani	2
54	Fuad_R	2
58	DinoDoctor_	1
58	Alteriity	1
58	Sleepy_Time_	1
58	shadowthemonkey	1
58	wwwwinnebagoooo	1
58	Hisiste	1
58	lordpipe	1
58	ItsDeltaMC	1
