rank	username	minecraft:picked_up/minecraft:pitcher_pod
1	Jimb0nat0r	842
2	Kakolbus	450
3	Enderxz3	167
4	oscminus	113
5	j5ylim	79
6	hanaryheatwave	69
7	Werbe	55
8	TheSecondLord	45
9	Pumpkin_P_Patch	35
10	EveryonesUncle	28
11	pintsizedrogue	24
11	Kowcio_	24
13	_Huge_Male_	20
13	Lez_	20
15	robonya_	17
16	Steelynan	15
17	Buuck_	14
18	k_ce	13
18	MAns_44	13
20	Smashic	11
21	Merv__	8
21	beeperbeeper5	8
23	StarCookiees_	7
24	Napoleonpancake	6
24	PazinGaming	6
24	_witch_craft_	6
27	royal_2	5
27	noam464	5
27	Krowuss	5
30	ECstardust	4
30	Secret_Canary	4
30	Fullut	4
30	theonlymagikarp	4
30	Mattesco	4
30	_Mythic____	4
36	mymayowasgone	3
36	craaaash	3
36	Veillax135	3
36	Soplight	3
36	LuvLuvLove	3
41	EdaterPure	2
41	Alteriity	2
41	skroobiez	2
41	KingEgg1	2
41	2extreeme	2
41	00000000-0000-0000-0009-01fe065167f0	2
41	00000000-0000-0000-0009-01f26ea966c4	2
48	Mr_Byzantine	1
48	CLG_Kata	1
48	KarlKaek	1
48	lorywithay	1
48	ZaneABrain	1
48	Morgf	1
48	Pistol_Hydra	1
48	bl1ss0	1
48	Jackattack53	1
48	Hyp3rion_	1
48	pinkigram	1
48	Celaydon	1
48	cuddlyMonster	1
48	Blaiku	1
48	lordpipe	1
48	Myntsys	1
48	FutantDNA	1
48	Leaille	1
48	Ezekson	1
48	Yamdalorian	1
48	TheWickedBird	1
