rank	username	minecraft:picked_up/minecraft:acacia_fence
1	beeperbeeper5	1327
2	AdmiralSmoke	501
3	Hoid_the_Roamer	361
4	Meatlaugh	360
5	Werbe	295
6	KarlKaek	252
7	Doom_melon	230
8	ImpavidArcher	183
9	El_Jalapeno	149
10	Mahoose	146
11	youhjjhhhjj	124
12	corvidpartyfor6	120
12	RoboTramp7865	120
14	Merv__	118
15	2Stout	117
16	Apollo_993	114
16	fade_emerge78823	114
18	Mr_Byzantine	106
19	ApophisNova	103
19	MyNamaSheff	103
21	starbits140	97
22	Mowelan	89
23	EMC_	88
24	HellsSponge	87
25	Alteriity	82
26	pintsizedrogue	78
27	luseis	77
28	Groovy_MoonBird	76
28	Frozil20	76
30	Ozixar	75
30	ThePoliteG	75
30	Winklepicker279	75
33	smogfrog	74
34	Kakolbus	68
34	Di_infiri	68
36	Steelynan	64
37	ConnorDanky_	58
38	eitanzaki	56
38	ProfessorBee	56
38	KlausVonStiglitz	56
41	kekhon	53
42	dopplexd	45
43	abramgray	44
43	Ezekson	44
45	h2p_emrld	43
46	AJplaysMC_	42
46	FreakGenius	42
48	Bandito_Roamer	37
49	mariominejedi	36
50	csendeslol	33
51	4774	32
51	xxPipperDipperxx	32
51	Ajax6	32
54	set67	31
55	Zaridey	29
55	Soplight	29
57	himak1	28
58	Myrosia	27
59	baxteerr	25
59	kalzor	25
59	TechnoNinja64	25
62	joethahobo	24
62	Mattesco	24
64	xXTheWolfmanXx	23
64	Franco093	23
66	Blackberry1310	22
66	500am	22
66	Snowflowe	22
66	victorLIE	22
70	12Magner05	20
71	Lez_	18
71	Destroyer112221	18
71	Nicserso	18
74	Vizzoid	17
74	Moofyman	17
76	noodlepack	15
76	AnnieBathory	15
76	DennyKai	15
79	lilsay	14
79	FreddyFart	14
79	Vellu21	14
82	MeowMeowMcmuffin	13
82	DirtyBoar	13
82	MustardDrinker	13
85	Karetoko	12
85	hanaryheatwave	12
85	Tyrannosplart	12
85	YungMaki	12
89	Swalt	11
89	TheSecondLord	11
89	LeonelSalamanca	11
89	duqboy	11
89	cum_chalice	11
89	Biites	11
95	r123moore	10
95	Chuvacevedo	10
95	Kynigito	10
98	TheShyPig	9
98	fluddd	9
98	marumochis	9
101	Inchef	8
101	geekbird	8
101	stellarjay	8
101	xX_Stalin69_Xx	8
105	Incinere	7
105	Quaintster	7
105	ReflexCode	7
105	560cool	7
105	RedcatVII	7
105	Ir0npack	7
105	Sral7	7
112	CLG_Kata	6
112	TheSeismicDuck	6
112	Lutres_	6
112	C0oOK13M0N5T3R	6
112	Blaiku	6
112	_beep_boop	6
112	07shiny	6
112	MineMaster0012	6
112	Enderxz3	6
121	firesgal3116	5
121	_Dean_123	5
121	sp00ky_ghost977	5
121	FelixPSY375	5
121	JasmineGK	5
121	561cool	5
127	Ilinca_Io	4
127	Hpdinosaur	4
127	Raspberry_Sodas	4
127	Elastiq	4
127	Blu3beast	4
127	IAmTheWalrus910	4
127	Dogcorn69420	4
134	spaece	3
134	Resner	3
134	noam464	3
134	Kyrum2169	3
134	Drawgirl	3
134	mountaingirl311	3
134	Jimb0nat0r	3
141	TildaAndrea	2
141	DinoDoctor_	2
141	Howertt	2
141	rarrq	2
141	Rich_Kat	2
141	legal_tax_evader	2
141	ItsAki_	2
141	Lord_Jord	2
141	lillips	2
141	Factoroni	2
141	Chicken_D0g	2
141	Eraxa	2
141	SvenskaHugo	2
141	Chayula	2
141	underscore_2	2
141	xzvu	2
141	SammiWolfGirl	2
141	PortlyPete69	2
141	CoryJJ	2
141	UltraZombie	2
141	TheALV	2
141	KingMatthew506	2
163	_Huge_Male_	1
163	PhantomsGhost_	1
163	Nucket	1
163	Furiuosbeast0404	1
163	Euclidoris	1
163	Megarboh	1
163	CrookedKaptain	1
163	ROY4LE	1
163	gcaisawesome	1
163	Yuvl	1
163	ChillenChiggen	1
163	WET_WET_WET	1
163	thewindmillman	1
163	King_Pancake1	1
163	RobotMinion101	1
163	MinerDec	1
163	cedric72	1
163	jewbacaman	1
163	Kim_Jong_eel	1
163	EveryonesUncle	1
163	fkGrim	1
163	Racengan	1
163	Spacewardharpy7	1
163	Kowcio_	1
163	lcvezra	1
163	SunsetwolfGG	1
163	Njensen7	1
163	Eczbek	1
163	laron58	1
163	RealBuddy	1
163	skrongus	1
163	camando92	1
