rank	username	minecraft:picked_up/minecraft:item_frame
1	El_Jalapeno	2289
2	HellsSponge	1489
3	pintsizedrogue	1364
4	joethahobo	1235
5	EcksD	1104
6	beeperbeeper5	889
7	noam464	847
8	kekhon	828
9	Jackattack53	802
9	EcksDofficial	802
11	eitanzaki	708
12	Freak_Genius	700
13	Mahoose	627
14	SuperPooch06	565
15	YungMaki	517
16	Soplight	512
17	lordpipe	479
18	Merv__	474
19	Z3braYTIL	469
20	Kubeusz2010	451
21	TheShyPig	436
22	Blackberry1310	426
23	Werbe	425
24	Legendosh	405
25	TechnoNinja64	370
26	Di_infiri	330
27	EMC_	322
28	ShedJr_	310
29	Ezekson	290
30	Blaiku	283
31	Smoke____	278
32	thescout7	275
33	Hyp3rion_	268
34	fluddd	266
35	Rumpletaezer	258
36	Fullut	255
37	Kowcio_	238
38	lizardfightclub	219
39	censorsheep	216
40	claivin	206
41	500am	202
42	Zythose	196
43	Marbz_	194
44	xxPipperDipperxx	192
45	m_be9	185
46	mwrty	183
47	ApophisNova	182
47	Steelynan	182
47	MyNamaSheff	182
50	Enderslayerxz3	180
51	oxfordschool	172
52	Comma__	171
53	Nicserso	170
54	_Bguette_	166
55	thewindmillman	160
56	NameGenerat0r	159
57	KarlKaek	155
58	EveryonesUncle	154
59	Frozil12	151
60	rarrq	149
61	Onennon	146
61	Xclax101	146
63	_Dean_123	140
64	12Magner05	137
65	Blu3beast	133
65	PlzNoBM	133
67	SaucyDark	132
68	bloodbiter	131
69	Kakolbus	130
70	Akoot_	129
71	sp00ky_ghost977	126
72	SSytex_X	125
72	Eczbek	125
74	fffMike	124
75	TheThomas69	123
76	Awyrlas	121
76	SkateboardR6	121
78	ROY4LE	120
79	Inchef	119
80	Swexti	116
80	TheSecondLord	116
82	PhantomsGhost_	108
82	Spacewardharpy7	108
84	Groundler	104
85	ProfessorBee	103
86	Jiminie	102
86	Lutres_Torane	102
88	hcb238	99
89	Hiryu27	97
90	Fildyr	92
90	ZeroKraken	92
92	Historical_Sand	90
93	Dedalus36	88
94	CliffEmAll	87
95	Jovaphobic	86
95	pappaberg	86
97	Euclidoris	83
98	teslawolf38	80
98	jnp_gaming	80
100	diamondgolem35	76
101	Njensen7	75
102	picardred	71
103	NomadicRobin_	66
104	WET_WET_WET	65
105	roxycherry	64
106	r123moore	62
107	2Stout	61
107	MakeHistory157	61
109	stahouo	60
110	Drlzyy	59
110	UrbanPlanner1978	59
112	seanitoo	57
112	Eraxa	57
114	ImpavidArcher	56
115	titanlax	55
115	Skylord_Luke	55
115	wezzzi	55
118	Chromary	54
119	Menthas	53
119	MattieHD	53
119	CalebDHawk	53
122	Hermanni__	52
123	Lord_Jord	51
123	Dusk_95	51
123	__tomato	51
123	PlasticOtari	51
127	balin55	50
128	Syropatathe	49
129	CoffeeNoir	48
130	RobotMinion101	46
131	Arceus1975	45
131	_Karmaa	45
133	KartivGal	44
134	Karetoko	43
134	Maenara	43
134	Spenduh	43
134	Sral7	43
138	Incinere	42
138	XboxPanda	42
138	FishyBoy3811	42
138	PortlyPete69	42
138	VentiHilton	42
143	Yatitay	41
143	Zaridey	41
143	Leyna3	41
146	awesomeoneme	40
147	jacxhadow	39
147	Hoid_the_Roamer	39
147	MilleGrug	39
150	PigDab	38
151	BronkerBrum	37
