rank	username	minecraft:picked_up/minecraft:dark_oak_door
1	Ezekson	162
2	kekhon	135
3	RatatJuice	118
4	Freak_Genius	106
5	lcvezra	78
6	pintsizedrogue	74
7	HesDemonPants	71
8	xxPipperDipperxx	70
9	Mahoose	57
10	burbankbuilder28	52
11	Fullut	49
12	TheShyPig	48
13	EveryonesUncle	44
14	Groovy_MoonBird	33
14	EcksDofficial	33
16	beeperbeeper5	32
17	LotusProject	30
17	Werbe	30
17	Warlord324	30
17	fffMike	30
21	Megarboh	29
22	Merv__	27
22	Shogunite	27
24	joethahobo	26
24	ROY4LE	26
24	PortlyPete69	26
27	KingMatthew506	25
28	ImpavidArcher	24
28	Lord_Jord	24
28	djancak	24
31	Prismyst	23
31	AnnieBathory	23
31	SokaOtaku	23
31	YungMaki	23
31	oxfordschool	23
36	_stets	22
37	Meatlaugh	21
37	Legendosh	21
39	Jalvajar	20
39	Lez_	20
39	Nicky_H225	20
42	Mr_Byzantine	19
42	500am	19
42	purpolepickle	19
42	Lowjinx	19
46	LittleBug562	18
46	EMC_	18
46	TheSecondLord	18
46	GingerNeutron	18
46	Maenara	18
46	MightyWertu	18
52	Frozil20	17
52	_Razar	17
52	Inbefour	17
52	Kubeusz2010	17
56	titanlax	16
56	TheDankPlatypus	16
56	CalebDHawk	16
59	thescout7	15
59	Russiancat1	15
59	tsitrawhy	15
62	Euclidoris	14
62	Blackberry1310	14
62	Bumpy419	14
62	Blu3beast	14
66	LeauVox4921	13
66	Skylord_Luke	13
66	RodSerlingCringe	13
66	PlasticOtari	13
70	KarlKaek	12
70	rarrq	12
70	Smashic	12
70	seramalen	12
70	Sky_light_KING	12
70	Lord_Zacler	12
70	censorsheep	12
70	Soplight	12
70	Eczbek	12
79	MunkaKris	11
79	Ssor69	11
79	Nach0Bear	11
79	2Stout	11
79	CharlieButt	11
79	binman420	11
79	UCP_TheKingK	11
86	teslawolf38	10
86	SaucyDark	10
86	Huwulling	10
86	NieToksikpl	10
86	CliffEmAll	10
86	MattieHD	10
86	RobotMinion101	10
86	ADEXTV	10
86	fluddd	10
86	Matorz	10
86	Dusk_95	10
86	Omar_Alone	10
86	voiding_	10
86	FallenCorps	10
100	Dedalus36	9
100	DinoDoctor_	9
100	ShedJr_	9
100	H72l9w	9
100	Chromary	9
100	KeruNatsema	9
100	thgrocks	9
100	Akoot_	9
100	SSytex_X	9
109	Prodiginus	8
109	m_be9	8
109	egglapras	8
109	Awyrlas	8
109	SuperPooch06	8
109	Arceus1975	8
109	lOlmantschi	8
109	dezxalo	8
109	wezzzi	8
109	bndo	8
109	iSammael	8
109	sp00ky_ghost977	8
121	6king6colt6	7
121	T045RTY	7
121	Natty	7
121	Cortexia	7
121	intropass	7
121	RohnJosin	7
121	Mattesco	7
121	Moofyman	7
121	KliBeast21	7
121	audiocracked	7
121	LexMakesHistory	7
121	Toriankel	7
121	SkateboardR6	7
121	IAmTheWalrus910	7
121	Optiprimus	7
121	Eraxa	7
121	Sheldor097	7
121	Hermanni__	7
121	2blox	7
121	00000000-0000-0000-0009-01f073f37a91	7
141	AuroraValkyrie	6
141	ratglock	6
141	PegLegPete93	6
141	SLASHZEERA	6
141	gabriels543	6
141	Hyp3rion_	6
141	ooga47	6
141	Leyna3	6
141	XxCookiequeenxX	6
141	rotten_mango	6
141	1442	6
141	GeromeMerris	6
141	Ze_BaronKrigler	6
141	layabout100	6
141	obzii	6
141	felincaus	6
141	Njensen7	6
141	h2p_emrld	6
159	Tobinator_007	5
159	ProbablyNick	5
159	ZaneABrain	5
159	Ao_Ken	5
159	Alphanzt99	5
159	Crowman1	5
159	Ardennes	5
159	AngalexikCZ	5
159	prizm_	5
159	thewindmillman	5
159	Rebytre	5
159	NormanFetus	5
159	Deathkob	5
159	DarkS0L	5
159	MyNameIsDakar	5
159	_Karmaa	5
159	iHuntWeeaboos	5
159	Xclax101	5
159	07shiny	5
159	starbits140	5
159	Juh1s	5
159	SammiWolfGirl	5
159	GlitchyPlate810	5
159	potatocan	5
159	little_dUki	5
159	TechnoNinja64	5
159	YoshikageBites	5
186	spaece	4
186	heckface	4
186	Khelvoryk	4
186	ProfessorBee	4
186	shyshyannne	4
186	SteveCraftBlocks	4
186	Austine6698	4
186	ketaminmann	4
186	Tjhodskins19	4
186	benediktine1	4
186	type11	4
186	M_Patata	4
186	Zythose	4
186	Jimi7hits	4
186	avalan64	4
186	Blaiku	4
186	monky_irl	4
186	MasterNueve	4
186	Kowcio_	4
186	stahouo	4
186	PncakeUniverse	4
186	jnp_gaming	4
186	00000000-0000-0000-0009-01ff0c3e5e4f	4
209	dudcreeper	3
209	Lotheburgh	3
209	Hpdinosaur	3
209	PhantomBionic	3
209	MSK__	3
209	Auseawesome	3
209	jushykins	3
209	ThePoliteG	3
209	MinttyFressh	3
209	UncreativeArtist	3
209	Stiar	3
209	dragonwarrior206	3
209	Winklepicker279	3
209	CollinMH06	3
209	Di_infiri	3
209	Norrhede	3
209	DAD_1996	3
209	selectrix	3
209	Onennon	3
209	theofiel	3
209	chipklip	3
209	Yahir091	3
209	Airem_Core	3
209	__hinterland__	3
209	MakeHistory157	3
209	OG_Songsee	3
209	__tomato	3
209	Nekomin0	3
209	TheOuterCore	3
209	cichy096	3
209	Enderslayerxz3	3
209	kinas45y5	3
209	fastPREDATOR	3
242	RosaDoesMC	2
242	Sleek_Storm_721	2
242	I_Am_Mushkin	2
242	Hyugo	2
242	tuckerdoodle	2
242	SyntheticSurgeon	2
242	Alteriity	2
242	Da_Boss_Rani	2
242	musique99	2
242	Ozixar	2
242	InfernalMound	2
242	ZigzagLily43042	2
242	jacxhadow	2
242	DarkDescent2392	2
242	himak1	2
242	gcaisawesome	2
242	Boogaloo242	2
242	Touched_Bread	2
242	mimbo1211	2
242	Zaridey	2
242	ZeroAbyssTTV	2
242	Purplehere	2
242	moist_jellyfish	2
242	LAVA129	2
242	CranialBlowout	2
242	moonman169	2
242	ApophisNova	2
242	fred870d	2
242	Kynigito	2
242	wirelesstree	2
242	ese_wn_po	2
242	lillips	2
242	Karbl	2
242	dogvis	2
242	claivin	2
242	FlashMigma	2
242	Vorlice	2
242	lordpipe	2
242	AvaRosey	2
242	Leithz6	2
242	Nagasaki_Riku	2
242	ayamefag	2
242	Steelynan	2
242	Skippeh	2
242	MyNamaSheff	2
242	trexgb	2
242	diggydog67	2
289	Jovaphobic	1
289	Incinere	1
289	eitanzaki	1
289	maliraspberry	1
289	Zlatovlas	1
289	301851	1
289	Notta	1
289	eddiehobbit	1
289	joppen12	1
289	zorin123	1
289	_Dean_123	1
289	Motsaro	1
