rank	username	minecraft:picked_up/minecraft:obsidian
1	thewindmillman	344956
2	joethahobo	126496
3	noam464	45028
4	PigDab	32038
5	Frozil12	30550
6	Spacewardharpy7	27882
7	Menthas	27639
8	yulgur1	24370
9	HellsSponge	24306
10	Historical_Sand	14344
11	mwrty	12457
12	Di_infiri	10901
13	Blaiku	9529
14	eitanzaki	7273
15	lordpipe	6932
16	TheShyPig	6874
17	MilleGrug	6769
18	RebelAndroid	6606
19	NomadicRobin_	6590
20	DanTheBuilderino	6093
21	Ezekson	5975
22	Rebytre	5416
23	Deathkob	5245
24	12Magner05	4971
25	Blackberry1310	4498
26	Enderslayerxz3	4135
27	stavgod	4114
28	beeperbeeper5	3735
29	Werbe	3714
30	Hyp3rion_	3671
31	Strangemonkey71	3600
32	Bumpy419	3175
33	Blu3beast	3139
34	Razzgriz	3109
35	EcksD	2993
36	Eraxa	2958
37	alderban107	2928
38	xxPipperDipperxx	2927
39	EveryonesUncle	2768
40	Miko_Fullbuster	2753
41	oxfordschool	2679
42	Smoke____	2589
43	Cowison	2521
44	El_Jalapeno	2460
45	TechnoNinja64	2378
46	Hermanni__	2280
47	Fullut	2200
48	WET_WET_WET	2197
49	Skippeh	2188
50	YungMaki	2183
51	PortlyPete69	2098
52	Zythose	2032
53	CyrusIsTired	2010
54	audiocracked	1999
55	Snowflowe	1989
56	IAmTheWalrus910	1982
57	Freak_Genius	1975
58	gcaisawesome	1958
59	rarrq	1908
60	Mewar	1856
61	MyNameIsJobo	1853
62	YxEmanxY	1792
63	claivin	1791
64	Winklepicker279	1706
65	Sky_light_KING	1657
66	chipklip	1618
67	SkateboardR6	1599
68	stahouo	1408
69	pintsizedrogue	1390
70	Kakolbus	1337
70	gabriels543	1337
72	sxc_	1280
73	NoChumpChange	1242
74	Mahoose	1193
75	fw3xywashere	1176
76	kekhon	1093
77	Legendosh	1044
78	Inbefour	1042
79	Arceus1975	1001
80	MinttyFressh	996
81	masskedman	987
82	Wooptey	974
83	TheSecondLord	956
84	Rasmanden	934
85	Soplight	896
86	EMC_	867
87	ShedJr_	859
87	jnp_gaming	859
89	2Stout	858
90	Groundler	852
91	Kowcio_	847
92	ROY4LE	842
93	Racengan	841
94	Lord_Jord	822
95	diggydog67	769
96	Njensen7	766
97	ImpavidArcher	765
98	_3Stump_	758
99	m_be9	751
99	TheSeismicDuck	751
101	500am	733
102	Akoot_	713
103	Eczbek	712
104	trexgb	704
