rank	username	minecraft:picked_up/minecraft:polished_diorite_stairs
1	burbankbuilder28	1228
2	Ezekson	514
3	Marbz_	443
4	jacxhadow	315
5	Legendosh	313
6	Lord_Jord	291
7	Stiar	281
8	PlasticOtari	265
9	Hoid_the_Roamer	213
10	MrExplorer	190
11	KarlKaek	189
12	HellsSponge	187
13	Inbefour	178
14	Werbe	152
15	m_be9	149
16	PazinGaming	134
17	ImpavidArcher	103
18	RedcatVII	101
19	vandmanden	96
20	pappaberg	92
21	k_ce	90
22	LittleBug562	87
23	lillips	86
24	Moofyman	84
24	Rasmanden	84
26	Lukeee33	73
27	ApophisNova	72
27	MyNamaSheff	72
29	CalebDHawk	69
30	Groovy_MoonBird	68
31	andy_rex	65
32	Jimb0nat0r	64
33	Kubelz	60
34	titanlax	58
35	_Huge_Male_	54
35	rarrq	54
37	Megarboh	53
37	Darkgon	53
39	Maenara	51
40	beeperbeeper5	45
40	MattieHD	45
40	luseis	45
43	himak1	43
44	ReflexCode	39
44	JayToe	39
46	Jovaphobic	38
46	Akoot_	38
48	ItsGrayWolf	34
49	TheShyPig	33
50	Jokerman369	32
51	_Karmaa	31
52	Mr_Byzantine	30
52	valkam13	30
54	Merv__	29
54	Lez_	29
54	The_slideV3	29
57	oreee	28
57	NotMeanttoChange	28
57	DemTechAlpha	28
60	pintsizedrogue	25
60	Winklepicker279	25
60	Kowcio_	25
60	Teebone15	25
64	CLG_Kata	24
64	Dblikstad	24
64	AvaRosey	24
67	seanitoo	22
68	Eraxa	21
69	Mahoose	20
69	starbits140	20
71	Xalithia	19
71	KlausVonStiglitz	19
71	YungMaki	19
74	slkiey	18
74	AltnumberF4	18
76	kekhon	17
76	Mookle96	17
76	Matorz	17
79	noam464	16
79	JESS_THE_RERE	16
79	Jaka_Saurus_715	16
79	lordpipe	16
83	Optiprimus	15
83	EcksD	15
83	skrongus	15
86	Froste131	14
86	Deerfoot	14
86	trexgb	14
89	Arceus1975	13
89	bpmm	13
89	autisticcupcake	13
89	DarlaMeow	13
93	SaucyDark	12
93	GooseWithin	12
95	SSytex_X	11
96	ROY4LE	10
96	07shiny	10
96	Soplight	10
99	tramizu	9
99	Ssor69	9
99	AlphaWolfPlaysMC	9
102	Da_Boss_Rani	8
102	Saucepeh	8
102	bearlystraight	8
102	ougstur	8
102	MilleGrug	8
102	xolstoi	8
108	Nekomin0	7
108	Vellu21	7
110	rats_life	6
110	ShedJr_	6
110	ratglock	6
110	tortillatitan	6
110	MyNameIsJobo	6
110	Jackattack53	6
110	NoChumpChange	6
110	DanTheBuilderino	6
110	weabis	6
110	SvenskaHugo	6
120	Frozil20	5
120	joethahobo	5
120	Cryptacity	5
120	Comma__	5
120	TheWildMateo	5
120	dnlksl	5
120	Racengan	5
120	SpacesickPrism	5
120	Western_1	5
129	Cowison	4
129	Blackberry1310	4
129	JETrotter	4
129	seramalen	4
129	Truckoss	4
129	Cyntrical	4
129	Airem_Core	4
129	MineMaster0012	4
137	500am	3
137	LeauVox4921	3
137	Fuhrer_Teemo	3
137	Toriankel	3
141	Prodiginus	2
141	_Nuf	2
141	Allanon1235	2
141	BlueZabu	2
141	Chromary	2
141	NarwhalTaco	2
141	oscminus	2
141	F_Uhre	2
141	Ajax6	2
141	fkGrim	2
141	Manaateee	2
141	shrimp_flips	2
141	Blu3beast	2
141	fluddd	2
141	Sheldor097	2
141	Hermanni__	2
141	Enderxz3	2
141	TechnoNinja64	2
141	calamariclam_I	2
160	teslawolf38	1
160	q_wq	1
160	eitanzaki	1
160	T045RTY	1
160	ATrojansLegend	1
160	Auseawesome	1
160	12Magner05	1
160	Tiberonus	1
160	Hanselhoof	1
160	benediktine1	1
160	Onennon	1
160	Mattesco	1
160	Blamphe	1
160	Meatlaugh	1
160	cog	1
160	StarCookiees_	1
160	tsitrawhy	1
160	Dreamdbr14	1
160	AdmiralSmoke	1
