rank	username	minecraft:picked_up/minecraft:deepslate_lapis_ore
1	thewindmillman	643
2	Hyp3rion_	472
3	Smashic	321
4	Segotep999	261
5	EMC_	216
6	500am	123
7	pintsizedrogue	97
8	SingedBread	84
9	Enderslayerxz3	82
10	Miko_Fullbuster	81
11	PlasticOtari	74
12	12Magner05	65
13	Marbz_	63
14	beeperbeeper5	61
15	Mahoose	59
16	Ryker	54
17	gcaisawesome	49
18	Lutres_Torane	48
19	dartwaffle	45
20	SvenskaHugo	37
21	pixelviolin	31
22	RebelAndroid	29
22	fw3xywashere	29
22	Steven1282598	29
25	Megarboh	27
26	Dan_Scha	26
27	MinttyFressh	25
28	RoskobiOne	24
29	Drlzyy	22
29	MSK__	22
31	YungMaki	20
32	Smoke____	17
33	ShedJr_	16
33	Jiminie	16
35	Rebytre	13
35	MilleGrug	13
37	joethahobo	12
38	ApophisNova	11
38	EveryonesUncle	11
38	MyNamaSheff	11
41	dimondking777	10
41	BronkerBrum	10
41	HolyVenom	10
44	_stets	9
45	TAKrules	8
45	AltnumberF4	8
45	Legendosh	8
48	Mattesco	7
49	TheSecondLord	6
49	PigDab	6
49	Freak_Genius	6
49	Steelynan	6
49	2blox	6
49	WYFYoyo	6
55	Kakolbus	5
55	MAns_44	5
57	Flores991	4
57	T045RTY	4
57	Da_Boss_Rani	4
57	mrnosetackle	4
57	KGTV	4
57	Inchef	4
57	AlexxO_o	4
57	UCP_TheKingK	4
65	IronArshXS	3
65	Toriankel	3
65	Lord_Doob	3
65	ItsDeltaMC	3
69	diamondgolem35	2
69	crying_wolf_13	2
69	Jackattack53	2
69	Deathkob	2
69	Spacewardharpy7	2
69	Kowcio_	2
69	GlitchyPlate810	2
69	Skippeh	2
77	SquadMonster	1
77	lizardfightclub	1
77	Jimi7hits	1
77	Hermanni__	1
77	EcksD	1
