rank	username	minecraft:picked_up/minecraft:dark_prismarine_slab
1	joethahobo	2821
2	pintsizedrogue	1797
3	12Magner05	1550
4	EcksD	1134
5	Zythose	1125
6	PlasticOtari	906
7	EcksDofficial	794
8	beeperbeeper5	479
9	TheShyPig	462
10	gcaisawesome	431
11	MightyWertu	389
12	CliffEmAll	371
13	Chromary	338
14	Snowflowe	254
15	eitanzaki	253
16	Smoke____	251
17	Arceus1975	247
18	CoffeeNoir	245
19	Fullut	233
20	Dusk_95	200
21	Ezekson	198
22	Hermanni__	189
23	KarlKaek	161
24	oxfordschool	159
25	Mr_Byzantine	126
26	EveryonesUncle	112
27	Drlzyy	107
28	rarrq	106
29	AuroraValkyrie	96
30	YungMaki	87
31	Mahoose	79
32	Merv__	71
32	Winklepicker279	71
34	Spacewardharpy7	59
35	Eraxa	56
36	Z3braYTIL	49
37	Steelynan	39
38	PigDab	38
39	Blaiku	37
40	ImpavidArcher	33
41	2blox	32
42	obzii	27
42	YoshikageBites	27
44	Skippeh	25
45	set67	24
45	Marbz_	24
47	Maenara	21
48	LeGold	20
49	microcrisp	18
50	TheSecondLord	17
51	Iagoku	16
51	Kubeusz2010	16
53	Frozil20	14
54	m_be9	13
54	burbankbuilder28	13
54	Bumpy419	13
54	Racengan	13
58	LittleBug562	12
58	Enderslayerxz3	12
60	NameGenerat0r	10
61	noam464	9
62	SokaOtaku	8
62	SpookyDraggin	8
62	stavgod	8
62	djancak	8
66	groofles	7
66	Legendosh	7
68	Werbe	6
69	The_slideV3	5
69	lordpipe	5
69	Soplight	5
72	Smashic	4
72	Hiryu27	4
72	Skylord_Luke	4
72	EngagedGrub41	4
76	RebelAndroid	3
76	Notta	3
76	kekhon	3
79	titanlax	2
79	Moyd_	2
79	shyshyannne	2
79	Masssonnn	2
79	thescout7	2
79	mimbo1211	2
79	thewindmillman	2
79	fw3xywashere	2
79	masskedman	2
79	501g	2
79	UCP_TheKingK	2
79	Miko_Fullbuster	2
91	FrostySlimez	1
91	Lez_	1
91	Di_infiri	1
91	Lil_Breadboy	1
91	Akoot_	1
91	Syropatathe	1
91	Jiminie	1
91	claivin	1
91	iHuntWeeaboos	1
91	deerm	1
91	KingMatthew506	1
91	scarletwarrior1	1
91	Powowowow	1
