rank	username	minecraft:picked_up/minecraft:cobblestone_stairs
1	TheShyPig	2152
2	Legendosh	1997
3	El_Jalapeno	1869
4	burbankbuilder28	1730
5	Blackberry1310	1539
6	Akoot_	1475
7	kekhon	1355
8	ApophisNova	1338
8	MyNamaSheff	1338
10	rarrq	1195
11	EMC_	1113
12	Cowison	887
13	Racengan	824
14	fffMike	793
15	slkiey	748
16	Enderslayerxz3	733
17	xxPipperDipperxx	717
18	MightyWertu	703
19	Ezekson	695
20	Werbe	672
21	lcvezra	647
22	Di_infiri	640
23	Spacewardharpy7	629
24	Frozil12	617
25	pintsizedrogue	584
26	GravitySaint	581
27	thescout7	555
28	mwrty	505
29	__tomato	498
30	IdeallyGrey	477
31	m_be9	472
32	ImpavidArcher	471
33	Malorn_Aetherius	464
34	Smoke____	424
35	TheSecondLord	420
36	beeperbeeper5	413
37	eviltunix	405
38	_Karmaa	398
39	MissCeleste7	394
40	jushykins	387
41	Historical_Sand	383
42	Megarboh	376
43	Mahoose	373
44	jacxhadow	368
45	KeruNatsema	362
45	Deguns123	362
47	Jeteight	361
48	heysushii	357
49	StinkyDiplomat	356
50	impossibleteapot	354
51	HellsSponge	332
52	MovingFish7	329
53	6king6colt6	323
54	Deodorante	310
55	bruh072	309
56	yoyoYoloMonke	308
57	Airem_Core	306
58	MattieHD	305
59	LexMakesHistory	303
60	joethahobo	297
61	JoCoLi	294
61	Dusk_95	294
61	TechnoNinja64	294
64	Jackattack53	285
65	diamondgolem35	282
66	Deathkob	281
67	RefluxRatio	280
68	Chickenchaser2	276
69	Wolverine4302	274
70	EcksDofficial	272
71	soundad	258
72	redikul	256
73	MakeHistory157	255
74	Slapface522	251
75	jcool7	246
76	roxycherry	244
77	Eraxa	243
78	XeroByMyth	242
79	_Bguette_	240
80	lordpipe	236
81	Freak_Genius	229
82	CharlieButt	227
83	fluddd	225
83	PlasticOtari	225
85	CalebDHawk	223
86	Groundler	214
87	Hermanni__	211
88	thewindmillman	210
89	Quotary	209
90	RedcatVII	205
91	_Dean_123	203
92	awesomeoneme	198
93	Prodiginus	189
93	Awyrlas	189
95	Bumpy419	186
96	chipklip	184
97	kinas45y5	180
98	Natty	179
99	ThePoliteG	178
100	Merv__	177
100	Lukeee33	177
100	bloodbiter	177
100	Jiminie	177
104	Winklepicker279	175
105	PhantomsGhost_	173
106	Mr_Byzantine	170
107	Onennon	169
108	CSG_Haru	168
109	Maenara	160
110	FennYuzuna	156
110	NotMeowMix	156
110	Sral7	156
113	CaptainSteve345	155
113	a_smol_bean	155
113	00000000-0000-0000-0009-01f898304150	155
116	Cocoamallows	152
117	Jimi7hits	151
117	Ze_BaronKrigler	151
119	wTXop	150
119	Negriuke	150
121	wezzzi	149
122	Kowcio_	146
123	Queen_Jalapeno	145
123	Bloo2406	145
125	RobotMinion101	142
125	Luigipunch989	142
127	NebulousBadger	141
128	Ssor69	140
128	ChocolatePepsi	140
128	GoofyBread	140
131	Typadopoulos	139
132	theofiel	135
132	Xclax101	135
134	gabriels543	134
135	ProbsNotNova	133
136	Lord_Jord	130
136	tartanboy	130
138	q_wq	128
138	AlazelTheReal	128
140	Ailmast	126
