rank	username	minecraft:picked_up/minecraft:stone_axe
1	FreakGenius	88
2	Yamdalorian	41
3	SteveCraftBlocks	34
4	Mahoose	29
5	xzvu	20
6	luseis	19
7	miramyu	18
8	noam464	15
9	himak1	14
9	Akoot_	14
9	LuvLuvLove	14
12	intropass	13
12	PlasticOtari	13
14	Gus2005	11
15	rarrq	9
15	Blackberry1310	9
15	Kamflame	9
15	El_Jalapeno	9
19	Under1	8
19	Kkanot	8
19	Boipl	8
19	ItsDeltaMC	8
19	Kowcio_	8
24	Touched_Bread	7
24	NotoriousNina	7
24	Di_infiri	7
24	Jackattack53	7
24	Donutt	7
24	IamCL4SSY	7
24	420BreadLizard	7
31	robertsnose	6
31	royal_2	6
31	ROY4LE	6
31	Purplehere	6
31	TheShyPig	6
31	Warlord324	6
37	diamondgolem35	5
37	abdomera	5
37	beeperbeeper5	5
37	Smashic	5
37	LordZacler	5
37	OreTheBear	5
37	lizardfightclub	5
37	Lord_Zacler	5
37	TTVB3nzitoOG	5
37	sp00ky_ghost977	5
37	KingMatthew506	5
37	Nicserso	5
37	mountaingirl311	5
50	pintsizedrogue	4
50	Groovy_MoonBird	4
50	PhantomsGhost_	4
50	Napoleonpancake	4
50	cheerytomato	4
50	TheSecondLord	4
50	_Dean_123	4
50	M_Patata	4
50	Nyxiom_	4
50	Parcc	4
50	ILoveCarrot	4
50	spencersolberg	4
50	Synthoum	4
50	Majonezzon	4
50	Eraxa	4
50	Soplight	4
50	_TCARREIRA_	4
50	Kubeusz2010	4
50	FelixPSY375	4
69	Bandito_Roamer	3
69	SyK7	3
69	ImpavidArcher	3
69	hm947	3
69	eitanzaki	3
69	akap47	3
69	TinMaster	3
69	Tiberonus	3
69	xxPipperDipperxx	3
69	hcb238	3
69	VanJosh	3
69	U_Mos_	3
69	The_Fulgurator	3
69	F_Uhre	3
69	J4k__	3
69	fxiryglitch	3
69	LofiGura	3
69	Lord_Jord	3
69	AspenLightVT	3
69	PartyPhoenix	3
69	madderfall	3
69	jambvds	3
69	Tyrannosplart	3
69	HellsSponge	3
69	Blu3beast	3
69	bluemage31	3
69	SkateboardR6	3
69	Factoroni	3
69	bndo	3
69	MasterNueve	3
69	WyngGoy	3
69	LordSpeed37	3
69	Pumpkin_P_Patch	3
69	Nekomin0	3
69	Deguns123	3
69	CalebDHawk	3
69	Kferno	3
69	OfficerAnvil	3
69	FGamerJ	3
69	Powowowow	3
69	CrazyPotater	3
110	j4ck811	2
110	Flamd	2
110	EdaterPure	2
110	CloroxBleach385	2
110	FujiBS	2
110	foxncat	2
110	6king6colt6	2
110	Flex_Tape_Phil	2
110	bigstankyy	2
110	SyntheticSurgeon	2
110	Seyaboy	2
110	lotarp	2
110	Huwulling	2
110	Julmish	2
110	Morgf	2
110	Hormones	2
110	spaece	2
110	ShedJr_	2
110	Myszoaz	2
110	Gregward_Smith	2
110	Ssor69	2
110	ccormacs	2
110	heckface	2
110	dopplexd	2
110	Miroryk	2
110	tortillatitan	2
110	bloodbiter	2
110	12Magner05	2
110	ABUSNA1996	2
110	Dnulgreb	2
110	MrExplorer	2
110	zMarciano	2
110	Fullut	2
110	Gingayy	2
110	mwrty	2
110	thescout7	2
110	Awyrlas	2
110	SpicyMeatballs	2
110	Zaridey	2
110	Nightfigh1	2
110	legal_tax_evader	2
110	_Duckery	2
110	SuperPooch06	2
110	AJplaysMC_	2
110	thewindmillman	2
110	Hyp3rion_	2
110	SamZombie	2
110	l3x07	2
110	Fast_Turtle	2
110	pappaberg	2
110	thebaddruid	2
110	SvenskaSara	2
110	Bumpy419	2
