rank	username	minecraft:picked_up/minecraft:mangrove_fence
1	k_ce	453
2	Enderxz3	120
3	Mr_Byzantine	22
4	Legendosh	20
5	skitzxo	19
6	Werbe	16
7	oscminus	14
8	Lez_	10
9	xxPipperDipperxx	9
9	Kondzik2008	9
11	FiguraDei	8
12	Secret_Canary	7
12	Pumpkin_P_Patch	7
14	CLG_Kata	5
15	Merv__	4
15	KarlKaek	4
15	hanaryheatwave	4
15	Mattesco	4
15	Druid95	4
15	Segotep999	4
21	Yamdalorian	3
22	pintsizedrogue	2
22	Kowcio_	2
22	Steelynan	2
25	Apollo_993	1
25	Mahoose	1
25	kerryfull1	1
25	bl1ss0	1
25	Jackattack53	1
25	pixelviolin	1
