rank	username	minecraft:picked_up/minecraft:dark_oak_sapling
1	ImpavidArcher	7786
2	thewindmillman	5699
3	eitanzaki	5087
4	Blackberry1310	3511
5	Spacewardharpy7	3203
6	TheShyPig	2724
7	Smoke____	2707
8	gcaisawesome	2462
9	Euclidoris	2234
10	m_be9	2032
11	El_Jalapeno	1337
12	EMC_	1154
12	Freak_Genius	1154
14	noam464	1003
15	Jiminie	957
16	beeperbeeper5	933
17	burbankbuilder28	910
18	Arceus1975	900
19	Di_infiri	882
20	pintsizedrogue	881
21	EveryonesUncle	852
22	Snowflowe	819
23	TheSecondLord	754
24	TechnoNinja64	729
25	MyNameIsJobo	684
26	Ezekson	681
27	HellsSponge	655
28	M_Patata	644
29	paranoid_plant	613
30	Touched_Bread	607
31	Frozil12	584
32	MasterNueve	564
33	RatatJuice	488
34	Enderslayerxz3	481
35	FishyBoy3811	444
36	Zythose	433
37	Huwulling	413
38	RebelAndroid	410
39	Fullut	408
40	kekhon	377
41	Blaiku	376
42	Akoot_	375
43	Bandito_Roamer	348
44	Russiancat1	335
45	selectrix	326
45	PigDab	326
47	2Stout	324
48	HesDemonPants	317
49	groofles	309
50	Werbe	306
51	GingerNeutron	281
52	SpaceGrenadier	276
53	RoskobiOne	272
53	rarrq	272
53	500am	272
56	Inbefour	265
57	LeeMcGee30	264
57	Skippeh	264
59	Sky_light_KING	258
60	joethahobo	257
61	_Cloverbelle_	249
61	wezzzi	249
63	Hisiste	245
64	ROY4LE	243
65	Prismyst	242
66	TheDankPlatypus	236
67	Inchef	234
68	Winklepicker279	228
68	Deathkob	228
68	Soplight	228
71	Eraxa	226
72	Mahoose	222
73	Hiryu27	220
74	NomadicRobin_	218
75	jacxhadow	205
76	pixelviolin	203
76	Segotep999	203
78	AnnieBathory	201
79	RobotMinion101	200
79	stuy9	200
81	anbbang	198
82	CharlieButt	195
82	Kowcio_	195
84	Darkgon	194
84	fffMike	194
86	Lutres_Torane	193
87	Legendosh	187
88	lordpipe	184
88	EcksD	184
90	MineMaster0012	182
91	thescout7	181
91	Hoid_the_Roamer	181
93	seramalen	180
94	DTwenty	174
95	Barlycorn	171
96	DarlaMeow	169
97	Lord_Jord	167
98	oxfordschool	166
99	RodSerlingCringe	164
100	The_slideV3	159
101	r123moore	158
102	SuperPooch06	157
103	ZoomieZoomie	156
104	Merv__	155
105	Ryker	154
105	Malorn_Aetherius	154
105	ProfessorBee	154
108	SvenskaHugo	150
109	Notta	146
109	Dusk_95	146
111	diamondgolem35	145
111	Meatlaugh	145
113	ExtraDumb	141
114	avalan64	137
115	Hermanni__	136
116	Hyp3rion_	135
117	Cryptacity	133
117	lillips	133
119	KingMatthew506	130
120	__tomato	126
121	censorsheep	125
122	YungMaki	123
123	Sleek_Storm_721	119
123	Omar_Alone	119
125	awesomeoneme	118
125	gabriels543	118
127	xxPipperDipperxx	117
128	Hyugo	114
128	CollinMH06	114
130	CliffEmAll	113
131	cowgirlkasia	112
131	brycepants	112
133	chlorinex	111
133	dartwaffle	111
133	JayToe	111
136	NieToksikpl	109
137	teslawolf38	108
137	SammiWolfGirl	108
137	EcksDofficial	108
140	CoffeeNoir	107
140	Paintz	107
142	Groovy_MoonBird	105
142	XxCookiequeenxX	105
142	TheOnlyRake	105
145	Blu3beast	103
146	KeruNatsema	102
147	Natty	98
147	Xalithia	98
149	Tobinator_007	96
150	AngalexikCZ	95
150	fade_emerge78823	95
150	PeteO1995	95
150	PlasticOtari	95
154	PhantomsGhost_	93
155	theofiel	92
156	stahouo	91
157	Ecplosive	89
157	chipklip	89
157	_Karmaa	89
157	Quotary	89
161	corvidpartyfor6	83
162	ThePoliteG	82
162	NormanFetus	82
164	Queen_Jalapeno	79
164	Kyrum2169	79
166	hollowww	77
167	AlphaWolfPlaysMC	75
167	PortlyPete69	75
169	beeleg	74
170	Kateesaur	73
171	Cowison	72
172	tobinwilliams	71
172	Nicserso	71
174	Rumpletaezer	70
174	JasmineGK	70
176	yulgur1	68
177	Wooptey	67
177	set67	67
177	Moofyman	67
177	microcrisp	67
181	LeauVox4921	66
181	Purplehere	66
181	Hyperphoenix42	66
184	ImDisconnected_	65
184	Kynigito	65
184	Rexorout	65
187	tsitrawhy	64
188	Bumpy419	63
189	The_Fulgurator	62
189	Jij0	62
191	Historical_Sand	61
192	420BreadLizard	60
193	Nicky_H225	59
193	eviltunix	59
193	eiC_	59
193	MustaLoordi	59
197	lcvezra	58
198	Mr_Byzantine	57
198	Awyrlas	57
198	Optiprimus	57
201	Karetoko	56
201	fkGrim	56
201	Deguns123	56
201	OfficerAnvil	56
205	Onennon	55
205	Toriankel	55
207	Marbz_	54
207	smogfrog	54
209	SaucyDark	53
209	ooga47	53
211	LexMakesHistory	52
211	infiniteQuery	52
213	bigstankyy	51
213	Ssor69	51
215	Maenara	50
215	__hinterland__	50
215	sp00ky_ghost977	50
218	Jovaphobic	49
218	Kakolbus	49
218	BronkerBrum	49
218	claivin	49
218	SingedBread	49
218	Lowjinx	49
224	Paint	48
224	_Razar	48
226	AuroraValkyrie	46
227	PegLegPete93	45
227	Sral7	45
229	KarlKaek	44
229	KlausVonStiglitz	44
231	ColeSnyder	43
231	youhjjhhhjj	43
231	Shogunite	43
231	Typadopoulos	43
231	MissCeleste7	43
231	CrazyPotater	43
237	00000000-0000-0000-0009-01ff0c3e5e4f	42
238	ZaneABrain	40
239	6king6colt6	39
239	prizm_	39
239	madderfall	39
239	Smiguli_	39
243	SellyZ	36
244	Shiirazuku	35
244	JESS_THE_RERE	35
244	MakeHistory157	35
244	Kijiki	35
248	Comma__	34
248	Leyna3	34
250	LittleBug562	33
250	Nach0Bear	33
250	Matek_	33
250	Groundler	33
250	CalebDHawk	33
255	StrdyFiber	32
255	Lez_	32
255	SokaOtaku	32
258	TildaAndrea	31
258	PabloGonza02	31
258	laron58	31
261	JingleLizi	30
261	TinMaster	30
263	Lumien_	29
263	Fuhrer_Teemo	29
265	AlazelTheReal	28
265	Rich_Kat	28
265	ArdaAslan02	28
265	MightyWertu	28
265	07shiny	28
265	djancak	28
265	Kubeusz2010	28
272	MSK__	27
272	_Nuf	27
272	AlexStrange	27
272	MyNameIsDakar	27
272	GravitySaint	27
272	2blox	27
278	DangusCnt	26
279	actuallysadie	25
279	Skomo	25
279	CookTheChef3	25
279	yoyoYoloMonke	25
279	potatocan	25
284	T045RTY	24
284	LordSpeed37	24
286	cringenaynaybaby	23
286	WYFYoyo	23
288	Ravenbie	22
288	MonitorLizards	22
288	xX_Stalin69_Xx	22
291	ItzYaBoiPicard	21
291	DarkS0L	21
293	SyK7	20
293	moertymoertan	20
295	SLASHZEERA	19
295	pappaberg	19
295	audiocracked	19
295	bruh072	19
295	Kekoo	19
295	MusicMe1005	19
