rank	username	minecraft:picked_up/minecraft:cookie
1	kekhon	6478
2	Blackberry1310	2703
3	Akoot_	2461
4	pintsizedrogue	2268
5	TechnoNinja64	2242
6	PhantomsGhost_	2180
7	eitanzaki	1871
8	ILoveCarrot	1635
9	Mahoose	1618
10	Soplight	1564
11	rarrq	1359
12	TheDiamondCG	1287
13	Freak_Genius	1214
14	Di_infiri	1199
15	bloodbiter	1120
16	Skippeh	1069
17	MightyWertu	942
18	Werbe	848
19	Reamdin	812
20	claivin	773
21	jnp_gaming	760
22	KarlKaek	744
23	Steelynan	669
24	Blu3beast	660
25	Rumpletaezer	658
26	The_slideV3	647
27	epiksk8erduck	641
28	Frozil12	625
29	Groovy_MoonBird	586
30	Natty	564
30	fallingemma	564
32	SyK7	536
33	stahouo	521
34	TheShyPig	494
35	RodSerlingCringe	488
36	Legendosh	472
37	Oxygen16	454
38	Tolhart	439
39	Jackattack53	412
40	DarlaMeow	389
41	fluddd	383
42	Fullut	367
43	Optiprimus	336
44	Ssor69	320
44	lia1337owo	320
46	chipklip	316
47	Krasnal1337	314
48	ImDisconnected_	281
48	Enslaving	281
50	__tomato	263
51	peach0s	262
52	JakobDylanC	257
53	Boboczus	256
54	Jiminie	253
55	Lord_Doob	244
56	lordpipe	241
57	TheSecondLord	236
58	ImpavidArcher	226
59	Hemartunity	224
60	AmbroseForLife	216
61	noam464	210
62	NomadicRobin_	209
63	Onennon	206
64	NameGenerat0r	199
65	lillips	196
66	Calbo_	194
67	Lukeee33	192
67	SailiXX	192
67	purpl3hazze	192
67	ptweezy	192
67	klee_exe	192
72	McLovin003	190
73	joethahobo	183
74	Racengan	178
75	YungMaki	171
76	radioactv_jelly	167
77	MOSS000	163
77	TheJetNinja	163
79	jcool7	159
80	kinas45y5	156
81	Poppy235	154
82	MovingFish7	152
83	NebulousBadger	147
84	Ryker	144
85	Cambo5000	143
85	Blaiku	143
87	Kubeusz2010	142
88	_Bguette_	141
89	T045RTY	140
90	Euclidoris	139
91	beeperbeeper5	134
92	_Karmaa	132
93	YoshikageBites	131
94	Hyugo	130
94	Stiar	130
96	Syropatathe	129
97	xeekkcnook	128
97	Rox_The_Box	128
97	BudaDude	128
97	lordsaladito	128
97	Cerbric	128
97	iHuBlack	128
97	Corbsman	128
97	Zielo2017PL	128
97	TheTrueClipse	128
97	SpookyDraggin	128
97	Universz	128
97	Ben_van_Berkum	128
97	apnos	128
110	Minimize501	127
111	RosaDoesMC	120
112	alderban107	112
112	EcksDofficial	112
114	Smoke____	110
115	Vellu21	109
116	ExtraDumb	108
117	NotMeanttoChange	107
118	paranoid_plant	104
119	Incinere	102
119	FishyBoy3811	102
121	The11thDoctor	99
122	Arceus1975	97
123	Spacewardharpy7	96
124	The_Quack_Dealer	95
124	oxfordschool	95
126	thgrocks	94
127	h2p_emrld	92
128	CommonCub	91
129	Inbefour	90
130	AuroraValkyrie	86
131	Travka100	85
132	heckface	84
133	numbra	83
134	I_Am_Mushkin	82
134	thewindmillman	82
136	Cryptacity	80
136	SteveCraftBlocks	80
138	QueenOfDirt	79
139	Marbz_	78
140	YungWali	77
141	r123moore	75
141	Hiryu27	75
143	SuperPooch06	74
144	set67	73
145	cichy096	71
146	MakeHistory159	70
147	m_be9	69
148	Dedalus36	68
149	Eraxa	67
149	_TCARREIRA_	67
151	_Boipl_	66
151	Hermanni__	66
153	RIDDLYRIGHT	65
153	jimintyy	65
153	Nicserso	65
156	jessemgaming	64
156	Meteora4	64
156	RebelAndroid	64
156	Paradoxion	64
156	tsohomie	64
156	starBURST312	64
156	vyrodok	64
156	_Kosovo_	64
156	Resner	64
156	Kubelz	64
156	popcanter	64
156	XNL	64
156	Baxepoche	64
156	Cloudspit	64
156	LilLizardWizard	64
156	the_russell1611	64
156	_czarny	64
156	greatimes	64
156	yatsuta	64
156	Chayula	64
156	Xannon232	64
156	kekokele	64
178	Kyrum2169	63
178	SSytex_X	63
180	Myszoaz	62
181	thescout7	61
182	speenduhXD	59
182	andrewson811	59
184	lcvezra	58
185	SaucyDark	57
185	bbquakes	57
185	censorsheep	57
188	Zythose	55
189	_Virify_	54
189	_Dean_123	54
191	pappaberg	53
191	E775	53
193	duqboy	52
194	CalebDHawk	50
194	Ezekson	50
196	OfficerAnvil	49
197	Menthas	48
197	Merv__	48
197	SammiWolfGirl	48
200	Peco9	46
200	MeowMeowMcmuffin	46
202	superGamerBoy_	45
203	Comma__	44
204	awesomeoneme	43
205	EkkoTraveler	40
205	TheSeismicDuck	40
205	Groundler	40
208	Hyp3rion_	39
209	ColeSnyder	38
209	Notta	38
209	Gmoney390	38
209	Cocoamallows	38
213	Truckoss	37
214	emrekn	36
214	PortlyPete69	36
216	not_a_duck_23	35
217	Chromary	34
218	Skylord_Luke	33
219	GingerNeutron	32
219	morningelegance	32
221	bigstankyy	31
221	Quaintster	31
223	maliraspberry	30
223	JohnHanzo	30
225	500am	29
225	DamagedSin	29
227	Drooner	28
227	ormkel	28
227	Minc_	28
227	Meatlaugh	28
231	6king6colt6	27
231	AssFullaCum	27
233	phomic	26
233	Kynigito	26
233	Spenduh	26
236	mimbo1211	24
236	gabriels543	24
238	himak1	23
238	Segotep999	23
238	JayToe	23
238	mysnowydog	23
242	shyshyannne	22
243	microcrisp	21
243	Sral7	21
245	12Magner05	20
245	egglapras	20
247	DanTheBuilderino	19
247	sp00ky_ghost977	19
249	Drlzyy	18
249	HollieDaNugget	18
249	fr_ser	18
249	HellsSponge	18
253	potato292	17
253	UncreativeArtist	17
253	Fuad_R	17
253	starbits140	17
253	Sheldor097	17
258	xxPipperDipperxx	16
259	CoffeeNoir	15
259	ooga47	15
259	Invisie	15
262	fw3xywashere	14
263	burbankbuilder28	13
263	GoigeFZ	13
263	iamNaee	13
263	Njensen7	13
267	xsewn	12
268	Jovaphobic	11
268	Wooptey	11
268	surfinggiraffejp	11
268	ROY4LE	11
268	Luigipunch989	11
273	lionmindset	10
273	Snowflowe	10
273	Deodorante	10
276	Froste131	9
276	Covalents	9
278	KomputerDude	8
278	oGerard	8
278	loveseeker	8
278	fred870d	8
278	iElijah	8
278	738b4f65-6cbd-4ead-ba31-c14211abfb06	8
278	pixelviolin	8
278	1Riot	8
278	Quotary	8
278	PlasticOtari	8
288	H72l9w	7
288	vampgey	7
288	cxtch	7
291	Ninzyyy	6
291	stuy9	6
291	valkam13	6
291	Russiancat1	6
291	GravitySaint	6
291	BlankityMcBlank	6
297	JapansDragon	5
297	Spaghettatron	5
297	301851	5
297	slkiey	5
