rank	username	minecraft:picked_up/minecraft:nether_wart_block
1	noam464	16616
2	Snowflowe	14344
3	Blackberry1310	12581
4	Smoke____	8261
5	Akoot_	5449
6	thewindmillman	5046
7	TheSecondLord	4561
8	Freak_Genius	2773
9	OtariCharlie	2770
10	joethahobo	2534
11	Deathkob	2482
12	lordpipe	1672
13	12Magner05	1545
14	Historical_Sand	1440
15	pintsizedrogue	1375
16	oxfordschool	1286
17	gcaisawesome	1112
18	BobDeBouwer1337	1086
19	sebastiensaborio	981
20	YungMaki	940
21	Luigipunch989	868
22	Enderslayerxz3	861
23	Winklepicker279	753
24	RebelAndroid	714
25	Cowison	625
26	Blaiku	609
27	ApophisNova	571
27	MyNamaSheff	571
29	kekhon	534
30	livingdaydreams	531
31	CliffEmAll	500
32	Eraxa	468
33	Fullut	467
34	eitanzaki	432
35	TheShyPig	361
36	AuroraValkyrie	342
37	lizardfightclub	326
38	HellsSponge	324
39	jnp_gaming	309
40	Eczbek	296
41	Lord_Jord	286
42	trexgb	282
43	Hermanni__	260
44	fffMike	259
45	beeperbeeper5	247
46	himak1	242
47	6king6colt6	240
48	Karbl	238
49	Mahoose	230
50	Xalithia	224
51	Kubelz	211
52	MSK__	194
53	lillips	166
54	SammiWolfGirl	165
55	teslawolf38	161
56	NotMeanttoChange	157
57	The_slideV3	152
58	Dedalus36	149
59	Arceus1975	142
60	brofrickcheaters	134
61	Winston_Ingram	133
62	NomadicRobin_	128
63	rarrq	127
64	EfficientC52	120
65	TechnoNinja64	111
66	CoffeeNoir	108
67	emrekn	107
67	Soplight	107
69	ooga47	101
69	Eon_57	101
71	Nycteus_	96
72	Awyrlas	91
73	Spacewardharpy7	76
73	Legendosh	76
75	Hpdinosaur	71
75	bloodbiter	71
77	Frozil12	70
78	The_SlideV5	66
79	EcksD	64
80	ShedJr_	62
80	gustarbite	62
80	MilleGrug	62
83	Groundler	56
84	Yatitay	53
85	xxPipperDipperxx	51
86	M_Patata	50
87	500am	45
87	TheTommyGun63	45
89	KartivGal	44
90	jacxhadow	43
90	Billious	43
90	EveryonesUncle	43
93	r123moore	38
94	EMC_	34
95	YahooScreen9000	31
95	Xclax101	31
95	Kowcio_	31
98	Di_infiri	26
98	NoChumpChange	26
100	djancak	24
100	Drawgirll	24
102	Chromary	23
103	Jovaphobic	22
103	Gryglu583	22
105	Inchef	21
106	fred870d	20
106	mobunni	20
108	MightyWertu	19
109	breadbowlgamer	18
109	Zythose	18
109	LexMakesHistory	18
112	fkGrim	17
112	anbbang	17
112	2blox	17
115	xX_HaroldHolt_Xx	16
115	Lumien_	16
115	Skylord_Luke	16
115	SingedBread	16
115	Kubeusz2010	16
120	_Virify_	13
120	BlancoFlaco	13
120	Dusk_95	13
120	RadarHz	13
124	crying_wolf_13	12
124	PigDab	12
124	FishyBoy3811	12
124	ogoa	12
128	Mr_Byzantine	11
128	CruncyIsTaken	11
128	DarlaMeow	11
131	SuperPooch06	10
131	King_Pancake1	10
131	RodSerlingCringe	10
131	Vorlice	10
131	07shiny	10
131	Quotary	10
137	MangoTheFish	9
137	Quinasin	9
139	egglapras	8
139	Hyp3rion_	8
139	Vegvisir	8
142	soundad	7
142	TowenPL	7
142	monky_irl	7
145	hm947	6
145	Myszoaz	6
145	Master_Kol	6
145	orxngejuice	6
145	eiC_	6
145	CarltheCuck	6
145	masskedman	6
145	Ze_BaronKrigler	6
153	AshleeCW	5
153	Sleek_Storm_721	5
153	KarlKaek	5
153	Natofthese	5
153	set67	5
153	thescout7	5
153	RobotMinion101	5
153	Spenduh	5
153	UltraZombie	5
153	Njensen7	5
153	diggydog67	5
164	Nesquiczek	4
164	_Razar	4
164	titanlax	4
164	fr_ser	4
164	StarPlanetMoon	4
164	KeruNatsema	4
164	Blu3beast	4
164	TheEnderman548	4
164	kyouma777	4
164	SvenskaHugo	4
174	_NieToksikpl_	3
174	Paint	3
174	Ardennes	3
174	MyNameIsDakar	3
174	DanTheBuilderino	3
174	El_Jalapeno	3
174	SkateboardR6	3
174	VentiHilton	3
174	TheOnlyRake	3
183	MLG_Kirby69	2
183	m_be9	2
183	eclipseboi	2
183	UncreativeArtist	2
183	trixterrx	2
183	whoaluv	2
183	cwartzo	2
183	Werbe	2
183	AssEatrAndLicker	2
183	GlitchyPlate810	2
183	tartanboy	2
194	Groovy_MoonBird	1
194	PhantomsGhost_	1
194	_stets	1
194	I_Am_Mushkin	1
194	ExtraDumb	1
194	ssleepless	1
194	Whiterooster001	1
194	MrExplorer	1
194	ProfessorBee	1
194	_Dean_123	1
194	CyrusIsTired	1
194	paranoid_plant	1
194	mwrty	1
194	XboxPanda	1
194	loveseeker	1
194	GOOBERGABE04	1
194	BasedEphex	1
194	HolyVenom	1
194	ADEXTV	1
194	kapivsthewrld	1
194	CookTheChef3	1
194	claivin	1
194	Quaintster	1
194	501g	1
194	Steven1282598	1
194	MasterNueve	1
194	pipejob	1
194	LordBlaze11	1
194	Shin69	1
194	AssFullaCum	1
194	PortlyPete69	1
194	CalebDHawk	1
194	Ezekson	1
194	Lowjinx	1
194	HesDemonPants	1
