rank	username	minecraft:picked_up/minecraft:polished_blackstone_slab
1	Jackattack53	13058
2	noam464	1260
3	EveryonesUncle	1005
4	Smoke____	909
5	PlasticOtari	778
6	Hyp3rion_	558
7	Lord_Jord	479
8	TheSecondLord	369
9	500am	363
10	YungMaki	353
11	eitanzaki	351
12	PigDab	275
13	rarrq	244
14	pintsizedrogue	243
15	Rebytre	238
16	RoofTyler	233
17	jacxhadow	216
18	Di_infiri	202
19	Eraza	184
20	lizardfightclub	174
21	Deathkob	171
22	joethahobo	164
23	Legendosh	142
24	titanlax	118
25	Blackberry1310	110
26	Mahoose	102
27	Eraxa	81
28	SteveCraftBlocks	78
29	FreakGenius	76
30	lillips	69
31	fanofbands101	64
32	Racengan	62
33	Ze_BaronKrigler	56
34	RebelAndroid	52
35	NatalieTW	50
36	luseis	48
37	beeperbeeper5	47
37	Spacewardharpy7	47
39	Jakobo1337	45
39	Lutres_Torane	45
41	ImpavidArcher	41
42	Awyrlas	39
43	Lez_	30
43	Biites	30
45	6king6colt6	29
46	teslawolf38	28
47	TheShyPig	26
48	eli_tschki	24
48	Blaiku	24
50	Winston_Ingram	22
51	Fullut	21
51	thewindmillman	21
51	Snowflowe	21
54	Optiprimus	18
55	r123moore	17
56	NinjaKnifeKill	16
57	Huwulling	15
58	kekhon	14
58	King_Pancake1	14
60	Cowison	13
61	PegLegPete93	12
61	gusstationwerker	12
63	Enderxz3	11
64	soundad	10
64	CliffEmAll	10
66	_Razaria	9
66	ApophisNova	9
66	Mattesco	9
66	Fuad_R	9
66	MyNamaSheff	9
71	NieToksikpl	8
71	Decaying_Lotus	8
73	Akoot_	6
73	Jimb0nat0r	6
75	himak1	5
75	NameGenerat0r	5
77	Smashic	4
77	Werbe	4
79	Frozil20	3
79	Nycteus_	3
79	lordpipe	3
79	jnp_gaming	3
83	ShedJr_	2
83	mwrty	2
83	XboxPanda	2
83	TheWildMateo	2
83	MAns_44	2
83	Ezekson	2
83	ConnorDanky_	2
83	00000000-0000-0000-0009-01f073f37a91	2
91	Krasnal1337	1
91	bigstankyy	1
91	BobDeBouwer1337	1
91	set67	1
91	__TheNorseMan__	1
91	gcaisawesome	1
91	M_Patata	1
91	Antek_Kicek	1
91	Solar_Power	1
91	wwwwinnebagoooo	1
91	Dusk_95	1
91	MasterNueve	1
91	pixelviolin	1
91	RealGroot	1
91	HesDemonPants	1
