rank	username	minecraft:picked_up/minecraft:red_shulker_box
1	TheSecondLord	2634
2	thewindmillman	2146
3	Zythose	1411
4	Mahoose	1285
5	beeperbeeper5	985
6	Hyp3rion_	878
7	Eraxa	760
8	thescout7	560
9	MilleGrug	532
10	YungMaki	497
11	Snowflowe	475
12	HellsSponge	403
13	Fullut	372
14	Spacewardharpy7	364
15	Jovaphobic	360
16	BumbleBeever	354
17	CoffeeNoir	344
18	PlasticOtari	338
19	pintsizedrogue	301
20	Freak_Genius	297
21	Smoke____	286
22	Lutres_Torane	284
23	lordpipe	283
24	Quincannon	282
25	Blaiku	274
26	claivin	268
27	noam464	237
28	Awyrlas	229
28	Ezekson	229
30	Smashic	216
31	500am	212
32	eitanzaki	208
33	Sky_light_KING	206
34	TheEnderman548	201
35	Blackberry1310	197
36	Soap_Bender	196
37	NameGenerat0r	193
38	TheDankPlatypus	190
39	m_be9	186
40	kekhon	182
41	XboxPanda	180
42	EveryonesUncle	177
43	Jackattack53	176
43	Groundler	176
45	2Stout	175
46	SaucyDark	173
46	set67	173
48	Bandito_Roamer	165
49	Bumpy419	164
49	Jiminie	164
51	Spenduh	161
52	Segotep999	160
53	Eczbek	159
54	EcksD	156
55	CSG_Haru	145
56	r123moore	144
57	mwrty	142
58	Zaridey	140
59	Fuhrer_Teemo	134
60	Kowcio_	133
61	Merv__	130
61	pixelviolin	130
63	stahouo	128
64	Skylord_Luke	126
65	6king6colt6	118
66	oxfordschool	117
67	_Nuf	112
67	Xalithia	112
69	Fizznut909	110
69	obzii	110
71	rarrq	108
71	Akoot_	108
71	PortlyPete69	108
74	jnp_gaming	101
75	Inchef	100
76	Lord_Jord	98
76	DemTechAlpha	98
78	Kakolbus	92
79	sp00ky_ghost977	88
80	Deathkob	85
81	gcaisawesome	84
81	gabriels543	84
83	Jimi7hits	82
84	Alteriity	80
84	Historical_Sand	80
84	Steelynan	80
87	alderban107	79
88	joethahobo	75
89	Ecplosive	74
89	chipklip	74
91	Blu3beast	72
92	ImpavidArcher	71
92	SingedBread	71
94	MightyWertu	70
94	Enderslayerxz3	70
96	TheSeismicDuck	68
97	Chromary	67
97	lillips	67
99	Hoid_the_Roamer	66
99	MovingFish7	66
101	Ailmast	65
101	Natty	65
101	YungJakobo	65
101	cedric72	65
101	HesDemonPants	65
106	Dedalus36	64
107	binman420	63
108	Skippeh	62
109	fade_emerge78823	58
110	MSK__	57
111	SvenskaHugo	56
112	Airem_Core	55
112	Dogcorn69420	55
112	Dreamdbr14	55
112	mobunni	55
116	eviltunix	54
116	xxPipperDipperxx	54
116	kinas45y5	54
119	TheTrueClipse	53
119	Nycteus_	53
121	prizm_	52
122	PhantomsGhost_	51
122	teslawolf38	51
122	bloodbiter	51
122	TheShyPig	51
126	_Virify_	50
126	ProfessorBee	50
126	Kijiki	50
129	Auseawesome	48
129	iHuntWeeaboos	48
129	Frozil12	48
129	stellarjay	48
133	Werbe	47
133	Hisiste	47
133	GlitchyPlate810	47
133	h2p_emrld	47
137	EMC_	44
138	ssleepless	43
139	SammiWolfGirl	42
140	Legendosh	39
141	Da_Boss_Rani	38
141	DarlaMeow	38
141	ZeroKraken	38
144	fr0stss	37
144	MangoTheFish	37
144	AlexxO_o	37
144	Jamstroxian	37
144	lcvezra	37
149	Marbz_	34
149	dartwaffle	34
151	Lez_	33
151	Rich_Kat	33
151	whoaluv	33
151	_Karmaa	33
151	Njensen7	33
156	SpaceGrenadier	32
156	CuzIm2Kev	32
158	_3Stump_	31
158	Hermanni__	31
158	Sral7	31
161	MinttyFressh	30
161	groofles	30
161	StinkyDiplomat	30
161	fffMike	30
165	JEWISHBadenBeele	29
165	Lukeee33	29
167	SkateboardR6	28
167	Razzgriz	28
167	RadarHz	28
170	12Magner05	27
170	MAns_44	27
170	Soplight	27
173	_Dean_123	26
174	Arteriana	25
174	Donutt	25
174	DTwenty	25
174	1442	25
174	WyngGoy	25
179	soundad	24
179	diamondgolem35	24
179	_Bguette_	24
179	monky_irl	24
179	IdeallyGrey	24
179	brofrickcheaters	24
179	_TCARREIRA_	24
186	ZaneABrain	23
186	Warlord324	23
186	Sheldor097	23
186	Nicserso	23
190	awesomeoneme	22
190	drunkeeez	22
190	Di_infiri	22
190	pappaberg	22
190	KG1999	22
195	mariominejedi	21
195	HolyVenom	21
195	Bloo2406	21
198	ApophisNova	20
198	KartivGal	20
198	fw3xywashere	20
198	fluddd	20
198	07shiny	20
198	MyNamaSheff	20
198	little_dUki	20
205	ShedJr_	19
205	shyshyannne	19
205	FishyBoy3811	19
205	Jiminbub	19
205	tsitrawhy	19
210	dimondking777	18
210	Covalents	18
210	PigDab	18
210	Ender_Souls	18
210	Th6masss	18
210	jcool7	18
210	JayToe	18
217	Rumpletaezer	17
217	SvenskaAlvar	17
217	Shogunite	17
217	Xclax101	17
217	IAmTheWalrus910	17
217	KingMatthew506	17
217	EcksDofficial	17
224	Huwulling	16
224	Myszoaz	16
224	Euclidoris	16
224	Scathra	16
224	Truckoss	16
224	laron58	16
230	AuroraValkyrie	15
230	Vetral1	15
230	vandmanden	15
233	TAKrules	14
233	FirsTimeGamingTV	14
233	SteveCraftBlocks	14
233	SellyZ	14
233	audiocracked	14
233	ElKaySVK	14
233	SpacesickPrism	14
233	Quotary	14
233	AltnumberF4	14
233	YoshikageBites	14
243	T045RTY	13
243	SeverianTheLame	13
243	Winklepicker279	13
243	non089	13
243	Miko_Fullbuster	13
248	nocturne78	12
248	titanlax	12
248	surfinggiraffejp	12
248	Steven1282598	12
248	djancak	12
253	Lepthymo	11
253	Rebytre	11
253	_GodGamer69420	11
253	Russiancat1	11
253	Not_Insom	11
253	mihimihimihi	11
259	ProbablyNick	10
259	TooManyDuck	10
259	Tjhodskins19	10
259	Wowful	10
259	Typadopoulos	10
264	ROY4LE	9
264	masskedman	9
264	ElectricDragon81	9
264	ayamefag	9
264	K_a__a_n	9
269	RosaDoesMC	8
269	Ryker	8
269	Prodiginus	8
269	jiggywraps	8
269	emrekn	8
269	XLIFluid	8
269	iSammael	8
269	TechnoNinja64	8
277	nataliecool	7
277	hm947	7
277	CyrusIsTired	7
277	domagawha	7
277	Afinnity	7
277	DeGodz4life	7
277	PlzNoBM	7
277	88Hazza88	7
277	FelixPSY375	7
286	SyK7	6
286	MyNameIsDakar	6
286	OG_Songsee	6
286	Zoeyfortnite	6
290	Flegneh	5
290	itburb	5
290	BoraMC	5
290	MattieHD	5
290	Arceus1975	5
290	LeGold	5
290	sxc_	5
290	AuroraSkies	5
290	the__Reaper4999	5
290	MakeHistory157	5
290	ZoomieZoomie	5
