rank	username	minecraft:picked_up/minecraft:pumpkin_seeds
1	thewindmillman	17362
2	noam464	4596
3	HellsSponge	3130
4	Spacewardharpy7	2478
5	CrateOfBoxes	2288
6	Lord_Jord	2140
7	SSytex_X	1914
8	MyNameIsJobo	1907
9	TheSecondLord	1828
10	lillips	1588
11	gcaisawesome	1552
12	eitanzaki	1494
13	Di_infiri	1340
14	Soplight	1168
15	pintsizedrogue	1107
16	ApophisNova	1056
16	MyNamaSheff	1056
18	Akoot_	984
19	Deathkob	875
20	openatheclose	857
21	beeperbeeper5	825
21	Ezekson	825
23	ComplexSquirrel	699
24	Racengan	677
25	Maenara	663
26	PhantomsGhost_	648
27	Kakolbus	643
28	Smoke____	629
29	Legendosh	624
30	jacxhadow	610
31	eviltunix	589
32	Jackattack53	588
33	Mewar	573
34	Blackberry1310	569
35	Blu3beast	554
36	The_SlideV5	548
37	_Bguette_	526
38	lordpipe	514
39	mariominejedi	512
39	EcksDofficial	512
41	_Boipl_	500
42	YungMaki	481
43	XxCookiequeenxX	460
43	fffMike	460
45	Freak_Genius	449
46	SammiWolfGirl	434
47	fluddd	417
48	teslawolf38	413
49	jnp_gaming	411
50	DarlaMeow	383
51	El_Jalapeno	364
52	Eraxa	333
53	SellyZ	332
54	KarlKaek	329
55	__tomato	308
56	Fullut	307
56	Lowjinx	307
58	Werbe	305
59	lcvezra	294
60	Hyp3rion_	293
61	djancak	290
62	Mahoose	288
63	T045RTY	282
64	claivin	278
65	Chromary	260
66	heckface	259
67	loveseeker	256
68	thescout7	249
69	Groundler	248
70	kekhon	241
71	Frozil12	240
72	Bandito_Roamer	218
73	ShedJr_	215
74	slkiey	209
75	Comma__	205
76	KomputerDude	204
77	SuperPooch06	196
78	TheShyPig	195
79	500am	194
79	BumbleBeever	194
81	burbankbuilder28	188
82	MattieHD	184
83	The_slideV3	182
84	Ailmast	181
84	Cocoamallows	181
86	Nycteus_	177
87	diamondgolem35	172
88	stellarjay	168
89	joethahobo	161
90	_Virify_	160
91	Apicomplexa	153
92	Groovy_MoonBird	150
93	diggydog67	149
94	MyNameIsDakar	148
95	Blaiku	143
96	oreee	140
97	m_be9	136
97	fkGrim	136
99	Paintz	128
100	rarrq	125
101	MightyWertu	124
102	6king6colt6	116
102	Historical_Sand	116
104	DTwenty	115
105	TechnoNinja64	114
106	CarltheCuck	109
106	CaptainAvenger7	109
108	NameGenerat0r	104
109	Kowcio_	103
110	pixelviolin	97
111	CharlieButt	94
112	xxPipperDipperxx	90
113	Rasmanden	88
114	2blox	85
115	Ganongeek	84
115	Onennon	84
115	PigDab	84
118	NormanFetus	82
119	Zaridey	80
119	RobotMinion101	80
121	M_Patata	79
121	MasterNueve	79
123	Zoeyfortnite	77
124	jushykins	76
124	Rumpletaezer	76
126	PortlyPete69	75
126	UrbanPlanner1978	75
128	Gingayy	74
128	Airem_Core	74
130	H72l9w	73
131	TheOuterCore	72
132	EveryonesUncle	68
132	laron58	68
132	YoshikageBites	68
135	rotten_mango	67
136	PlasticOtari	62
137	NotMeanttoChange	60
138	Sheldor097	59
139	OfficerAnvil	58
140	roxycherry	56
140	Kamflame10	56
140	ItsAki_	56
140	AuroraSkies	56
140	oxfordschool	56
145	12Magner05	55
145	jcool7	55
147	bloodbiter	54
147	mwrty	54
149	monky_irl	53
149	mobunni	53
151	Inbefour	52
152	Natty	51
153	BlancoFlaco	48
153	ProfessorBee	48
153	Luigipunch989	48
156	Kubelz	47
156	Hiryu27	47
156	The11thDoctor	47
159	set67	46
160	zqw10k	42
160	chipklip	42
160	NotMeowMix	42
160	07shiny	42
164	Nach0Bear	40
165	q_wq	38
165	seramalen	38
165	theofiel	38
168	CoffeeNoir	37
169	_Dean_123	36
169	TerraVl	36
169	egglapras	36
169	CruncyIsTaken	36
169	DanTheBuilderino	36
174	bigstankyy	35
174	gilesmcriles	35
176	IdeallyGrey	34
176	JayToe	34
178	DermeinUser	33
178	ooga47	33
180	epiksk8erduck	32
180	jewbacaman	32
180	radioactv_jelly	32
180	CoryJJ	32
184	Meatlaugh	31
185	censorsheep	30
185	Barlycorn	30
185	Powowowow	30
188	Franco093	28
188	Negriuke	28
188	wezzzi	28
