rank	username	minecraft:picked_up/minecraft:soul_soil
1	Zythose	26629
2	lordpipe	13873
3	pintsizedrogue	5178
4	Spacewardharpy7	3878
5	TheSecondLord	2315
6	gcaisawesome	2187
7	beeperbeeper5	1869
8	12Magner05	1833
9	Di_infiri	1818
10	Blackberry1310	1503
11	Enderslayerxz3	1329
12	Ezekson	1251
13	thewindmillman	1142
14	Mahoose	1029
15	noam464	854
16	Winston_Ingram	825
17	eitanzaki	742
18	Eraxa	696
19	Xalithia	652
20	YungMaki	647
21	Winklepicker279	610
22	kekhon	586
23	HellsSponge	568
24	Skylord_Luke	538
25	Historical_Sand	523
26	RebelAndroid	472
27	Smoke____	439
28	Deathkob	418
29	livingdaydreams	399
30	PigDab	358
31	rarrq	329
32	EveryonesUncle	321
33	breadbowlgamer	305
34	djancak	301
35	500am	282
36	Kowcio_	272
37	HolyVenom	266
38	Decaying_Lotus	258
39	ShedJr_	244
40	The_Fulgurator	242
41	Freak_Genius	235
42	set67	230
43	Dusk_95	226
44	OtariCharlie	216
45	Blaiku	207
46	Sheldor097	202
47	GravitySaint	198
48	T045RTY	183
49	EMC_	182
50	joethahobo	179
51	Spenduh	173
52	NomadicRobin_	172
53	Nicserso	168
54	diggydog67	160
55	TheShyPig	158
56	MilleGrug	154
57	lizardfightclub	153
57	fffMike	153
59	SammiWolfGirl	149
60	KeruNatsema	148
61	SingedBread	135
62	monky_irl	134
63	CalebDHawk	133
64	brofrickcheaters	131
65	Dedalus36	126
66	benediktine1	118
67	CliffEmAll	112
68	mwrty	111
69	Jovaphobic	109
69	Kakolbus	109
71	gustarbite	107
72	Nycteus_	105
73	Fullut	101
74	Swexti	97
74	MrExplorer	97
76	Kubeusz2010	94
77	trexgb	93
78	DTwenty	89
79	Akoot_	88
79	Shogunite	88
81	PortlyPete69	87
82	Racengan	85
83	Windo_licker	84
84	UncreativeArtist	83
85	ZeroKraken	78
86	titanlax	77
87	Inchef	72
88	Serval2000	70
89	RadarHz	69
90	_Dean_123	68
91	jnp_gaming	67
92	q_wq	65
93	_Razar	64
93	DanTheBuilderino	64
95	Hermanni__	63
95	EcksD	63
97	MSK__	62
98	Quotary	59
99	fanofbands101	58
99	DemTechAlpha	58
101	Chromary	53
102	ExtraDumb	52
103	Sleek_Storm_721	48
103	Snowflowe	48
105	Paint	46
105	JingleLizi	46
107	ROY4LE	45
108	Ardennes	38
108	lillips	38
110	theonlymagikarp	37
111	hm947	33
111	masskedman	33
113	CoffeeNoir	32
113	ogoa	32
115	SuperPooch06	31
116	NinjaKnifeKill	30
116	Wowful	30
118	xxPipperDipperxx	29
119	Awyrlas	27
120	himak1	25
120	Arceus1975	25
122	PegLegPete93	23
122	fred870d	23
124	Billious	22
124	KG1999	22
124	__tomato	22
124	Legendosh	22
128	Natofthese	20
128	Nicky_H225	20
130	MinttyFressh	19
131	SquadMonster	18
131	Nagasaki_Riku	18
133	jacxhadow	17
133	Werbe	17
133	AssEatrAndLicker	17
133	Luigipunch989	17
137	BobDeBouwer1337	16
138	MangoTheFish	15
138	Airem_Core	15
138	pipejob	15
138	Erased_Identity	15
138	MeetTheWollo	15
143	CarltheCuck	13
143	GlitchyPlate810	13
145	tramizu	12
145	DarlaMeow	12
147	PhantomsGhost_	11
147	M_Patata	11
147	MasterNueve	11
150	Cowison	10
150	Enigma0251	10
150	ooga47	10
150	bluefragmentt	10
154	JohnnyFyes	9
154	YoshikageBites	9
156	Groovy_MoonBird	8
156	jushykins	8
156	Kkanot	8
156	KnightmareD	8
156	Teebone15	8
161	eclipseboi	7
162	Vryistal	6
162	diamondgolem35	6
162	4383	6
162	r123moore	6
162	RodSerlingCringe	6
162	Strangemonkey71	6
162	pixelviolin	6
162	AssFullaCum	6
162	cichy096	6
171	KartivGal	5
171	El_Jalapeno	5
171	lcvezra	5
174	_NieToksikpl_	4
174	JEWISHBadenBeele	4
174	lazioglug	4
174	ChampPog_	4
174	gabriels543	4
174	LAVA129	4
174	Frozil12	4
174	Xi_J1nping	4
174	anbbang	4
183	nataliecool	3
183	strongman951753	3
183	Wooptey	3
183	Hyp3rion_	3
183	Miko_Fullbuster	3
188	teslawolf38	2
188	AshleeCW	2
188	TheThomas69	2
188	GOOBERGABE04	2
188	King_Pancake1	2
188	IdeallyGrey	2
188	Soplight	2
188	SirBreadward	2
188	EcksDofficial	2
197	Drlzyy	1
197	I_Am_Mushkin	1
197	Kegradigm	1
197	Base_Tempest	1
197	KokoILY	1
197	Myrlewen	1
197	noodlepack	1
197	thescout7	1
197	mimbo1211	1
197	pumpfonzo	1
197	Jackattack53	1
197	burbankbuilder28	1
197	Myhym	1
197	FishyBoy3811	1
197	DarkS0L	1
197	Steven1282598	1
197	WyngGoy	1
197	amkold	1
197	2blox	1
197	Earlesstrain4	1
