rank	username	minecraft:picked_up/minecraft:azalea
1	thewindmillman	63006
2	Mahoose	2518
3	noam464	1450
4	pintsizedrogue	1092
5	luseis	1086
6	AdmiralSmoke	1081
7	Hyp3rion_	908
8	EMC_	693
9	SpacesickPrism	596
10	Iamthejo	557
11	PlasticOtari	435
12	00000000-0000-0000-0009-01ff0c3e5e4f	425
13	NomadicRobin_	411
14	Jimi7hits	296
15	Enderxz3	273
16	Flores991	229
16	Marbz_	229
18	Mr_Byzantine	213
19	Manaateee	212
20	Blackberry1310	207
21	Alteriity	205
22	Kakolbus	202
23	SteveCraftBlocks	193
24	Inchef	188
25	xxPipperDipperxx	185
26	eitanzaki	183
27	TheSecondLord	177
28	PigDab	166
29	Huwulling	162
30	pixelviolin	125
31	shadowthemonkey	117
32	Legendosh	112
33	12Magner05	101
34	Jimb0nat0r	93
35	beeperbeeper5	91
35	EngagedGrub41	91
37	Jackattack53	87
37	SvenskaHugo	87
39	Steelynan	83
40	Mr_Sun15	80
40	AuroraSkies	80
42	YungMaki	78
43	AlexxO_o	77
44	Ryker	66
45	groofles	63
46	ImpavidArcher	60
47	Sleepy_Time_	59
48	_Boipl_	57
48	lordpipe	57
50	orxngejuice	53
51	Crowman1	52
51	WYFYoyo	52
53	TheDankPlatypus	48
53	Lutres_	48
55	jessewegottacook	47
56	hanaryheatwave	46
57	hm947	45
58	SuperPooch06	43
59	Kowcio_	41
59	CattSoup	41
61	Quotary	36
62	RebelAndroid	33
62	Lez_	33
64	CoffeeNoir	32
64	Soplight	32
66	H0UNDFRMH3LL	31
67	Segotep999	30
67	Nicserso	30
69	ITDV	28
69	mihimihimihi	28
71	iSammael	26
72	SmashingPump	25
72	SyntheticSurgeon	25
72	Smashic	25
72	himak1	25
76	Arceus1975	24
76	Mattesco	24
76	bearlystraight	24
79	EveryonesUncle	23
79	non089	23
81	ShedJr_	21
81	EtherealEspresso	21
83	MattieHD	20
83	MAns_44	20
83	MineMaster0012	20
86	Skylord_Luke	19
86	2blox_	19
88	RoskobiOne	17
88	Rebytre	17
88	Toriankel	17
91	PortlyPete69	16
92	diamondgolem35	15
92	Gamergirl420628	15
94	_Huge_Male_	14
94	500am	14
94	ApophisNova	14
94	GooseWithin	14
94	FreakGenius	14
94	MyNamaSheff	14
100	kekhon	13
100	LeEricc	13
102	_stets	12
102	Merv__	12
102	Dumkii	12
102	_Razaria	12
102	tsitrawhy	12
102	Ezekson	12
108	Fuad_R	11
108	UCP_TheKingK	11
110	Groovy_MoonBird	10
110	tuckerdoodle	10
110	BINKENSTOCK	10
110	2Stout	10
114	itburb	9
114	thebaddruid	9
114	dartwaffle	9
114	weabis	9
118	No_Bena	8
118	soundad	8
118	JETrotter	8
118	Spacewardharpy7	8
118	CheifJumbo	8
118	calamariclam_I	8
124	PazinGaming	7
124	ECstardust	7
124	Auseawesome	7
124	Deathkob	7
124	StinkyDiplomat	7
124	00000000-0000-0000-0009-01f73aa9620f	7
130	rachcl	6
130	T045RTY	6
130	ItsMrRamen	6
130	XxCookiequeenxX	6
130	Druid95	6
130	FadedSpade82	6
136	Miroryk	5
136	HoltGrim	5
136	Dakar_	5
136	Kekoo	5
136	Sheldor097	5
141	Killercatty78	4
141	Prismyst	4
141	JitteryJared2	4
141	TJawesome09	4
141	fw3xy74	4
141	NameGenerat0r	4
141	TheEnderMan548	4
141	athereall	4
149	CLG_Kata	3
149	q_wq	3
149	__lizi	3
149	_Nat666	3
149	Winklepicker279	3
149	zToasty69z	3
149	wwwwinnebagoooo	3
149	Vicemaniac	3
149	Spenduh	3
149	SkinnyBois	3
149	MilleGrug	3
149	TheALV	3
149	coobert42	3
162	Frozil20	2
162	Valoth	2
162	SnowyAvi	2
162	MinttyFressh	2
162	_HoneySlime_	2
162	Touched_Bread	2
162	SlayerCrypto	2
162	0Vyp_	2
162	Silvo614	2
162	lizardfightclub	2
162	Avocadogerms	2
162	Nycteus_	2
162	Human_Resource	2
162	fluddd	2
162	Vegvisir	2
162	Yahir091	2
162	kyouma777	2
162	SammiWolfGirl	2
162	fffMike	2
162	_Dri_	2
162	00000000-0000-0000-0009-01f073f37a91	2
183	BPTY4618	1
183	Tommhh	1
183	KarlKaek	1
183	nattybears	1
183	Da_Boss_Rani	1
183	Pofen	1
183	rarrq	1
183	PaigeDown	1
183	I_Moose	1
183	Chickenchaser2	1
183	FuxS0cy	1
183	fade_emerge78823	1
183	gcaisawesome	1
183	XboxPanda	1
183	prizm_	1
183	Di_infiri	1
183	Snowflowe	1
183	BusinesManFrecks	1
183	Rocco_Lane	1
183	The_Fulgurator	1
183	SvenskaSara	1
183	BronkerBrum	1
183	floodjon	1
183	Moofyman	1
183	HyperCave	1
183	SvenskaAlvar	1
183	im_very_saad	1
183	ConJaBz	1
183	3_Solar_3	1
183	OffWithTheirHead	1
183	Heisenbberrg	1
183	_i_ERROR_i_	1
183	ZoomieZoomie	1
183	Trioxide	1
183	mobunni	1
183	the_cocos	1
183	satuern	1
