rank	username	minecraft:picked_up/minecraft:shield
1	beeperbeeper5	65
2	kekhon	59
3	TheShyPig	56
4	_Dean_123	41
5	Racengan	39
6	Akoot_	37
7	Freak_Genius	34
8	Hyp3rion_	22
8	Legendosh	22
10	eitanzaki	21
11	rarrq	20
11	Kferno	20
13	Frozil12	18
14	stahouo	16
15	Drlzyy	15
15	Blackberry1310	15
15	TheSecondLord	15
18	Werbe	14
18	Eraxa	14
18	__tomato	14
21	Mahoose	12
21	alderban107	12
23	6king6colt6	11
23	Arceus1975	11
23	El_Jalapeno	11
26	diamondgolem35	10
26	cowgirlkasia	10
26	Fullut	10
26	Snowflowe	10
30	MattieHD	9
30	noam464	9
30	fred870d	9
30	HellsSponge	9
30	lcvezra	9
30	Smoke____	9
36	teslawolf38	8
36	KarlKaek	8
36	12Magner05	8
36	thescout7	8
36	himak1	8
36	Dan_Scha	8
36	Xclax101	8
36	Blaiku	8
36	SkateboardR6	8
36	TechnoNinja64	8
46	Groovy_MoonBird	7
46	ColeSnyder	7
46	emrekn	7
46	Kakolbus	7
46	Chromary	7
46	Maenara	7
46	NomadicRobin_	7
46	Deathkob	7
46	Meatlaugh	7
46	claivin	7
46	YungMaki	7
46	EcksD	7
58	pintsizedrogue	6
58	ImpavidArcher	6
58	Incinere	6
58	lotarp	6
58	InfernalMound	6
58	Cryptacity	6
58	slkiey	6
58	burbankbuilder28	6
58	Rebytre	6
58	Lord_Jord	6
58	fw3xywashere	6
58	monky_irl	6
58	starbits140	6
58	Kubeusz2010	6
58	kinas45y5	6
58	EcksDofficial	6
74	error10101	5
74	ExtraDumb	5
74	T045RTY	5
74	CoffeeNoir	5
74	tsohomie	5
74	joethahobo	5
74	YungJakobo	5
74	GingerNeutron	5
74	Kamflame10	5
74	set67	5
74	xxPipperDipperxx	5
74	FishyBoy3811	5
74	masskedman	5
74	Soap_Bender	5
74	fluddd	5
74	Groundler	5
74	Zetsey	5
74	Soplight	5
74	jnp_gaming	5
93	Froste131	4
93	Cowison	4
93	ewsophie	4
93	Historical_Sand	4
93	Euclidoris	4
93	Kkanot	4
93	mariominejedi	4
93	Di_infiri	4
93	DAD_1996	4
93	Russiancat1	4
93	lillips	4
93	chipklip	4
93	Blu3beast	4
93	Spacewardharpy7	4
93	Kyrum2169	4
93	djancak	4
93	SammiWolfGirl	4
93	fffMike	4
93	oxfordschool	4
93	little_dUki	4
113	PhantomsGhost_	3
113	Dedalus36	3
113	Wooptey	3
113	awesomeoneme	3
113	MSK__	3
113	tramizu	3
113	jushykins	3
113	ThePoliteG	3
113	Z3braYTIL	3
113	Cambo5000	3
113	Nach0Bear	3
113	egglapras	3
113	Awyrlas	3
113	SuperPooch06	3
113	impossibleteapot	3
113	MangoTheFish	3
113	Hiryu27	3
113	ooga47	3
113	Mattesco	3
113	Leyna3	3
113	Gryglu583	3
113	DTwenty	3
113	NoChumpChange	3
113	GlitchMixed	3
113	MightyWertu	3
113	GravitySaint	3
113	_czarny	3
113	IAmTheWalrus910	3
113	MakeHistory157	3
113	33sudo	3
113	Nagasaki_Riku	3
113	LordSpeed37	3
113	CSG_Haru	3
113	SvenskaHugo	3
113	Kowcio_	3
113	Spenduh	3
113	CalebDHawk	3
113	_3Stump_	3
113	Sral7	3
113	Zoeyfortnite	3
113	h2p_emrld	3
154	Gu_Yue_Fang_Yuan	2
154	Jovaphobic	2
154	weezygator	2
154	Mr_Byzantine	2
154	JohnnyFyes	2
154	Jalvajar	2
154	FujiBS	2
154	BlancoFlaco	2
154	hm947	2
154	Tolhart	2
154	Natty	2
154	KomputerDude	2
154	chlorinex	2
154	Vizzoid	2
154	picardred	2
154	jacxhadow	2
154	Guillemet	2
154	500am	2
154	mwrty	2
154	NotKaden_	2
154	Paintz	2
154	Ecplosive	2
154	loveseeker	2
154	gabriels543	2
154	Jackattack53	2
154	whoaluv	2
154	popcanter	2
154	WET_WET_WET	2
154	DaviusMaximoose	2
154	AnnieBathory	2
154	MaGro2010	2
154	_Boipl_	2
154	The_Fulgurator	2
154	Donutt	2
154	HAIRYCLOUD626	2
154	The11thDoctor	2
154	CruncyIsTaken	2
154	BRRRN179	2
154	Skomo	2
154	TTNG	2
154	DScatgirls	2
154	wezzzi	2
154	OLookItsAnxiety	2
154	Wowful	2
154	XxCookiequeenxX	2
154	EveryonesUncle	2
154	Syropatathe	2
154	Fuhrer_Teemo	2
154	DarkS0L	2
154	_Karmaa	2
154	NameGenerat0r	2
154	MustaLoordi	2
154	censorsheep	2
154	ItzWqlfy	2
154	BumbleBeever	2
154	halfbakedlasagna	2
154	DarkLawD	2
154	lordpipe	2
154	SexcMf	2
154	Omar_Alone	2
154	hdtpm	2
154	MineMaster0012	2
154	brofrickcheaters	2
154	_TCARREIRA_	2
154	Luigipunch989	2
154	_Yonk_	2
154	Moetis	2
154	jcool7	2
154	Steelynan	2
154	laron58	2
154	xorompole	2
154	BreadBacon	2
226	rats_life	1
226	Krasnal1337	1
226	Barry_All3n_	1
226	Matemaks2137	1
226	seanitoo	1
226	Bandito_Roamer	1
226	elicobnoah	1
226	Ganongeek	1
226	_NieToksikpl_	1
226	RoskobiOne	1
226	Mowelan	1
226	strongman951753	1
226	JEWISHBadenBeele	1
226	Ev0luti0nz	1
226	_stets	1
226	Killswitch_RW	1
226	hollowww	1
226	pZygh0st	1
226	The_Dark_One_00	1
226	Merv__	1
226	Foof13	1
226	q_wq	1
226	Sleek_Storm_721	1
226	Begformurrcy	1
226	SaucyDark	1
226	Meteora4	1
226	Hpdinosaur	1
226	Flores991	1
226	wickedword	1
226	HollieDaNugget	1
226	the_fireminer	1
226	NatrixxddxYT	1
226	TAKrules	1
226	MLG_Kirby69	1
226	_AceOfSpace_	1
226	Reamdin	1
226	Arteriana	1
226	MOSS000	1
226	Myszoaz	1
226	SteveWithClout	1
226	H72l9w	1
226	Ssor69	1
226	FirsTimeGamingTV	1
226	moertymoertan	1
226	Ozixar	1
226	titanlax	1
226	Gooberkid223	1
226	Malorn_Aetherius	1
226	Frxnkz	1
226	xPixelRainx	1
226	Comma__	1
226	bloodbiter	1
226	Ardennes	1
226	rpmm	1
226	SoftSix	1
226	Sloths_Ender	1
226	CarbonatedCola	1
226	boog4loo	1
226	redikul	1
226	TerraVl	1
226	crying_wolf_13	1
226	sp00k1e_	1
226	Master_Kol	1
226	Flapjacker687	1
226	KGTV	1
226	LavenderBi1ch	1
226	intropass	1
226	ROY4LE	1
226	Asteri05	1
226	2Stout	1
226	DSYisDizzy	1
226	theonlymagikarp	1
226	r123moore	1
226	Kubelz	1
226	Bolete	1
