rank	username	minecraft:picked_up/minecraft:polished_andesite_slab
1	Mahoose	3395
2	Historical_Sand	2264
3	burbankbuilder28	2025
4	Lord_Jord	1956
5	joethahobo	1883
6	Spenduh	1304
7	Ezekson	1074
8	NomadicRobin_	1025
9	12Magner05	965
10	El_Jalapeno	933
11	EcksDofficial	764
12	PlasticOtari	665
13	500am	620
14	Quotary	574
15	m_be9	528
16	TheShyPig	485
17	Hyp3rion_	468
18	CalebDHawk	447
19	beeperbeeper5	439
20	EveryonesUncle	389
21	rarrq	386
22	valkam13	385
23	Dedalus36	384
24	Di_infiri	372
25	HellsSponge	370
26	Smoke____	361
27	Groundler	348
28	Xclax101	297
29	SkateboardR6	256
30	himak1	250
31	titanlax	231
32	6king6colt6	229
33	eitanzaki	217
34	the_fireminer	193
35	Ssor69	184
36	_Dri_	183
37	kekhon	169
38	_Karmaa	155
38	Spacewardharpy7	155
40	awesomeoneme	151
41	mawileite	145
42	Arceus1975	142
43	Natty	141
43	Sral7	141
45	Soplight	135
46	Jackster03	133
47	eviltunix	132
48	lordpipe	127
49	Comma__	120
50	_TCARREIRA_	110
51	Maenara	106
52	The_slideV3	105
53	Sleek_Storm_721	101
53	Blu3beast	101
55	oxfordschool	96
56	TheThomas69	87
57	Stiar	82
58	CharlieButt	80
58	Snowflowe	80
60	DarkS0L	76
61	obzii	73
62	Sky_light_KING	69
63	2Stout	67
64	xxPipperDipperxx	66
65	kyouma777	63
65	07shiny	63
65	Steelynan	63
68	Akoot_	60
69	pixelviolin	59
70	noam464	57
71	YungMaki	56
72	ApophisNova	55
72	MyNamaSheff	55
74	Merv__	53
75	ShedJr_	50
75	xX_Stalin69_Xx	50
75	Legendosh	50
78	Eraxa	49
79	_stets	45
80	SellyZ	44
80	fluddd	44
80	Enderslayerxz3	44
83	pintsizedrogue	43
84	Ardennes	41
85	DemTechAlpha	38
86	Skylord_Luke	34
86	Onennon	34
88	Inchef	32
88	cog	32
90	Megarboh	30
91	impossibleteapot	29
91	Yahir091	29
93	zMarciano	28
93	Racengan	28
93	YoshikageBites	28
96	Groovy_MoonBird	27
97	Motsaro	25
97	Zythose	25
97	ItsAki_	25
100	DermeinUser	23
101	dendydoom	22
101	VentiHilton	22
103	HyperCave	21
104	jimintyy	20
104	masskedman	20
106	seanitoo	18
106	NotMeanttoChange	18
106	Chromary	18
106	Meatlaugh	18
110	Hpdinosaur	17
110	Nycteus_	17
112	Tommhh	16
112	CrookedKaptain	16
112	fkndweeb	16
112	Jamstroxian	16
116	TechnoNinja64	15
117	Tjhodskins19	14
117	GravitySaint	14
119	T045RTY	13
119	MrExplorer	13
119	G1ldor	13
119	Jackattack53	13
123	lilsay	12
123	chipklip	12
125	SquadMonster	11
125	Cryptacity	11
125	Kijiki	11
128	AlphaWolfPlaysMC	10
129	shdesolt	9
129	MattieHD	9
129	audiocracked	9
129	proxivitoid	9
129	claivin	9
129	censorsheep	9
135	mwrty	8
135	Princesse_Louise	8
135	underscore_2	8
138	Matorz	7
138	00000000-0000-0000-0009-01f898304150	7
140	NoxxxxiS	6
140	Frozil12	6
140	BumbleBeever	6
140	camando92	6
144	Blackberry1310	5
144	YungJakobo	5
144	Jiminie	5
147	ImpavidArcher	4
147	Sabby65	4
147	Incinere	4
147	youhjjhhhjj	4
147	FirsTimeGamingTV	4
147	TheSecondLord	4
147	thescout7	4
147	r123moore	4
147	Soap_Bender	4
147	carbo_bro	4
157	susbakaimpostor	3
157	SuperPooch06	3
157	Werbe	3
157	k1ngGilgamesh	3
157	Inbefour	3
162	RoskobiOne	2
162	teslawolf38	2
162	Dogbound	2
162	Myszoaz	2
162	Sloths_Ender	2
162	groggregg42	2
162	Bazongoman	2
162	SamZombie	2
162	Hiryu27	2
162	Drewen24	2
162	yulgur1	2
162	Warlord324	2
162	WyngGoy	2
162	UCP_TheKingK	2
162	Nicserso	2
162	Lowjinx	2
162	Zoeyfortnite	2
162	h2p_emrld	2
180	fanofbands101	1
180	dabloons	1
180	FroggoTheDoggo	1
180	ssleepless	1
180	Swexti	1
180	tramizu	1
180	SDMNAEK	1
180	jacxhadow	1
180	MinttyFressh	1
180	Smashic	1
180	ROY4LE	1
180	Diavri	1
180	gcaisawesome	1
180	loveseeker	1
180	thewindmillman	1
180	CrateOfBoxes	1
180	HAIRYCLOUD626	1
180	ooga47	1
180	fw3xywashere	1
180	Blaiku	1
180	geekbird	1
180	Chaotic1s	1
180	CSG_Haru	1
180	Kowcio_	1
180	Segotep999	1
180	ediballbearings	1
180	stahouo	1
180	Dogcorn69420	1
180	Hermanni__	1
180	The_SlideV5	1
180	Jordan_R	1
180	Faart	1
