rank	username	minecraft:picked_up/minecraft:polished_andesite_slab
1	Mahoose	3395
2	Historical_Sand	2264
3	burbankbuilder28	2025
4	Lord_Jord	1956
5	joethahobo	1883
6	Spenduh	1304
7	NomadicRobin_	1025
8	El_Jalapeno	933
9	12Magner05	906
10	EcksDofficial	764
11	Ezekson	656
12	PlasticOtari	638
13	500am	620
14	Quotary	574
15	m_be9	528
16	TheShyPig	485
17	Hyp3rion_	468
18	CalebDHawk	447
19	beeperbeeper5	439
20	EveryonesUncle	389
21	rarrq	386
22	valkam13	385
23	Dedalus36	384
24	Di_infiri	372
25	HellsSponge	370
26	Smoke____	361
27	Groundler	348
28	Xclax101	297
29	SkateboardR6	256
30	himak1	250
31	titanlax	231
32	6king6colt6	229
33	eitanzaki	217
34	the_fireminer	193
35	Ssor69	184
36	_Dri_	183
37	kekhon	169
38	_Karmaa	155
39	awesomeoneme	151
40	mawileite	145
41	Arceus1975	142
42	Natty	141
42	Sral7	141
44	Soplight	135
45	Jackster03	133
46	eviltunix	132
46	Spacewardharpy7	132
48	lordpipe	127
49	Comma__	120
50	_TCARREIRA_	110
51	Maenara	106
52	The_slideV3	105
53	Sleek_Storm_721	101
53	Blu3beast	101
55	oxfordschool	96
56	TheThomas69	87
57	Stiar	82
58	CharlieButt	80
58	Snowflowe	80
60	DarkS0L	76
61	obzii	73
62	Sky_light_KING	69
63	2Stout	67
64	xxPipperDipperxx	66
65	kyouma777	63
65	07shiny	63
65	sebastiensaborio	63
68	Akoot_	60
69	noam464	57
70	YungMaki	56
71	ApophisNova	55
71	MyNamaSheff	55
73	Merv__	53
74	ShedJr_	50
74	xX_Stalin69_Xx	50
74	Legendosh	50
77	Eraxa	49
78	pixelviolin	47
79	SellyZ	44
79	fluddd	44
79	Enderslayerxz3	44
82	Ardennes	41
83	pintsizedrogue	39
84	DemTechAlpha	38
85	_stets	36
86	Skylord_Luke	34
86	Onennon	34
88	Inchef	32
88	cog	32
90	Megarboh	30
91	impossibleteapot	29
91	Yahir091	29
93	zMarciano	28
93	Racengan	28
93	YoshikageBites	28
96	Groovy_MoonBird	27
97	Motsaro	25
97	Zythose	25
97	ItsAki_	25
100	DermeinUser	23
101	dendydoom	22
101	VentiHilton	22
103	HyperCave	21
104	jimintyy	20
104	masskedman	20
106	seanitoo	18
106	NotMeanttoChange	18
106	Chromary	18
106	Meatlaugh	18
110	Hpdinosaur	17
110	Nycteus_	17
112	Tommhh	16
112	CrookedKaptain	16
112	fkndweeb	16
112	Jamstroxian	16
116	TechnoNinja64	15
117	Tjhodskins19	14
117	GravitySaint	14
119	T045RTY	13
119	MrExplorer	13
119	G1ldor	13
119	Jackattack53	13
123	lilsay	12
123	chipklip	12
125	SquadMonster	11
125	Cryptacity	11
125	Kijiki	11
128	AlphaWolfPlaysMC	10
129	shdesolt	9
129	MattieHD	9
129	audiocracked	9
129	proxivitoid	9
129	claivin	9
129	censorsheep	9
135	mwrty	8
135	Princesse_Louise	8
135	underscore_2	8
138	Matorz	7
138	00000000-0000-0000-0009-01f898304150	7
140	NoxxxxiS	6
140	Frozil12	6
140	BumbleBeever	6
140	camando92	6
144	Blackberry1310	5
144	YungJakobo	5
146	ImpavidArcher	4
146	Sabby65	4
146	Incinere	4
146	youhjjhhhjj	4
146	FirsTimeGamingTV	4
146	TheSecondLord	4
146	thescout7	4
146	r123moore	4
146	Jiminie	4
146	Soap_Bender	4
146	carbo_bro	4
157	susbakaimpostor	3
157	SuperPooch06	3
157	Werbe	3
157	k1ngGilgamesh	3
157	Inbefour	3
162	teslawolf38	2
162	Dogbound	2
162	Myszoaz	2
162	Sloths_Ender	2
162	groggregg42	2
162	Bazongoman	2
162	SamZombie	2
162	Hiryu27	2
162	Drewen24	2
162	yulgur1	2
162	Warlord324	2
162	WyngGoy	2
162	Nicserso	2
162	Lowjinx	2
162	Zoeyfortnite	2
162	h2p_emrld	2
178	fanofbands101	1
178	dabloons	1
178	FroggoTheDoggo	1
178	ssleepless	1
178	Swexti	1
178	tramizu	1
178	SDMNAEK	1
178	jacxhadow	1
178	MinttyFressh	1
178	ROY4LE	1
178	Diavri	1
178	gcaisawesome	1
178	loveseeker	1
178	CrateOfBoxes	1
178	HAIRYCLOUD626	1
178	ooga47	1
178	Blaiku	1
178	geekbird	1
178	Chaotic1s	1
178	CSG_Haru	1
178	Kowcio_	1
178	ediballbearings	1
178	stahouo	1
178	Dogcorn69420	1
178	Hermanni__	1
178	The_SlideV5	1
178	Jordan_R	1
178	Faart	1
