rank	username	minecraft:picked_up/minecraft:nether_brick_fence
1	El_Jalapeno	2408
2	Frozil12	1291
3	BobDeBouwer1337	994
4	HellsSponge	837
5	vandmanden	786
6	thewindmillman	694
7	joethahobo	522
8	TheShyPig	435
9	Skippeh	331
10	ApophisNova	311
10	MyNamaSheff	311
12	eitanzaki	284
13	burbankbuilder28	277
14	PigDab	266
15	Cowison	265
16	_Nuf	245
17	RoboTramp7865	234
18	YungMaki	230
19	Bumpy419	177
20	Vorlice	176
21	ebanana	130
22	m_be9	128
23	Eraxa	125
24	kekhon	119
25	XboxPanda	91
26	Spacewardharpy7	83
26	djancak	83
28	Racengan	77
29	Di_infiri	76
30	Paint	74
31	OfficerAnvil	71
31	Northernrabbit	71
33	Freak_Genius	70
34	eiC_	64
35	SellyZ	58
36	Onennon	56
36	Groundler	56
38	500am	53
39	lizardfightclub	51
40	SaucyDark	46
40	livingdaydreams	46
42	crying_wolf_13	45
43	Ssor69	43
44	PhantomsGhost_	41
45	DermeinUser	38
45	Hyp3rion_	38
45	epiksk8erduck	38
45	wobn	38
49	ShedJr_	37
50	beeperbeeper5	36
51	yulgur1	35
52	anbbang	34
53	Legendosh	33
54	Jovaphobic	32
54	MAns_44	32
56	6king6colt6	31
56	loveseeker	31
56	Snowflowe	31
56	Soplight	31
56	TechnoNinja64	31
61	Bandito_Roamer	28
61	mimbo1211	28
63	Quincannon	27
63	Xclax101	27
65	lcvezra	26
66	Groovy_MoonBird	25
67	lordpipe	24
67	Kyrum2169	24
67	MissCeleste7	24
67	Enderslayerxz3	24
71	MyNameIsDakar	23
71	SingedBread	23
73	The11thDoctor	22
73	Akoot_	22
75	Mahoose	21
75	Blackberry1310	21
75	CaptainDeadBread	21
75	PortlyPete69	21
75	Smoke____	21
80	mawileite	20
81	fallingemma	18
81	stavgod	18
83	LittleBug562	17
83	ImpavidArcher	17
83	Blu3beast	17
86	dudcreeper	16
86	MovingFish7	16
88	Gundam_Steven	15
88	WyngGoy	15
90	Merv__	14
90	Zaridey	14
90	Freeman666	14
90	Arceus1975	14
90	wezzzi	14
95	Reamdin	13
95	gaziter10	13
95	MyNameIsJobo	13
95	MilleGrug	13
95	adiccting01	13
100	noam464	12
100	AlphaWolfPlaysMC	12
102	Megarboh	11
102	mwrty	11
102	Maenara	11
102	jnp_gaming	11
106	pintsizedrogue	10
106	MattieHD	10
106	M_Patata	10
106	Drewen24	10
106	claivin	10
106	MasterNueve	10
106	pixelviolin	10
113	Incinere	9
113	_Dean_123	9
113	thescout7	9
113	fr_ser	9
113	Rasmanden	9
113	Wowful	9
113	Karbl	9
113	DanTheBuilderino	9
113	TheEnderman548	9
122	Master_Kol	8
122	AnnieBathory	8
122	Sky_light_KING	8
122	MakeHistory157	8
122	Steelynan	8
122	EcksD	8
128	DepressedCubic	7
128	SuperPooch06	7
128	fkGrim	7
128	_Karmaa	7
128	Barlycorn	7
128	Kowcio_	7
128	RadarHz	7
128	2blox	7
136	Rumpletaezer	6
136	Exiko	6
136	EveryonesUncle	6
136	PabloGonza02	6
136	Ezekson	6
136	Faart	6
142	dimondking777	5
142	T045RTY	5
142	Ardennes	5
142	Winklepicker279	5
142	Kynigito	5
142	censorsheep	5
142	fluddd	5
142	GlitchyPlate810	5
150	Base_Tempest	4
150	rarrq	4
150	Vizzoid	4
150	ROY4LE	4
150	Kubelz	4
150	TheDankPlatypus	4
150	pappaberg	4
150	tobinwilliams	4
150	Leyna3	4
150	RodSerlingCringe	4
150	Nicky19	4
150	Fildyr	4
150	monky_irl	4
150	__tomato	4
150	SammiWolfGirl	4
150	striker90333	4
150	BreadBacon	4
167	hm947	3
167	301851	3
167	Fullut	3
167	egglapras	3
167	ImDisconnected_	3
167	whoaluv	3
167	DAD_1996	3
167	Kouridragon	3
167	NomadicRobin_	3
167	JESS_THE_RERE	3
167	Nycteus_	3
167	Blaiku	3
167	Sheldor097	3
167	Quotary	3
181	TheBiggestFeller	2
181	teslawolf38	2
181	EMC_	2
181	TheMilkerOfCats	2
181	CoffeeNoir	2
181	Arteriana	2
181	FirsTimeGamingTV	2
181	picardred	2
181	dopplexd	2
181	CliffEmAll	2
181	TheSecondLord	2
181	set67	2
181	SharpDev	2
181	Covalents	2
181	CharlieButt	2
181	FennYuzuna	2
181	Zythose	2
181	Donutt	2
181	Werbe	2
181	Kim_Jong_eel	2
181	ADEXTV	2
181	_Crimson_Legate	2
181	TheSeismicDuck	2
181	chipklip	2
181	DarlaMeow	2
181	BumbleBeever	2
181	419mmurphy	2
181	wwwwinnebagoooo	2
181	NotMeowMix	2
181	LetsDoItLive	2
181	Vector1209	2
181	JayToe	2
181	Kateesaur	2
181	diggydog67	2
215	Wolf_Mauler_73	1
215	bigstankyy	1
215	Hpdinosaur	1
215	KomputerDude	1
215	MSK__	1
215	thedatsun13	1
215	SquadMonster	1
215	Paranoidlemon	1
215	Comma__	1
215	ABUSNA1996	1
215	ProfessorBee	1
215	Guillemet	1
215	BilboBaggins23	1
215	Mewar	1
215	eviltunix	1
215	Kakolbus	1
215	gabriels543	1
215	Queen_Jalapeno	1
215	SamZombie	1
215	Hiryu27	1
215	CruncyIsTaken	1
215	Sqwishy	1
215	sxc_	1
215	LibertyMutual	1
215	Syropatathe	1
215	Jiminie	1
215	sufjanlover	1
215	DASH_X7	1
215	SSytex_X	1
215	Njensen7	1
215	KingMatthew506	1
215	mobunni	1
215	oxfordschool	1
215	Sral7	1
215	coobert42	1
215	h2p_emrld	1
