rank	username	minecraft:picked_up/minecraft:end_rod
1	Hyp3rion_	2594
2	noam464	2563
3	Spacewardharpy7	2374
4	kekhon	2101
5	Freak_Genius	1979
6	masskedman	1962
7	MightyWertu	1535
8	Jackattack53	1182
9	Mahoose	1081
10	Ezekson	1036
11	lordpipe	964
12	mwrty	893
13	ImpavidArcher	807
14	500am	793
15	HellsSponge	744
16	Werbe	731
17	PhantomsGhost_	702
18	PlasticOtari	699
19	eitanzaki	689
20	thescout7	634
21	TheSecondLord	614
22	Di_infiri	595
23	m_be9	573
24	pintsizedrogue	540
24	beeperbeeper5	540
26	xxPipperDipperxx	465
27	YungMaki	451
28	eiC_	427
29	titanlax	352
30	Historical_Sand	345
31	Groundler	316
32	AuroraValkyrie	313
33	Blaiku	307
34	Blackberry1310	297
35	EveryonesUncle	293
36	jnp_gaming	287
37	Marbz_	284
38	Smoke____	260
39	burbankbuilder28	252
40	NameGenerat0r	238
41	Frozil12	230
42	Merv__	224
43	Fullut	215
44	Akoot_	208
45	Comma__	198
46	Legendosh	192
47	Eczbek	184
48	TheTrueClipse	182
49	Chromary	177
50	Rich_Kat	174
51	oreee	172
52	Sral7	166
53	Maenara	163
54	Kowcio_	162
55	Skippeh	161
56	oxfordschool	156
57	Inchef	154
58	theonlymagikarp	150
59	Bandito_Roamer	149
60	Razzgriz	144
60	Quotary	144
62	MSK__	142
63	ROY4LE	139
64	SkateboardR6	132
65	CollinMH06	125
65	TheShyPig	125
65	EcksDofficial	125
68	TechnoNinja64	121
69	Snowflowe	119
70	claivin	110
71	Hisiste	107
72	MangoTheFish	103
73	awesomeoneme	101
74	Groovy_MoonBird	99
74	r123moore	99
74	Arceus1975	99
77	surfinggiraffejp	96
77	gcaisawesome	96
77	ZeroKraken	96
80	jushykins	95
81	12Magner05	91
81	Shogunite	91
81	El_Jalapeno	91
84	KG1999	90
85	joethahobo	87
85	pappaberg	87
87	himak1	86
88	Iagoku	85
88	__tomato	85
90	Soplight	83
90	Hermanni__	83
92	Mewar	81
93	Inbefour	78
94	T045RTY	75
95	SteveCraftBlocks	74
95	loveseeker	74
95	EcksD	74
98	CoffeeNoir	73
98	Rumpletaezer	73
98	DarlaMeow	73
101	killmeiamtraitor	72
102	Blu3beast	71
102	ayamefag	71
104	Steelynan	69
105	VentiHilton	67
106	fred870d	66
106	ProbsNotNova	66
108	6king6colt6	64
108	Xalithia	64
108	Onennon	64
111	RobotMinion101	63
111	Truckoss	63
111	lizardfightclub	63
111	Racengan	63
115	_Karmaa	62
116	PortlyPete69	60
117	audiocracked	57
118	TooManyDuck	56
119	Ailmast	55
119	MakeHistory157	55
121	PigDab	54
122	Rebytre	53
123	SammiWolfGirl	52
124	BodaciousCake	51
125	Eraxa	47
125	Njensen7	47
127	bigstankyy	45
127	gabriels543	45
127	lcvezra	45
130	ssleepless	43
130	OG_Songsee	43
130	sp00ky_ghost977	43
130	Powowowow	43
134	zorin123	42
134	Zythose	42
136	Ssor69	41
136	NomadicRobin_	41
138	rarrq	40
138	_TCARREIRA_	40
138	Zoeyfortnite	40
141	Leyna3	39
142	shyshyannne	38
142	crying_wolf_13	38
142	NotMeanttoChange	38
145	yulgur1	37
145	MissCeleste7	37
145	vandmanden	37
148	CalebDHawk	36
148	KingMatthew506	36
150	thewindmillman	35
151	Parcc	34
151	fluddd	34
151	NotMeowMix	34
154	Winklepicker279	33
154	Enderslayerxz3	33
156	Cambo5000	32
157	Incinere	31
157	MyNameIsJobo	31
159	Ecplosive	30
159	ElectricDragon81	30
159	kinas45y5	30
162	Jiminbub	28
162	UrbanPlanner1978	28
164	obzii	27
165	Donutt	26
165	The_slideV3	26
165	pixelviolin	26
165	stahouo	26
169	seanitoo	25
169	Rasmanden	25
169	Dogcorn69420	25
172	jimintyy	24
172	ShedJr_	24
172	MeetTheWollo	24
175	eviltunix	23
175	Bumpy419	23
175	MilleGrug	23
175	alderban107	23
175	laron58	23
180	proxivitoid	22
181	seramalen	21
182	Lepthymo	20
182	Myszoaz	20
182	set67	20
182	TheSeismicDuck	20
182	MustaLoordi	20
182	Lord_Doob	20
188	dabloons	19
188	livingdaydreams	19
188	Nicserso	19
191	Franco093	18
191	Covalents	18
191	mariominejedi	18
191	wezzzi	18
191	CSG_Haru	18
191	erkada	18
191	tartanboy	18
198	pr33tu	17
198	Spenduh	17
198	2blox	17
201	Batman922	16
201	Mattesco	16
201	Sky_light_KING	16
201	Winston_Ingram	16
205	MovingFish7	15
205	TheDumbHuman	15
205	h2p_emrld	15
208	ExtraDumb	14
208	Hpdinosaur	14
208	cedric72	14
208	Fizznut909	14
212	Swexti	13
212	CarryLine	13
212	Xclax101	13
212	_k2x	13
212	Vellu21	13
217	Drlzyy	12
217	ColeSnyder	12
217	Awyrlas	12
217	Quincannon	12
217	Nycteus_	12
217	Segotep999	12
223	_naturell	11
223	_Bguette_	11
225	MattieHD	10
225	redikul	10
225	Jiminie	10
225	ItsDeltaMC	10
225	Sorins	10
230	DTwenty	9
230	Quaintster	9
230	33sudo	9
230	stellarjay	9
230	The_SlideV5	9
235	SaucyDark	8
235	Rox_The_Box	8
235	Euclidoris	8
235	hcb238	8
235	Zaridey	8
235	WET_WET_WET	8
235	MustardDrinker	8
235	HyperCave	8
235	LeGold	8
235	YungWali	8
235	stavgod	8
235	TheEnderman548	8
235	striker90333	8
248	Gundam_Steven	7
248	SailiXX	7
248	SoftSix	7
248	Motsaro	7
248	Avrelion	7
248	Kakolbus	7
248	regulator75	7
248	Barlycorn	7
248	Mr_Teddiursa_K	7
257	Nicky_H225	6
257	ProfessorBee	6
257	SellyZ	6
257	Avermu	6
257	XxCookiequeenxX	6
257	Syropatathe	6
257	MAns_44	6
257	__Auspicious	6
257	Optiprimus	6
257	JayToe	6
267	FirsTimeGamingTV	5
267	_Dean_123	5
267	Noah_Bez	5
267	XboxPanda	5
267	ApophisNova	5
267	Afinnity	5
267	dartwaffle	5
267	Ender_Souls	5
267	KeruNatsema	5
267	the_russell1611	5
267	wwwwinnebagoooo	5
267	voiding_	5
267	UCP_TheKingK	5
267	felincaus	5
267	MyNamaSheff	5
282	soundad	4
282	I_Am_Mushkin	4
282	_Razar	4
282	TheMaster972	4
282	Smashic	4
282	PegLegPete93	4
282	__TheNorseMan__	4
282	nitram49b	4
282	ToastedGamingYT	4
282	theofiel	4
282	Lord_Jord	4
282	fkGrim	4
282	chipklip	4
282	Nnuma	4
282	ItzWqlfy	4
282	SingedBread	4
282	Vegvisir	4
282	ItsJWolff	4
282	WyngGoy	4
