rank	username	minecraft:picked_up/minecraft:warped_roots
1	thewindmillman	31769
2	HolyVenom	11305
3	noam464	11043
4	12Magner05	7033
5	eitanzaki	5715
6	HellsSponge	5388
7	Smoke____	3644
8	Blaiku	3091
9	beeperbeeper5	1687
10	Snowflowe	1486
11	Historical_Sand	964
12	Ezekson	585
13	joethahobo	484
14	Xalithia	470
15	PigDab	430
16	T045RTY	419
17	pintsizedrogue	404
18	TheShyPig	397
19	Hpdinosaur	390
20	lizardfightclub	382
21	Mahoose	376
22	lordpipe	360
23	Lord_Jord	328
24	Arceus1975	323
25	Fullut	259
26	Kferno	224
27	djancak	195
28	Enderslayerxz3	194
29	CliffEmAll	169
30	Cowison	138
31	Spacewardharpy7	133
32	VentiHilton	128
33	YungMaki	121
34	Kubelz	119
35	rarrq	102
36	TheSecondLord	100
37	monky_irl	96
37	Hermanni__	96
39	Decaying_Lotus	94
40	Freak_Genius	81
41	TheDankPlatypus	75
42	Swexti	74
43	DarlaMeow	68
43	Kowcio_	68
45	BobDeBouwer1337	63
46	mwrty	52
47	500am	51
48	Whiterooster001	42
49	Winklepicker279	38
50	CoffeeNoir	35
51	Awyrlas	31
52	Blackberry1310	30
52	Inchef	30
52	CarltheCuck	30
55	SammiWolfGirl	28
56	Akoot_	24
56	anbbang	24
58	_Dean_123	23
59	DanTheBuilderino	21
59	IdeallyGrey	21
61	PegLegPete93	20
61	pumpfonzo	20
61	ZeroKraken	20
64	Kubeusz2010	19
65	BlancoFlaco	18
65	RatatJuice	18
65	gcaisawesome	18
68	Marbz_	17
68	sebastiensaborio	17
70	MightyWertu	16
70	Dusk_95	16
70	Luigipunch989	16
73	KG1999	15
74	kekhon	14
74	r123moore	14
76	ooga47	13
77	Kakolbus	12
77	MilleGrug	12
77	diggydog67	12
80	SteveCraftBlocks	11
81	teslawolf38	10
81	Toriankel	10
81	oxfordschool	10
84	livingdaydreams	9
84	trexgb	9
86	ShedJr_	8
86	titanlax	8
86	EveryonesUncle	8
86	MyNameIsDakar	8
86	Soplight	8
86	brofrickcheaters	8
92	trixterrx	7
92	KartivGal	7
94	Nesquiczek	6
94	SuperPooch06	6
94	Afinnity	6
94	claivin	6
94	TheEnderman548	6
99	GlitchyPlate810	5
100	Wooptey	4
100	FishyBoy3811	4
102	Travasaur	3
102	PhantomBionic	3
102	TowenPL	3
102	set67	3
102	whoaluv	3
102	NomadicRobin_	3
102	Nycteus_	3
102	sp00ky_ghost977	3
102	_Yonk_	3
102	Sheldor097	3
102	Erased_Identity	3
102	MissCeleste7	3
102	RadarHz	3
102	2blox	3
116	Groovy_MoonBird	2
116	_NieToksikpl_	2
116	AmericanUK	2
116	SquadMonster	2
116	jacxhadow	2
116	Ardennes	2
116	eclipseboi	2
116	Chromary	2
116	Zythose	2
116	burbankbuilder28	2
116	Deathkob	2
116	DemTechAlpha	2
116	SingedBread	2
116	Vorlice	2
116	LordBlaze11	2
116	Eraxa	2
116	cichy096	2
116	jnp_gaming	2
134	Krasnal1337	1
134	fanofbands101	1
134	Merv__	1
134	bigstankyy	1
134	JingleLizi	1
134	TheFlfthHorseman	1
134	MrExplorer	1
134	MinttyFressh	1
134	Enigma0251	1
134	Kkanot	1
134	paranoid_plant	1
134	Di_infiri	1
134	Hyp3rion_	1
134	cwartzo	1
134	PuFY	1
134	Dan_Scha	1
134	Zinkacide	1
134	FreddyFart	1
134	Shogunite	1
134	MAns_44	1
134	Ze_BaronKrigler	1
134	_JrTurtle_	1
134	07shiny	1
134	TheALV	1
134	Nicserso	1
134	TechnoNinja64	1
134	YoshikageBites	1
134	EcksDofficial	1
134	Jordan_R	1
