rank	username	minecraft:picked_up/minecraft:cocoa_beans
1	thewindmillman	218248
2	Di_infiri	22293
3	calamariclam_I	21081
4	noam464	19100
5	_Dean_123	18067
6	Smoke____	11734
7	kekhon	10948
8	Hyp3rion_	10716
9	Jackattack53	9371
10	Huwulling	7448
11	Lez_	7166
12	Sral7	7128
13	ConnorDanky_	6731
14	beeperbeeper5	4778
15	TechnoNinja64	4733
16	EveryonesUncle	4395
17	YungMaki	4285
18	Blaiku	3978
19	Blackberry1310	3820
20	PlasticOtari	3102
21	pintsizedrogue	2908
22	RebelAndroid	2702
23	SammiWolfGirl	2700
24	TheShyPig	2536
25	xxPipperDipperxx	2451
26	ApophisNova	2247
26	MyNamaSheff	2247
28	CoffeeNoir	2081
29	Rumpletaezer	1861
30	Mahoose	1838
31	Akoot_	1707
32	F_Uhre	1567
33	thescout7	1562
34	r123moore	1513
35	500am	1392
36	ZA07	1368
37	6king6colt6	1262
38	luseis	1260
39	Fullut	1238
40	Snowflowe	1218
41	FreakGenius	1063
42	lillips	996
43	Groovy_MoonBird	994
44	Nicserso	884
45	HellsSponge	800
46	KarlKaek	771
47	RoofTyler	733
48	TheSecondLord	709
49	Mr_Byzantine	655
50	Merv__	647
51	Spacewardharpy7	628
52	seramalen	612
53	bloodbiter	607
54	Warlord324	578
55	Zythose	570
56	Quotary	569
57	ROY4LE	560
58	PortlyPete69	558
59	KingMatthew506	555
60	Onennon	521
61	PhantomsGhost_	518
62	ChillenChiggen	503
63	El_Jalapeno	498
64	Enderxz3	471
65	Covalents	464
66	Lord_Jord	448
67	Arceus1975	446
68	Frozil20	445
69	Deu_Stew	401
70	Kubeusz2010	397
71	Russiancat1	396
72	Incinere	384
73	Marbz_	357
74	Ezekson	356
75	Legendosh	341
76	joethahobo	339
77	boog4loo	337
78	Ryker	334
79	Groundler	333
80	jushykins	326
81	lcvezra	325
82	xsewn	315
83	_Boipl_	303
84	Kura2218	300
85	SvenskaHugo	299
86	MightyWertu	272
87	Lutres_Torane	270
88	KomputerDude	265
89	OfficerAnvil	261
90	Kowcio_	260
91	Ecplosive	259
92	Touched_Bread	252
