rank	username	minecraft:picked_up/minecraft:purpur_stairs
1	eiC_	1616
2	Bandito_Roamer	992
3	YungMaki	847
4	Mewar	509
5	m_be9	472
6	Blu3beast	407
7	masskedman	353
8	PhantomsGhost_	333
9	lordpipe	309
10	mwrty	288
11	Freak_Genius	285
12	PigDab	245
13	Smoke____	235
14	Inbefour	175
15	OG_Songsee	151
16	beeperbeeper5	150
17	Ecplosive	135
18	noam464	118
19	NotMeowMix	117
20	6king6colt6	109
21	NameGenerat0r	107
22	crying_wolf_13	94
23	Hermanni__	86
24	Blaiku	85
25	Kowcio_	84
26	eitanzaki	83
26	HellsSponge	83
28	Werbe	82
29	MightyWertu	81
30	yulgur1	78
31	Onennon	77
32	jnp_gaming	75
33	Comma__	74
34	Maenara	66
35	Afinnity	64
36	TheSecondLord	61
37	TooManyDuck	60
38	gabriels543	58
38	fred870d	58
40	500am	57
41	ImpavidArcher	56
41	Historical_Sand	56
41	_TCARREIRA_	56
44	bigstankyy	54
44	kekhon	54
44	Jackattack53	54
47	lcvezra	50
47	Sral7	50
49	Frozil12	48
49	MakeHistory157	48
51	Rich_Kat	46
51	thescout7	46
51	Racengan	46
54	Fullut	43
55	vandmanden	42
56	ROY4LE	40
56	Hisiste	40
58	TheEnderman548	38
58	Nicserso	38
60	Dogcorn69420	37
60	Legendosh	37
62	ProfessorBee	36
63	Bumpy419	35
64	eviltunix	34
64	gcaisawesome	34
66	Awyrlas	32
66	Di_infiri	32
68	MyNameIsJobo	31
68	stahouo	31
68	striker90333	31
71	Lepthymo	30
71	Covalents	30
71	claivin	30
74	MissCeleste7	27
75	Ailmast	25
75	lizardfightclub	25
75	laron58	25
75	Powowowow	25
79	MinttyFressh	24
80	lillips	23
81	_Karmaa	22
81	Winston_Ingram	22
83	Shogunite	21
84	Rumpletaezer	20
84	fluddd	20
86	set67	19
87	rarrq	18
87	MustaLoordi	18
87	MilleGrug	18
90	AuroraValkyrie	16
90	BodaciousCake	16
90	audiocracked	16
93	Iagoku	15
93	Enderslayerxz3	15
93	kinas45y5	15
96	SellyZ	14
96	loveseeker	14
96	Hyp3rion_	14
96	EveryonesUncle	14
96	Nycteus_	14
101	Myszoaz	13
102	Blackberry1310	12
102	brofrickcheaters	12
104	SaucyDark	11
104	Zaridey	11
104	MangoTheFish	11
104	TheShyPig	11
108	DTwenty	10
108	EcksD	10
108	UrbanPlanner1978	10
111	Mr_Byzantine	9
111	Dedalus36	9
111	RebelAndroid	9
111	shyshyannne	9
111	Inchef	9
111	surfinggiraffejp	9
111	ItsJWolff	9
111	Quotary	9
119	Houstonion	8
119	_Razar	8
119	CoffeeNoir	8
119	12Magner05	8
119	PegLegPete93	8
119	Groundler	8
119	_k2x	8
119	Razzgriz	8
119	33sudo	8
119	voiding_	8
129	joethahobo	7
129	thewindmillman	7
129	chipklip	7
129	Xclax101	7
129	Kijiki	7
134	ssleepless	6
134	T045RTY	6
134	awesomeoneme	6
134	egglapras	6
134	FishyBoy3811	6
134	Deodorante	6
134	501g	6
134	Warlord324	6
134	TheDumbHuman	6
134	Jij0	6
134	Fizznut909	6
134	JayToe	6
146	LilyNova	5
146	Rasmanden	5
146	MovingFish7	5
146	geekbird	5
146	__tomato	5
146	VentiHilton	5
146	TechnoNinja64	5
153	nataliecool	4
153	himak1	4
153	mariominejedi	4
153	Zythose	4
153	Hiryu27	4
153	CruncyIsTaken	4
153	Akoot_	4
153	_Bguette_	4
153	ItzWqlfy	4
153	Barlycorn	4
153	Nagasaki_Riku	4
153	Ezekson	4
165	pintsizedrogue	3
165	Euclidoris	3
165	1442	3
165	SkateboardR6	3
165	Spacewardharpy7	3
165	ayamefag	3
165	SvenskaHugo	3
165	Kyrum2169	3
165	CalebDHawk	3
165	AltnumberF4	3
175	livingdaydreams	2
175	SailiXX	2
175	titanlax	2
175	jushykins	2
175	Moyd_	2
175	SoftSix	2
175	zorin123	2
175	Motsaro	2
175	ayqq	2
175	XboxPanda	2
175	fr_ser	2
175	whoaluv	2
175	Ender_Souls	2
175	ClemenPine	2
175	YungWali	2
175	SingedBread	2
175	WyngGoy	2
175	Eraxa	2
175	PortlyPete69	2
175	HesDemonPants	2
175	FishisTTV	2
196	Groovy_MoonBird	1
196	seanitoo	1
196	Menthas	1
196	teslawolf38	1
196	ColeSnyder	1
196	wickedword	1
196	Mahoose	1
196	bloodbiter	1
196	__TheNorseMan__	1
196	Noah_Bez	1
196	Kakolbus	1
196	Marbz_	1
196	SuperPooch06	1
196	SamZombie	1
196	pappaberg	1
196	Donutt	1
196	MustardDrinker	1
196	RobotMinion101	1
196	Shiirazuku	1
196	_naturell	1
196	Leonidas2k17	1
196	Gab4101	1
196	TheSeismicDuck	1
196	Quincannon	1
196	MAns_44	1
196	censorsheep	1
196	BumbleBeever	1
196	Aezekial	1
196	Vorlice	1
196	Juh1s	1
196	stellarjay	1
196	SammiWolfGirl	1
196	obzii	1
196	ProbsNotNova	1
196	tartanboy	1
196	2blox	1
196	PlasticOtari	1
