rank	username	minecraft:picked_up/minecraft:jungle_sign
1	Hyp3rion_	191
2	Blackberry1310	113
3	Freak_Genius	111
4	titanlax	77
5	fluddd	70
6	thescout7	53
7	ROY4LE	51
8	kekhon	50
9	Historical_Sand	47
10	Airem_Core	46
11	Awyrlas	39
11	Xalithia	39
13	eitanzaki	37
14	Frozil12	35
15	joethahobo	32
15	Lord_Jord	32
15	07shiny	32
18	HellsSponge	30
19	beeperbeeper5	26
19	__tomato	26
21	H72l9w	25
22	Windo_licker	24
22	Akoot_	24
24	Mahoose	22
24	WyngGoy	22
26	kinas45y5	20
27	soundad	19
27	chipklip	19
27	Kferno	19
30	T045RTY	17
31	Prodiginus	16
31	Smoke____	16
33	ShedJr_	15
33	cedric72	15
35	_Virify_	14
35	Comma__	14
35	Kamflame10	14
35	Di_infiri	14
35	Deathkob	14
40	500am	13
40	Cambo5000	13
40	mwrty	13
40	YungMaki	13
40	Njensen7	13
40	Enderslayerxz3	13
46	CoffeeNoir	12
46	Sky_light_KING	12
46	Quaintster	12
46	SvenskaHugo	12
50	TAKrules	11
50	yatsuta	11
52	Blaiku	10
53	jcool7	9
53	oxfordschool	9
55	Hermanni__	8
56	Harotio	7
56	I_Am_Mushkin	7
56	SaucyDark	7
56	Incinere	7
56	_Dean_123	7
56	himak1	7
56	lordpipe	7
63	Inbefour	6
63	lillips	6
63	Blu3beast	6
63	Nycteus_	6
63	bndo	6
63	PlasticOtari	6
69	Bandito_Roamer	5
69	MSK__	5
69	12Magner05	5
69	Sagaram	5
69	BronkerBrum	5
69	TheShyPig	5
69	fkGrim	5
69	DemTechAlpha	5
69	_TCARREIRA_	5
69	Dogcorn69420	5
79	Merv__	4
79	rarrq	4
79	Fullut	4
79	set67	4
79	xxPipperDipperxx	4
79	Ecplosive	4
79	Snowflowe	4
79	EveryonesUncle	4
79	sebastiensaborio	4
88	PhantomsGhost_	3
88	Natty	3
88	heckface	3
88	TheSecondLord	3
88	Rich_Kat	3
88	noam464	3
88	M_Patata	3
88	gabriels543	3
88	fred870d	3
88	Maenara	3
88	JESS_THE_RERE	3
88	SkateboardR6	3
88	MasterNueve	3
88	Nekomin0	3
88	PortlyPete69	3
88	_3Stump_	3
88	TitanCrafting	3
88	Legendosh	3
88	HesDemonPants	3
88	jnp_gaming	3
88	EcksDofficial	3
109	teslawolf38	2
109	bigstankyy	2
109	ssleepless	2
109	Swexti	2
109	ratglock	2
109	bloodbiter	2
109	MangoTheFish	2
109	Afinnity	2
109	CruncyIsTaken	2
109	AlphaWolfPlaysMC	2
109	_Bguette_	2
109	DarlaMeow	2
109	MightyWertu	2
109	Racengan	2
109	Soplight	2
109	Eczbek	2
109	EcksD	2
109	FelixPSY375	2
109	The_SlideV5	2
109	KASAN420	2
129	Groovy_MoonBird	1
129	Mr_Byzantine	1
129	pZygh0st	1
129	AuroraValkyrie	1
129	Raidor	1
129	CompAir	1
129	ImpavidArcher	1
129	Isaac70096	1
129	NatrixxddxYT	1
129	TheWeeknd14	1
129	jamesq133	1
129	Cryptacity	1
129	Septemb3r	1
129	Covalents	1
129	Kakolbus	1
129	Zythose	1
129	RyuNeko932000	1
129	Bumpy419	1
129	PigDab	1
129	FishyBoy3811	1
129	XxCookiequeenxX	1
129	ese_wn_po	1
129	IsabellasOF	1
129	Lutres_Torane	1
129	The_slideV3	1
129	sleep444	1
129	TheTommyGun63	1
129	OG_Songsee	1
129	Eraxa	1
129	SammiWolfGirl	1
129	Ezekson	1
129	RadarHz	1
129	Nicserso	1
129	TechnoNinja64	1
129	Umbreon900	1
