rank	username	minecraft:picked_up/minecraft:polished_blackstone_bricks
1	Hyp3rion_	12732
2	lizardfightclub	12202
3	Legendosh	8503
4	Mattesco	7848
5	noam464	5504
6	Deathkob	5433
7	k_ce	4948
8	pintsizedrogue	4620
9	excelsionprime	4025
10	FreakGenius	3353
11	TheSecondLord	3123
12	thewindmillman	3069
13	12Magner05	2880
14	Spacewardharpy7	2649
15	YungMaki	2644
16	ECstardust	2533
17	RebelAndroid	2456
18	beeperbeeper5	2054
19	burbankbuilder28	1972
20	eitanzaki	1663
21	kekhon	1582
22	PigDab	1570
23	luseis	1477
24	HellsSponge	1465
25	Awyrlas	1362
26	TheShyPig	1332
27	00000000-0000-0000-0009-01ff0c3e5e4f	1306
28	500am	1303
29	Fullut	1296
30	PazinGaming	1278
31	CliffEmAll	1230
32	PlasticOtari	1180
33	r123moore	1139
34	Jackattack53	1126
35	Solar_Power	1120
36	Racengan	1104
37	Winklepicker279	1083
38	Billious	1063
39	set67	983
40	rarrq	969
41	EveryonesUncle	958
42	Decaying_Lotus	913
43	Blaiku	908
44	UCP_TheKingK	875
45	Druid95	873
46	mwrty	802
47	Enderxz3	778
48	AdmiralSmoke	773
49	ZoomieZoomie	764
50	Di_infiri	763
51	ApophisNova	750
51	MyNamaSheff	750
53	Cowison	747
54	lorpus	728
55	Dakar_	697
56	xolstoi	668
57	Alteriity	665
58	Lord_Jord	618
59	Zythose	615
60	Marbz_	591
61	Apollo_993	580
62	ITDV	571
62	himak1	571
64	ShedJr_	567
65	Secret_Canary	565
66	Steelynan	495
67	j5ylim	482
68	Manaateee	479
69	ConnorDanky_	434
70	joethahobo	430
71	fanofbands101	413
71	Mahoose	413
73	T045RTY	412
74	Kakolbus	405
75	wwwwinnebagoooo	403
76	Moofyman	397
77	Kowcio_	393
78	Huwulling	388
78	MinttyFressh	388
78	fffMike	388
81	Nicserso	381
82	pixelviolin	351
83	SmashingPump	321
84	Krowuss	316
85	ROY4LE	307
86	KeruNatsema	303
87	Jonafrog99	297
88	Eczbek	295
89	Shogunite	290
90	MAns_44	281
91	Lez_	279
92	Werbe	278
92	FishyBoy3811	278
94	crying_wolf_13	274
95	ImpavidArcher	273
96	Rebytre	270
97	_i_ERROR_i_	267
98	Ezekson	263
99	Eraxa	259
100	Jimb0nat0r	258
101	Iamthejo	256
102	ooga47	247
103	_Virify_	245
104	SkateboardR6	241
105	ogoa	234
106	Segotep999	232
107	Akoot_	231
108	Skylord_Luke	230
109	hanaryheatwave	227
110	Kubeusz2010	226
111	Spenduh	225
112	CACTUSLAD	219
113	oscminus	218
114	Crowman1	217
115	chipklip	216
116	SpacesickPrism	209
117	djancak	203
118	diamondgolem35	202
119	monky_irl	198
120	Groovy_MoonBird	197
121	CLG_Kata	187
121	powercas_gamer	187
123	Snowflowe	186
124	livingdaydreams	183
125	Vorlice	178
126	SammiWolfGirl	172
127	DarlaMeow	163
128	fw3xy74	162
129	_Razaria	155
130	Buuck_	154
131	eli_tschki	146
132	2Stout	138
133	diggydog67	131
134	_Mythic____	130
135	BobDeBouwer1337	129
136	Hahaa_0	128
137	AstreaTSS	124
138	NATE_the_HALO	119
139	6king6colt6	117
140	CalebDHawk	115
141	4774	114
142	Elastiq	112
143	Inchef	110
144	drunkeeez	108
144	little_dUki	108
146	KarlKaek	106
147	SingedBread	104
148	EngagedGrub41	103
149	Quotary	102
150	DarkS0L	98
151	zToasty69z	92
152	HolyVenom	91
153	Luigipunch989	89
154	ScootOfBoot	88
155	Hpdinosaur	87
155	jacxhadow	87
155	benediktine1	87
158	Mr_Byzantine	81
158	Frozil20	81
160	Myrlewen	79
161	Eraza	77
162	Jakobo1337	71
162	gcaisawesome	71
164	Smashic	70
165	F_Uhre	69
166	ExtraDumb	67
167	jessewegottacook	64
167	IvarEXE	64
169	TooPure2	62
169	2extreeme	62
169	StarCookiees_	62
172	LagVibes	59
172	Hermanni__	59
174	_Huge_Male_	57
174	Silvo614	57
176	EcksD	55
177	ReverendSmith	52
178	fluddd	50
179	tuckerdoodle	46
180	SkinnyBois	45
180	TheOuterCore	45
182	NomadicRobin_	44
182	Lutres_	44
184	bearlystraight	43
185	Prismyst	42
186	trexgb	41
187	Historical_Sand	40
187	LazySupport00	40
189	PhantomsGhost_	37
189	catandmoose	37
191	King_Pancake1	36
191	MadmanRaven	36
193	Nycteus_	35
194	07shiny	34
195	Yatitay	32
195	__lizi	32
