rank	username	minecraft:picked_up/minecraft:magenta_banner
1	royal_2	134
1	ROY4LE	134
3	Blu3beast	114
4	masskedman	111
5	YungMaki	57
6	PhantomsGhost_	40
6	beeperbeeper5	40
8	lordpipe	39
9	Kowcio_	36
9	ConnorDanky_	36
11	Huwulling	34
11	FreakGenius	34
13	eiC_	32
14	Mahoose	28
15	Ezekson	27
16	Blackberry1310	25
17	excelsionprime	24
18	Bandito_Roamer	23
19	Mewar	17
20	Napoleonpancake	16
20	MAns_44	16
20	SammiWolfGirl	16
23	burbankbuilder28	15
23	Mattesco	15
25	MovingFish7	14
25	FiguraDei	14
27	500am	13
27	Akoot_	13
27	KingMatthew506	13
30	kekhon	12
30	mwrty	12
30	Jackattack53	12
30	Arceus1975	12
30	TheDumbHuman	12
35	6king6colt6	11
35	Fullut	11
35	thescout7	11
35	Racengan	11
39	Ecplosive	10
39	Manaateee	10
39	Blaiku	10
39	pixelviolin	10
39	ProbsNotNova	10
44	TooManyDuck	8
44	Ender_Souls	8
44	_Meow_Mix	8
47	joethahobo	7
47	OG_Songsee	7
47	Soplight	7
47	TheBananaKat	7
47	TechnoNinja64	7
52	ECstardust	6
52	SaucyDark	6
52	set67	6
52	yheece	6
52	mihimihimihi	6
57	Comma__	5
57	_Dean_123	5
57	YungWali	5
57	hermmm_	5
61	Apollo_993	4
61	crying_wolf_13	4
61	legal_tax_evader	4
61	Werbe	4
61	luseis	4
66	pintsizedrogue	3
66	fluddd	3
66	MakeHistory157	3
66	Eraxa	3
66	Spenduh	3
66	miramyu	3
66	PlasticOtari	3
73	AuroraValkyrie	2
73	Lez_	2
73	rarrq	2
73	titanlax	2
73	Tersea_	2
73	zorin123	2
73	Scathra	2
73	noam464	2
73	ApophisNova	2
73	Onennon	2
73	TheSeismicDuck	2
73	AstreaTSS	2
73	Quaintster	2
73	_k2x	2
73	Razzgriz	2
73	xzvu	2
73	LeEricc	2
73	robonya_	2
73	MyNamaSheff	2
73	TheWickedBird	2
93	Merv__	1
93	bigstankyy	1
93	Isaac70096	1
93	RebelAndroid	1
93	LionelHutzESQ	1
93	Batman922	1
93	ShedJr_	1
93	Myszoaz	1
93	TheSecondLord	1
93	SellyZ	1
93	arcanemagic	1
93	RocketRidge	1
93	RebytreGT	1
93	PigDab	1
93	TheShyPig	1
93	zToasty69z	1
93	Maenara	1
93	yulgur1	1
93	NomadicRobin_	1
93	NameGenerat0r	1
93	Shogunite	1
93	blackeemperor	1
93	SkateboardR6	1
93	Spacewardharpy7	1
93	douwevh	1
93	deleteduser3c11b	1
93	Kijiki	1
93	Pumpkin_P_Patch	1
93	jcool7	1
93	Enderxz3	1
93	annebolyn	1
