rank	username	minecraft:picked_up/minecraft:sandstone_wall
1	Kim_Jong_eel	600
2	Soplight	435
3	stahouo	363
4	ImpavidArcher	285
5	Freak_Genius	278
6	Steelynan	272
7	Mahoose	269
8	Merv__	262
9	TheShyPig	257
10	_stets	256
11	Euclidoris	247
12	500am	226
13	KarlKaek	225
14	Inbefour	202
15	Frozil12	147
16	John6970	141
17	ROY4LE	129
18	kekhon	121
19	stellarjay	119
20	Di_infiri	110
21	Groovy_MoonBird	109
22	fluddd	107
23	Enderslayerxz3	106
24	Blackberry1310	95
25	2Stout	88
26	eitanzaki	86
27	Meatlaugh	84
28	Parcc	79
29	Zythose	71
30	TechnoNinja64	68
31	Eraxa	67
32	beeperbeeper5	65
33	Onennon	64
34	xXTheWolfmanXx	63
35	H72l9w	60
36	MightyWertu	59
37	FreddyFart	51
38	Spacewardharpy7	48
39	Hpdinosaur	47
39	Karetoko	47
41	Lord_Jord	45
42	emrekn	44
43	Waffleman258	43
43	Wowful	43
45	TheSecondLord	42
45	Werbe	42
47	ReyTheLegend	38
48	Winklepicker279	37
49	Hyugo	34
50	_Karmaa	33
51	Sky_light_KING	32
52	rarrq	31
53	Cryptacity	29
53	DarlaMeow	29
53	__tomato	29
56	noam464	28
56	TheDankPlatypus	28
58	Vizzoid	27
59	ShedJr_	26
60	yatsuta	24
61	Fullut	21
61	victorLIE	21
63	Studyhallsaver	20
63	SingedBread	20
63	SvenskaHugo	20
66	joethahobo	19
66	jnp_gaming	19
68	tuckerdoodle	18
68	Doom_melon	18
68	PigDab	18
68	SkateboardR6	18
72	EcksDofficial	16
73	CACTUSLAD	15
74	Legendosh	14
74	Sral7	14
76	AuroraValkyrie	13
77	AltnumberF4	12
78	chipklip	11
78	Powowowow	11
78	Smoke____	11
81	NameGenerat0r	10
81	561cool	10
83	noodlepack	9
83	Akoot_	9
83	EveryonesUncle	9
83	SwooshBoi	9
83	Blaiku	9
83	lordpipe	9
89	jiggywraps	8
89	SteveCraftBlocks	8
89	mads388a	8
89	Kowcio_	8
93	burbankbuilder28	7
93	HellsSponge	7
95	CoffeeNoir	6
95	SuperPooch06	6
95	Barlycorn	6
95	EcksD	6
99	PhantomsGhost_	5
99	claivin	5
99	Quaintster	5
99	YungMaki	5
99	erkada	5
99	Ezekson	5
105	numbra	4
105	T045RTY	4
105	Kakolbus	4
105	pappaberg	4
105	ApophisNova	4
105	Deodorante	4
105	Warlord324	4
105	SammiWolfGirl	4
105	oxfordschool	4
105	MyNamaSheff	4
105	Nicserso	4
116	susbakaimpostor	3
116	_Dean_123	3
116	Inchef	3
116	r123moore	3
116	andy_rex	3
116	Skylord_Luke	3
116	ooga47	3
116	Jiminie	3
116	_Bguette_	3
116	WyngGoy	3
116	Wanjibon	3
116	h2p_emrld	3
128	pintsizedrogue	2
128	peach0s	2
128	ChosenBruh	2
128	jushykins	2
128	himak1	2
128	Stiar	2
128	ItsAki_	2
128	CruncyIsTaken	2
128	epiksk8erduck	2
128	Nicky19	2
128	yulgur1	2
128	ElectricDragon81	2
128	Seindi	2
141	JohnnyFyes	1
141	diminub	1
141	CherryDrCoke	1
141	TheMilkerOfCats	1
141	titanlax	1
141	Jobydobe	1
141	Awyrlas	1
141	loveseeker	1
141	Rumpletaezer	1
141	AlexStrange	1
141	DanielMmm	1
141	Fergusoncurly	1
141	thgrocks	1
141	Jiminbub	1
141	Deathkob	1
141	Babushka0430	1
141	33sudo	1
141	TheEnderman548	1
141	KG1999	1
141	Kyrum2169	1
141	Spenduh	1
141	jcool7	1
141	adiccting01	1
141	vandmanden	1
