rank	username	minecraft:picked_up/minecraft:large_amethyst_bud
1	thewindmillman	425
2	Mahoose	246
3	corvidpartyfor6	150
4	TheSecondLord	97
5	SpacesickPrism	66
6	pintsizedrogue	58
7	lordpipe	49
8	Enderxz3	46
9	Hyp3rion_	31
10	Smashic	23
10	luseis	23
12	Frozil20	20
13	diamondgolem35	18
14	RebelAndroid	13
15	Kakolbus	12
15	Solar_Power	12
17	RatatJuice	11
18	Flores991	10
19	Alteriity	7
19	SingedBread	7
19	pixelviolin	7
22	12Magner05	6
23	YungMaki	5
23	gusstationwerker	5
23	Steelynan	5
23	Legendosh	5
27	eitanzaki	4
27	noam464	4
27	AlexxO_o	4
30	ITDV	3
30	500am	3
30	Xalithia	3
30	Marbz_	3
30	Di_infiri	3
30	SuperPooch06	3
30	Snowflowe	3
30	ApophisNova	3
30	lillips	3
30	MyNamaSheff	3
30	PlasticOtari	3
30	WYFYoyo	3
42	Toriankel	2
42	starbits140	2
42	Soplight	2
42	MilleGrug	2
42	Smoke____	2
47	_stets	1
47	CoffeeNoir	1
47	ShedJr_	1
47	Khelvoryk	1
47	prizm_	1
47	Jackattack53	1
47	dartwaffle	1
47	binman420	1
47	Kowcio_	1
47	fffMike	1
47	TheOuterCore	1
47	EcksD	1
47	CattSoup	1
