rank	username	minecraft:picked_up/minecraft:small_dripleaf
1	500am	288
2	pintsizedrogue	182
3	Huwulling	121
4	Enderxz3	89
5	Manaateee	87
6	Kowcio_	80
7	skroobiez	66
7	luseis	66
9	Soplight	38
10	ImpavidArcher	29
11	Druid95	23
11	Legendosh	23
13	PlasticOtari	19
14	chrolus	9
15	2blox_	8
16	thewindmillman	7
16	TheWickedBird	7
18	pixelviolin	6
19	Ryker	5
19	Mahoose	5
19	Juansinmiedo18	5
22	TheSecondLord	3
22	12Magner05	3
24	MattieHD	2
24	TheKingK_	2
24	SpacesickPrism	2
27	RoskobiOne	1
27	SyntheticSurgeon	1
27	_witch_craft_	1
27	Reneedium	1
27	Deathkob	1
27	Avocadogerms	1
27	CattSoup	1
