rank	username	minecraft:picked_up/minecraft:iron_trapdoor
1	thewindmillman	6094
2	noam464	3101
3	Spacewardharpy7	2352
4	eitanzaki	1428
5	Mahoose	1179
6	mwrty	591
7	Di_infiri	544
8	Blaiku	505
9	HellsSponge	476
10	PigDab	473
11	Jackattack53	417
12	jnp_gaming	400
13	Ezekson	399
14	YungMaki	333
15	Snowflowe	310
16	Hyp3rion_	296
17	beeperbeeper5	280
18	PlasticOtari	271
19	m_be9	183
20	ImpavidArcher	122
21	500am	110
22	lordpipe	103
23	Freak_Genius	95
24	MightyWertu	92
25	Smoke____	87
26	Jiminie	86
27	Werbe	80
28	WyngGoy	76
29	Soplight	73
30	NotMeanttoChange	71
30	TheShyPig	71
32	KG1999	68
33	Skippeh	67
34	KarlKaek	66
34	MilleGrug	66
36	Skylord_Luke	64
37	Sral7	60
38	r123moore	57
39	Merv__	55
40	StinkyDiplomat	53
41	thescout7	52
42	joethahobo	49
42	Swexti	49
44	rarrq	46
45	RobotMinion101	43
46	Doom_melon	42
47	Factoroni	41
48	pintsizedrogue	39
48	ratglock	39
50	titanlax	38
51	Marbz_	36
52	SquadMonster	35
53	Xclax101	34
53	EcksD	34
55	Zoeyfortnite	31
56	MyNameIsDakar	30
57	bloodbiter	29
58	kekhon	27
58	burbankbuilder28	27
60	soundad	26
61	Winklepicker279	24
61	2c19c699-1659-42a9-8736-134c5a6d6d2a	24
63	Eraxa	22
64	_Virify_	21
64	oreee	21
64	The_slideV3	21
67	jushykins	19
67	audiocracked	19
69	Nicky_H225	18
69	KingMatthew506	18
71	EngagedGrub41	17
72	MinttyFressh	16
72	Steelynan	16
74	Inchef	15
74	Fildyr	15
76	gabriels543	14
76	Barlycorn	14
78	Frozil20	13
78	RebelAndroid	13
78	T045RTY	13
78	jacxhadow	13
78	Arceus1975	13
78	SkateboardR6	13
78	PortlyPete69	13
78	Legendosh	13
78	TechnoNinja64	13
87	DepressedCubic	12
87	PegLegPete93	12
87	Lord_Jord	12
87	fw3xywashere	12
87	Warlord324	12
87	Vorlice	12
87	mihimihimihi	12
94	12Magner05	11
