rank	username	minecraft:picked_up/minecraft:music_disc_13
1	12Magner05	3874
2	Blu3beast	506
3	HellsSponge	86
4	TechnoNinja64	84
5	Tyrannosplart	58
6	Soplight	47
7	pintsizedrogue	42
8	Inchef	34
9	oscminus	32
10	kekhon	27
11	ImpavidArcher	24
12	beeperbeeper5	23
12	Mattesco	23
14	Gregward_Smith	22
15	SteveCraftBlocks	20
15	AspenLightVT	20
15	Manaateee	20
18	craaaash	19
18	Werbe	19
18	Kowcio_	19
18	Ezekson	19
22	PhantomsGhost_	18
22	abdomera	18
22	Euclidoris	18
25	Skylord_Luke	17
26	royal_2	16
26	TheSecondLord	16
26	ROY4LE	16
29	Jackattack53	15
30	Hyp3rion_	14
30	DarlaMeow	14
32	Saucepeh	13
32	Di_infiri	13
32	GravitySaint	13
35	Mahoose	12
35	joethahobo	12
37	SuperPooch06	11
37	claivin	11
37	El_Jalapeno	11
37	doublemaki	11
37	Njensen7	11
37	Legendosh	11
43	lorywithay	10
43	surfinggiraffejp	10
43	thewindmillman	10
43	Bumpy419	10
43	Cruncy_	10
43	zToasty69z	10
43	groofles	10
43	Kubeusz2010	10
43	Enderxz3	10
43	LuvLuvLove	10
53	Groovy_MoonBird	9
53	k_ce	9
53	Apollo_993	9
53	Blackberry1310	9
53	Fullut	9
53	Akoot_	9
53	luseis	9
53	_flud	9
53	Steelynan	9
53	TheBananaKat	9
53	ConnorDanky_	9
64	ECstardust	8
64	_Dean_123	8
64	crying_wolf_13	8
64	Mr_Sun15	8
64	TheShyPig	8
64	Eraxa	8
64	robonya_	8
71	Mr_Byzantine	7
71	eitanzaki	7
71	skroobiez	7
71	rarrq	7
71	Guillemet	7
71	hcb238	7
71	sp00ky_ghost977	7
71	Segotep999	7
71	Powowowow	7
80	Lez_	6
80	Archsam	6
80	MrKrabOnCoke	6
80	4774	6
80	TheDankPlatypus	6
80	yheece	6
80	Reneedium	6
80	LovableFemboy	6
80	Rebytre	6
80	PigDab	6
80	Xclax101	6
80	StarCookiees_	6
80	Moss_2006	6
80	xzvu	6
80	PlasticOtari	6
95	ItsColin11	5
95	KarlKaek	5
95	Huwulling	5
95	Prismyst	5
95	Sleepy_Time_	5
95	Studio4x32	5
95	ApophisNova	5
95	The11thDoctor	5
95	Moofyman	5
95	audiocracked	5
95	MAns_44	5
95	FreakGenius	5
95	CalebDHawk	5
95	MyNamaSheff	5
95	Yamdalorian	5
110	Tobinator_007	4
110	dudcreeper	4
110	BPTY4618	4
110	q_wq	4
110	diamondgolem35	4
110	Incinere	4
110	500am	4
110	_witch_craft_	4
110	excelsionprime	4
110	LordZacler	4
110	RobotMinion101	4
110	epiksk8erduck	4
110	_Cloverbelle_	4
110	fw3xy	4
110	Lord_Zacler	4
110	EveryonesUncle	4
110	cuddlyMonster	4
110	censorsheep	4
110	Blaiku	4
110	SingedBread	4
110	Spacewardharpy7	4
110	pixelviolin	4
110	ediballbearings	4
110	obzii	4
110	Rainaldus	4
110	elliebelle107	4
110	Iamthejo	4
110	11Brewer	4
110	es0th	4
110	h2p_emrld	4
140	MuffinManzz	3
140	Bandito_Roamer	3
140	CLG_Kata	3
140	Merv__	3
140	powercas_gamer	3
140	6king6colt6	3
140	mymayowasgone	3
140	hm947	3
140	Hpdinosaur	3
140	SyntheticSurgeon	3
140	ShedJr_	3
140	QuiCreans	3
140	Prodiginus	3
140	Tersea_	3
140	Z3braYTIL	3
140	paranoid_plant	3
140	mwrty	3
140	thescout7	3
140	xxPipperDipperxx	3
140	Touched_Bread	3
140	MyNameIsJobo	3
140	Hoxy	3
140	hanaryheatwave	3
140	Arceus1975	3
140	JitteryJared2	3
140	AlexxO_o	3
140	thgrocks	3
140	Maenara	3
140	Wowful	3
140	Meatlaugh	3
140	Soap_Bender	3
140	shrimp_flips	3
140	NameGenerat0r	3
140	lordpipe	3
140	Druid95	3
140	Kura2218	3
140	Kijiki	3
140	GustavoMatheus	3
140	miramyu	3
