rank	username	minecraft:picked_up/minecraft:spruce_sapling
1	Spacewardharpy7	33673
2	Hyp3rion_	25455
3	eitanzaki	18238
4	Smoke____	13894
5	Di_infiri	12295
6	noam464	9827
7	TheShyPig	4976
8	thewindmillman	4844
9	Ezekson	4024
10	Blackberry1310	3388
11	beeperbeeper5	3009
12	Marbz_	2964
13	rarrq	2726
14	Historical_Sand	2301
15	El_Jalapeno	2262
16	Snowflowe	2060
17	ApophisNova	1861
17	MyNamaSheff	1861
19	TechnoNinja64	1799
20	gcaisawesome	1785
21	Zythose	1604
22	Arceus1975	1472
23	Frozil12	1445
24	500am	1417
25	lordpipe	1415
26	EcksDofficial	1386
27	Freak_Genius	1384
28	q_wq	1367
29	Akoot_	1347
30	set67	1335
31	Cowison	1295
32	pintsizedrogue	1280
33	Smiguli_	1196
34	MyNameIsJobo	1170
35	kekhon	1151
36	Rumpletaezer	1135
37	2Stout	1125
38	Enderslayerxz3	1115
39	M_Patata	1089
40	HellsSponge	1078
41	OfficerAnvil	1031
42	Werbe	1026
43	BlancoFlaco	1019
44	thescout7	983
45	xxPipperDipperxx	982
46	EveryonesUncle	977
47	Jiminie	962
48	Onennon	959
49	MasterNueve	953
50	_Dean_123	908
51	Legendosh	907
52	m_be9	884
53	rotten_mango	867
54	Eraxa	799
55	lcvezra	789
56	Mahoose	776
57	Bumpy419	737
58	Fullut	721
59	Kakolbus	704
60	pixelviolin	662
61	ewpunk	658
62	LordSpeed37	646
63	RebelAndroid	617
64	HesDemonPants	615
65	WYFYoyo	605
66	Bobby808	603
67	SteveCraftBlocks	598
68	Tommhh	585
69	RodSerlingCringe	578
70	YungMaki	558
71	Fizznut909	549
72	Malorn_Aetherius	527
73	ROY4LE	518
74	Skippeh	510
75	Jahara	497
76	TheSecondLord	496
77	PhantomsGhost_	493
77	Sky_light_KING	493
79	Valoth	471
80	cytotoxaint	457
81	Deathkob	453
82	joethahobo	448
83	Sleepy_Time_	432
84	Steelynan	428
85	Natty	425
86	groofles	416
86	Racengan	416
88	TheThomas69	415
89	Vetral1	401
89	SvenskaHugo	401
89	PlasticOtari	401
92	_Karmaa	381
93	CalebDHawk	380
94	anbbang	361
95	LeeMcGee30	360
96	Skylord_Luke	356
97	RoskobiOne	351
98	bloodbiter	344
99	Kamflame10	343
100	Inchef	342
101	Jovaphobic	336
102	tuckerdoodle	330
103	Dusk_95	327
104	NebulousBadger	322
105	Comma__	320
106	Meatlaugh	319
107	TooManyDuck	315
108	ProfessorBee	314
109	KarlKaek	308
110	SlayerCrypto	292
110	nut_e	292
112	Merv__	290
113	Kiki_Majiki	286
114	Ryker	279
115	Blaiku	277
116	CrateOfBoxes	274
116	ADEXTV	274
118	Soplight	269
119	Quotary	267
120	Hermanni__	265
121	Deerfoot	263
121	2blox	263
123	jacxhadow	262
124	SuperPooch06	260
125	claivin	258
126	fkGrim	252
127	Groovy_MoonBird	251
128	Chromary	249
129	Slapface522	248
130	Felenov	243
131	Hoid_the_Roamer	242
132	TastyPorkchop	238
133	PigDab	237
134	Soap_Bender	236
135	Barlycorn	231
136	Groundler	230
137	Enigma0251	229
138	Lord_Zacler	228
139	CoffeeNoir	224
139	Cryptacity	224
141	The_slideV3	218
141	KingMatthew506	218
143	obzii	210
144	redikul	209
144	MineMaster0012	209
144	ZoomieZoomie	209
147	awesomeoneme	208
148	Deodorante	207
149	natajimi	203
150	Harotio	202
150	pappaberg	202
152	Lord_Jord	199
153	_Virify_	197
153	oxfordschool	197
155	PegLegPete93	192
155	CruncyIsTaken	192
157	diamondgolem35	191
158	PortlyPete69	190
159	Ardennes	187
160	IWorkAtIkea	183
160	seramalen	183
162	SourPapaSmurf	182
162	Fuhrer_Teemo	182
164	Touched_Bread	181
165	XxCookiequeenxX	177
165	Lutres_Torane	177
167	Winklepicker279	173
167	wwwwinnebagoooo	173
169	ooga47	171
169	SkateboardR6	171
171	toj__	169
171	layabout100	169
173	Swexti	166
174	Mistruth	165
174	JayToe	165
176	eiC_	164
177	Inbefour	162
177	diggydog67	162
179	VentiHilton	161
180	_Boipl_	160
180	wobn	160
182	ewsophie	158
182	burbankbuilder28	158
182	RobotMinion101	158
185	DTwenty	157
185	Nicserso	157
187	avalan64	156
188	Foof13	152
189	Xclax101	150
190	_Cloverbelle_	148
190	BreadBacon	148
192	Lukeee33	147
192	SammiWolfGirl	147
194	CarbonatedCola	146
195	Hanselhoof	143
196	andy_rex	142
196	07shiny	142
196	laron58	142
199	CSG_Haru	140
199	alderban107	140
201	ProbablyNick	139
201	ehunt54	139
203	_stets	137
204	Prismyst	136
204	selectrix	136
206	jambvds	135
206	EfficientC52	135
208	MattieHD	133
208	Ecplosive	133
210	Shogunite	132
211	ImpavidArcher	130
211	TakeThis2UrGrave	130
211	regulator75	130
214	ToastedGamingYT	129
214	Negriuke	129
216	MixerDixer	128
217	Jimi7hits	127
218	__Fanda__	126
218	Miko_Fullbuster	126
220	Xalithia	125
220	EcksD	125
222	ImDisconnected_	121
222	jnp_gaming	121
224	dartwaffle	120
225	FlashMigma	119
225	yatsuta	119
225	00000000-0000-0000-0009-01ff0c3e5e4f	119
228	Paint	117
228	CrookedKaptain	117
228	ogoa	117
231	SaucyDark	116
232	ProfessorDiaper	115
233	XboxPanda	114
233	Blu3beast	114
233	_3Stump_	114
236	BlueZabu	113
237	Cortexia	112
237	The_Fulgurator	112
239	Laykon	111
240	Kowcio_	110
241	squigglybones	109
241	krutas2000	109
241	Serval2000	109
244	Omar_Alone	108
244	TheGameArchitect	108
246	EMC_	107
247	TheMilkerOfCats	106
247	dendydoom	106
249	CaptainDeadBread	105
250	HAIRYCLOUD626	104
251	Bandito_Roamer	102
251	monolu	102
253	ConcretePirate	101
254	purpolepickle	100
254	loveseeker	100
254	fred870d	100
254	Kymarmalade	100
258	DirtyDalle	99
259	whoaluv	98
260	TheSeismicDuck	97
260	alkrie	97
260	YoshikageBites	97
263	Mr_Byzantine	96
263	Jokerman369	96
263	Joestra	96
263	__tomato	96
267	Froste131	94
267	Firecracker320	94
267	mariominejedi	94
267	UrbanPlanner1978	94
271	wiqor	93
271	HoltGrim	93
271	Ristebraaten	93
271	Hisiste	93
271	CheifJumbo	93
271	athereall	93
277	SLASHZEERA	92
277	Shavrin	92
279	G1ldor	91
279	KG1999	91
281	_Bguette_	90
281	Haadrada	90
283	thgrocks	89
284	Ssor69	88
284	MinuteMira	88
286	teslawolf38	86
286	dedgt	86
288	TheBiggestFeller	85
288	_Razar	85
290	Louiis123	84
290	Tolhart	84
290	PeteO1995	84
290	Optiprimus	84
294	bigstankyy	83
294	Sparky_KT	83
294	Typadopoulos	83
294	FGamerJ	83
298	orxngejuice	82
298	Crasswolf	82
298	Drewen24	82
