rank	username	minecraft:picked_up/minecraft:end_stone_brick_slab
1	mwrty	3940
2	WET_WET_WET	1813
3	Mahoose	1243
4	PigDab	562
5	mihimihimihi	544
6	Spacewardharpy7	535
7	eitanzaki	494
8	oxfordschool	213
9	TheShyPig	182
9	Sky_light_KING	182
11	thewindmillman	180
12	jcool7	164
13	Blu3beast	140
14	NomadicRobin_	138
15	chipklip	122
16	yulgur1	104
17	fkGrim	102
18	Ezekson	100
19	elicobnoah	91
20	Arceus1975	72
21	lordpipe	58
22	EveryonesUncle	56
23	noam464	50
24	DanTheBuilderino	46
25	12Magner05	39
26	Freak_Genius	36
27	EcksD	31
28	33sudo	30
29	Steelynan	29
30	Ender_Souls	27
31	Segotep999	26
32	NameGenerat0r	24
33	Smoke____	23
34	m_be9	21
34	MinttyFressh	21
36	TheSecondLord	18
37	500am	14
38	El_Jalapeno	10
38	jnp_gaming	10
40	Hpdinosaur	9
41	AuroraValkyrie	8
42	MSK__	7
42	beeperbeeper5	7
42	Blaiku	7
45	xxPipperDipperxx	6
45	fred870d	6
45	HellsSponge	6
48	Menthas	5
48	Fullut	5
48	monky_irl	5
48	Hermanni__	5
48	PlasticOtari	5
53	NinjaKnifeKill	4
53	KartivGal	4
53	TheEnderman548	4
56	Sleek_Storm_721	3
56	KarlKaek	3
56	ImpavidArcher	3
56	Historical_Sand	3
56	ayqq	3
56	Dusk_95	3
56	Eraxa	3
56	Aryamanee	3
64	JohnnyFyes	2
64	hm947	2
64	Mewar	2
64	Di_infiri	2
64	Rocco_Lane	2
64	Rebytre	2
64	TJawesome09	2
64	Fuad_R	2
64	claivin	2
64	501g	2
64	Spenduh	2
64	Kubeusz2010	2
64	HesDemonPants	2
64	MeetTheWollo	2
78	HBA00_	1
78	Groovy_MoonBird	1
78	Mr_Byzantine	1
78	Drlzyy	1
78	RebelAndroid	1
78	SpaceGrenadier	1
78	joethahobo	1
78	kekhon	1
78	TheThomas69	1
78	PegLegPete93	1
78	Hyp3rion_	1
78	Hiryu27	1
78	MousePlays	1
78	Akoot_	1
78	fw3xywashere	1
78	Wowful	1
78	binman420	1
78	MightyWertu	1
78	Racengan	1
78	SkateboardR6	1
78	WyngGoy	1
78	SvenskaHugo	1
78	IdeallyGrey	1
78	obzii	1
78	Winston_Ingram	1
78	tartanboy	1
78	EcksDofficial	1
