rank	username	minecraft:picked_up/minecraft:orange_glazed_terracotta
1	noam464	509
2	lordpipe	388
3	Steelynan	373
4	FreakGenius	297
5	eitanzaki	290
6	Merv__	234
7	El_Jalapeno	207
8	Lez_	189
9	Di_infiri	172
10	Kowcio_	109
11	Inbefour	104
12	Spacewardharpy7	102
13	ImpavidArcher	95
14	lillips	94
15	kekhon	87
16	YungMaki	72
17	Snowflowe	70
18	Bumpy419	60
19	Mahoose	58
20	Soplight	49
21	AdmiralSmoke	48
22	Legendosh	44
23	Frozil20	41
23	luseis	41
25	RatatJuice	35
26	Kubelz	27
26	Blaiku	27
28	MyNameIsJobo	25
28	audiocracked	25
30	Hyp3rion_	23
30	Nycteus_	23
32	MakeHistory157	21
33	CarltheCuck	15
34	Akoot_	14
35	j5ylim	9
35	Sabby65	9
35	PaperCanvas	9
38	fanofbands101	6
38	ROY4LE	6
38	monky_irl	6
38	Eraxa	6
42	TheShyPig	5
43	thedhub	3
44	SteveCraftBlocks	2
44	himak1	2
44	fxiryglitch	2
44	Manaateee	2
44	NameGenerat0r	2
44	sp00ky_ghost977	2
44	Ezekson	2
44	jnp_gaming	2
52	SugarMyNuggets	1
52	ITDV	1
52	beeperbeeper5	1
52	Whiterooster001	1
52	Tjhodskins19	1
52	TheDankPlatypus	1
52	trixterrx	1
52	Windo_licker	1
52	Krowuss	1
52	thgrocks	1
52	KlausVonStiglitz	1
52	LexMakesHistory	1
52	Airem_Core	1
52	Razzgriz	1
52	ElectricDragon81	1
52	djancak	1
52	__tomato	1
52	Skippeh	1
