rank	username	minecraft:picked_up/minecraft:chipped_anvil
1	noam464	214
2	Chromary	149
3	kekhon	135
4	eitanzaki	87
5	Freak_Genius	65
6	pintsizedrogue	37
7	lordpipe	34
8	Blackberry1310	32
9	Hyp3rion_	26
9	YungMaki	26
11	Groundler	23
12	jnp_gaming	20
13	set67	18
14	HellsSponge	17
14	vandmanden	17
16	surfinggiraffejp	16
16	stahouo	16
18	joethahobo	15
18	rarrq	15
20	OtariCharlie	14
20	Akoot_	14
20	Racengan	14
23	Di_infiri	13
23	RobotMinion101	13
23	Eraxa	13
23	brofrickcheaters	13
27	Enderslayerxz3	12
28	Fullut	11
28	mwrty	11
28	ApophisNova	11
28	KG1999	11
28	PortlyPete69	11
28	jcool7	11
28	Eczbek	11
28	MyNamaSheff	11
28	kinas45y5	11
37	Drlzyy	10
37	Euclidoris	10
37	Awyrlas	10
37	Quotary	10
41	Mahoose	9
41	beeperbeeper5	9
41	thescout7	9
41	Frozil12	9
41	fffMike	9
41	TechnoNinja64	9
47	Blaiku	8
47	Cocoamallows	8
49	Historical_Sand	7
49	12Magner05	7
49	Inchef	7
49	ROY4LE	7
49	MangoTheFish	7
49	Onennon	7
49	TheShyPig	7
49	lillips	7
49	NameGenerat0r	7
49	obzii	7
49	Smoke____	7
60	elicobnoah	6
60	Healthing	6
60	Werbe	6
60	sammidk	6
60	RodSerlingCringe	6
60	AssEatrAndLicker	6
60	El_Jalapeno	6
60	Nycteus_	6
60	layabout100	6
60	Skippeh	6
60	MeetTheWollo	6
71	_Virify_	5
71	ZaneABrain	5
71	ShedJr_	5
71	ThePoliteG	5
71	Kubelz	5
71	thewindmillman	5
71	Snowflowe	5
71	pappaberg	5
71	Maenara	5
71	AlphaWolfPlaysMC	5
71	Deathkob	5
71	MyNameIsDakar	5
71	SkateboardR6	5
71	Spacewardharpy7	5
71	Hermanni__	5
86	Yatitay	4
86	error10101	4
86	SaucyDark	4
86	Hpdinosaur	4
86	acowxd	4
86	bloodbiter	4
86	loveseeker	4
86	Arceus1975	4
86	selectrix	4
86	NomadicRobin_	4
86	fkGrim	4
86	WyngGoy	4
86	Soplight	4
86	lcvezra	4
86	alderban107	4
86	diggydog67	4
102	Jovaphobic	3
102	KarlKaek	3
102	MattieHD	3
102	LordDiabolos	3
102	emrekn	3
102	Septemb3r	3
102	Stiar	3
102	XboxPanda	3
102	M_Patata	3
102	Kakolbus	3
102	gabriels543	3
102	SuperPooch06	3
102	Rumpletaezer	3
102	LAVA129	3
102	Jonte0599	3
102	SpookyDraggin	3
102	rotten_mango	3
102	GoofyBread	3
102	_Karmaa	3
102	Blu3beast	3
102	_ritter	3
102	Steven1282598	3
102	Warlord324	3
102	MasterNueve	3
102	MakeHistory157	3
102	ayamefag	3
102	Soul_Atreus	3
102	voiding_	3
102	Spenduh	3
